phone,minTime,maxTime,k total,kw total,g total,gw total
G,34.113,34.193,,,,
K,42.252,42.372,,,,
G,44.706,44.786,,,,
G,79.522,79.592,,,,
K,98.322,98.462,,,,
K,152.144,152.244,,,,
K,181.595,181.715,,,,
G,211.926,211.996,,,,
G,213.156,213.236,,,,
K,222.367,222.447,,,,
G,248.208,248.278,,,,
K,253.334,253.464,,,,
K,273.006,273.096,,,,
G,291.0,291.07,,,,
G,291.96,292.05,,,,
G,314.102,314.162,,,,
K,318.733,318.843,,,,
K,327.178,327.278,,,,
K,327.708,327.768,,,,
G,331.036,331.136,,,,
K,332.146,332.226,,,,
K,338.37,338.48,,,,
K,416.294,416.374,,,,
K,434.99,435.09,,,,
G,439.406,439.456,,,,
K,454.608,454.698,,,,
K,467.49,467.61,,,,
G,491.054,491.104,,,,
K,492.924,493.044,,,,
K,499.887,499.947,,,,
K,520.52,520.59,,,,
G,526.628,526.658,,,,
K,543.337,543.387,,,,
K,548.312,548.402,,,,
K,552.302,552.552,,,,
K,683.84,683.93,,,,
G,765.988,766.068,,,,
K,773.158,773.268,,,,
K,792.448,792.528,,,,
K,805.263,805.433,,,,
K,837.954,838.014,,,,
K,857.71,857.83,,,,
K,863.396,863.496,,,,
G,869.323,869.373,,,,
G,884.305,884.365,,,,
K,885.855,885.945,,,,
G,886.675,886.745,,,,
K,895.646,895.736,,,,
K,901.985,902.055,,,,
K,935.013,935.083,,,,
K,936.293,936.413,,,,
K,939.95,939.98,,,,
K,949.788,949.908,,,,
K,953.172,953.272,,,,
K,967.634,967.804,,,,
G,998.734,998.804,,,,
G,1002.61,1002.65,,,,
G,1004.79,1004.88,,,,
K,1042.31,1042.42,,,,
K,1075.576,1075.636,,,,
K,1079.306,1079.436,,,,
K,1087.293,1087.433,,,,
K,1126.545,1126.645,,,,
K,1156.868,1156.938,,,,
K,1161.126,1161.236,,,,
G,1162.006,1162.066,,,,
K,1171.24,1171.33,,,,
G,1177.191,1177.261,,,,
K,1198.768,1198.878,,,,
K,1205.932,1206.052,,,,
K,1208.172,1208.222,,,,
G,1213.816,1213.896,,,,
K,1221.122,1221.212,,,,
K,1251.404,1251.514,,,,
K,1257.492,1257.542,,,,
K,1291.259,1291.389,,,,
K,1345.822,1345.932,,,,
K,1348.766,1348.906,,,,
K,1387.573,1387.683,,,,
G,1395.765,1395.845,,,,
G,1406.144,1406.244,,,,
G,1408.494,1408.604,,,,
K,1475.95,1476.13,,,,
G,1520.334,1520.384,,,,
G,1556.87,1556.97,,,,
K,1574.978,1575.068,,,,
G,1666.045,1666.145,,,,
K,1719.888,1719.958,,,,
K,1757.28,1757.36,,,,
G,1764.034,1764.124,,,,
K,1830.854,1830.954,,,,
K,1844.222,1844.292,,,,
K,1846.002,1846.102,,,,
G,1856.588,1856.638,,,,
K,1892.823,1892.923,,,,
G,1919.54,1919.62,,,,
K,1926.604,1926.634,,,,
G,2104.578,2104.638,,,,
K,2122.669,2122.719,,,,
K,2146.122,2146.182,,,,
K,2157.154,2157.284,,,,
K,2162.47,2162.54,,,,
K,2186.136,2186.256,,,,
K,2189.299,2189.379,,,,
K,2196.45,2196.54,,,,
K,2198.41,2198.57,,,,
,,,73,0,33,0
