phone,minTime,maxTime,k total,kw total,g total,gw total
g,22.761,22.851,,,,
g,57.215,57.285,,,,
k,58.975,59.015,,,,
g,70.844,70.914,,,,
g,77.248,77.298,,,,
g,83.754,83.794,,,,
g,87.614,87.644,,,,
g,93.129,93.179,,,,
g,95.922,95.962,,,,
g,104.434,104.464,,,,
g,106.574,106.654,,,,
g,113.432,113.482,,,,
g,125.435,125.485,,,,
g,129.745,129.775,,,,
g,139.64,139.68,,,,
g,140.85,140.92,,,,
g,141.93,142.05,,,,
g,146.538,146.568,,,,
g,154.378,154.438,,,,
g,155.758,155.818,,,,
g,161.278,161.348,,,,
g,164.088,164.248,,,,
g,166.793,166.853,,,,
k,180.203,180.263,,,,
g,187.042,187.072,,,,
g,193.32,193.36,,,,
g,197.938,197.968,,,,
k,212.752,212.842,,,,
g,218.737,218.777,,,,
g,223.28,223.34,,,,
g,226.799,226.869,,,,
g,255.384,255.474,,,,
k,261.714,261.844,,,,
g,276.968,277.018,,,,
g,291.404,291.464,,,,
g,324.816,324.846,,,,
g,363.846,363.906,,,,
g,380.21,380.61,,,,
g,399.066,399.136,,,,
g,404.962,405.042,,,,
g,410.837,410.907,,,,
g,412.666,412.736,,,,
g,416.604,416.684,,,,
g,427.987,428.067,,,,
k,435.877,435.917,,,,
g,439.827,439.857,,,,
g,441.469,441.559,,,,
gw,452.854,452.944,,,,
k,479.541,479.581,,,,
g,504.621,504.661,,,,
g,521.946,522.036,,,,
g,527.466,527.506,,,,
g,536.767,536.847,,,,
g,538.248,538.328,,,,
g,545.139,545.209,,,,
g,546.908,546.988,,,,
g,551.518,551.588,,,,
g,568.79,568.86,,,,
g,572.838,572.898,,,,
k,582.938,582.998,,,,
g,584.898,584.948,,,,
g,615.233,615.313,,,,
g,619.756,619.846,,,,
g,621.896,621.946,,,,
g,636.43,636.49,,,,
k,639.162,639.222,,,,
g,651.461,651.491,,,,
g,657.712,657.792,,,,
g,662.608,662.658,,,,
g,681.516,681.546,,,,
g,689.41,689.46,,,,
g,712.584,712.644,,,,
g,713.578,713.648,,,,
g,716.566,716.616,,,,
g,717.946,718.006,,,,
g,721.763,721.823,,,,
g,724.103,724.173,,,,
g,725.975,726.105,,,,
g,731.7,731.78,,,,
g,777.886,777.946,,,,
g,812.025,812.105,,,,
g,814.555,814.585,,,,
k,819.276,819.396,,,,
g,831.924,831.994,,,,
g,840.314,840.364,,,,
g,853.825,853.885,,,,
g,856.005,856.065,,,,
g,858.575,858.635,,,,
g,860.115,860.225,,,,
g,862.204,862.234,,,,
g,867.148,867.248,,,,
k,868.836,868.976,,,,
g,876.628,876.658,,,,
g,877.741,877.801,,,,
g,881.781,881.831,,,,
g,881.971,882.071,,,,
g,884.42,884.49,,,,
g,885.457,885.527,,,,
g,887.107,887.157,,,,
k,897.572,897.642,,,,
g,902.196,902.276,,,,
g,904.766,904.826,,,,
g,912.758,912.818,,,,
g,914.318,914.348,,,,
g,918.72,918.78,,,,
g,920.25,920.32,,,,
g,921.794,921.874,,,,
g,923.734,923.784,,,,
g,925.884,925.914,,,,
g,946.369,946.449,,,,
g,951.452,951.502,,,,
g,954.714,954.784,,,,
g,955.604,955.714,,,,
gw,956.704,956.784,,,,
k,959.06,959.13,,,,
g,960.853,960.923,,,,
g,989.448,989.538,,,,
g,994.178,994.208,,,,
g,999.748,999.778,,,,
g,1003.23,1003.28,,,,
g,1004.57,1004.62,,,,
k,1006.84,1006.9,,,,
k,1015.432,1015.502,,,,
g,1026.548,1026.588,,,,
g,1027.098,1027.128,,,,
g,1055.944,1056.024,,,,
g,1078.173,1078.273,,,,
g,1079.753,1079.833,,,,
g,1083.362,1083.392,,,,
g,1084.552,1084.612,,,,
g,1085.312,1085.452,,,,
g,1086.712,1086.742,,,,
k,1106.299,1106.339,,,,
g,1115.584,1115.664,,,,
g,1123.798,1123.888,,,,
g,1153.867,1153.937,,,,
gw,1156.381,1156.451,,,,
k,1174.276,1174.346,,,,
k,1181.262,1181.302,,,,
g,1186.961,1187.051,,,,
g,1204.17,1204.24,,,,
g,1205.79,1205.88,,,,
g,1209.02,1209.06,,,,
g,1229.044,1229.104,,,,
g,1229.694,1229.724,,,,
g,1231.136,1231.206,,,,
g,1232.166,1232.246,,,,
g,1254.796,1254.846,,,,
g,1304.491,1304.571,,,,
g,1313.807,1313.847,,,,
g,1314.287,1314.377,,,,
g,1317.205,1317.275,,,,
k,1330.59,1330.66,,,,
g,1343.535,1343.585,,,,
g,1354.87,1355.02,,,,
g,1357.01,1357.05,,,,
g,1357.94,1358.02,,,,
g,1362.449,1362.549,,,,
k,1363.259,1363.359,,,,
g,1366.31,1366.37,,,,
g,1367.25,1367.36,,,,
g,1374.654,1374.694,,,,
g,1375.154,1375.214,,,,
g,1405.672,1405.712,,,,
k,1410.772,1410.842,,,,
g,1414.044,1414.094,,,,
gw,1417.722,1417.772,,,,
g,1420.322,1420.372,,,,
g,1423.072,1423.142,,,,
g,1425.599,1425.649,,,,
g,1426.699,1426.769,,,,
g,1429.004,1429.064,,,,
g,1430.624,1430.654,,,,
g,1455.158,1455.238,,,,
g,1458.25,1458.31,,,,
g,1459.04,1459.13,,,,
g,1460.45,1460.5,,,,
k,1465.202,1465.252,,,,
g,1468.814,1468.854,,,,
g,1472.269,1472.309,,,,
g,1472.719,1472.809,,,,
g,1474.249,1474.299,,,,
g,1476.899,1476.979,,,,
g,1477.712,1477.772,,,,
g,1501.396,1501.466,,,,
g,1507.126,1507.166,,,,
g,1522.033,1522.113,,,,
g,1526.028,1526.118,,,,
g,1540.432,1540.482,,,,
k,1542.152,1542.182,,,,
g,1567.444,1567.474,,,,
k,1590.11,1590.25,,,,
g,1591.55,1591.58,,,,
g,1607.542,1607.612,,,,
g,1617.322,1617.362,,,,
g,1619.086,1619.156,,,,
g,1621.026,1621.156,,,,
g,1622.926,1622.996,,,,
g,1635.552,1635.632,,,,
k,1645.12,1645.19,,,,
g,1649.516,1649.606,,,,
g,1670.279,1670.319,,,,
k,1691.815,1691.875,,,,
g,1698.536,1698.586,,,,
g,1704.136,1704.176,,,,
g,1709.41,1709.44,,,,
g,1713.136,1713.196,,,,
g,1761.098,1761.168,,,,
g,1763.082,1763.152,,,,
k,1763.972,1764.022,,,,
g,1767.868,1767.928,,,,
g,1772.132,1772.202,,,,
,,,26,0,182,4
