phone,minTime,maxTime,k total,kw total,g total,gw total
G,52.663,52.753,,,,
K,68.598,68.778,,,,
G,75.128,75.208,,,,
K,94.718,94.828,,,,
K,130.485,130.605,,,,
G,138.397,138.497,,,,
K,149.035,149.205,,,,
K,157.2,157.34,,,,
K,179.119,179.269,,,,
K,218.508,218.658,,,,
G,277.395,277.495,,,,
K,287.235,287.465,,,,
G,297.529,297.649,,,,
K,320.689,320.799,,,,
K,325.049,325.219,,,,
K,332.899,332.929,,,,
G,368.127,368.197,,,,
G,386.716,386.806,,,,
K,392.301,392.441,,,,
K,392.881,392.981,,,,
K,394.401,394.661,,,,
G,418.756,418.896,,,,
K,430.124,430.164,,,,
K,440.308,440.338,,,,
K,456.282,456.322,,,,
G,461.895,462.025,,,,
K,468.812,468.892,,,,
G,469.932,470.022,,,,
K,487.324,487.354,,,,
K,488.614,488.724,,,,
K,490.692,490.762,,,,
K,495.035,495.175,,,,
K,497.265,497.595,,,,
G,515.449,515.539,,,,
K,517.289,517.379,,,,
G,530.825,530.895,,,,
K,540.613,540.753,,,,
K,558.845,558.965,,,,
K,559.335,559.365,,,,
G,589.446,589.536,,,,
K,623.781,623.891,,,,
K,638.51,638.59,,,,
K,640.345,640.385,,,,
K,642.555,642.645,,,,
G,644.235,644.315,,,,
K,657.185,657.265,,,,
K,659.325,659.355,,,,
K,707.605,707.655,,,,
K,719.595,719.695,,,,
K,725.222,725.322,,,,
K,744.547,744.597,,,,
G,754.64,754.87,,,,
K,767.305,767.405,,,,
K,771.576,771.666,,,,
K,831.498,831.578,,,,
K,865.559,865.609,,,,
K,867.773,867.863,,,,
K,871.153,871.353,,,,
G,885.293,885.383,,,,
K,889.163,889.243,,,,
K,892.677,892.767,,,,
K,897.755,897.875,,,,
K,913.207,913.297,,,,
G,924.528,924.618,,,,
K,937.146,937.176,,,,
K,945.863,945.943,,,,
K,957.833,957.863,,,,
K,965.036,965.106,,,,
G,988.449,988.529,,,,
G,990.799,990.879,,,,
K,994.965,995.055,,,,
G,997.085,997.185,,,,
G,1019.781,1019.881,,,,
K,1033.902,1033.992,,,,
K,1036.512,1036.612,,,,
K,1044.603,1044.753,,,,
G,1051.399,1051.479,,,,
K,1053.879,1053.939,,,,
K,1065.265,1065.345,,,,
K,1066.145,1066.235,,,,
K,1087.242,1087.332,,,,
K,1094.19,1094.29,,,,
K,1107.621,1107.701,,,,
K,1140.89,1140.97,,,,
K,1156.945,1157.085,,,,
G,1157.985,1158.065,,,,
G,1231.298,1231.428,,,,
K,1235.038,1235.118,,,,
K,1271.751,1271.851,,,,
K,1301.827,1301.917,,,,
K,1304.62,1304.7,,,,
K,1359.295,1359.455,,,,
G,1365.665,1365.835,,,,
G,1379.523,1379.593,,,,
K,1391.788,1391.908,,,,
K,1409.141,1409.221,,,,
K,1433.313,1433.393,,,,
K,1435.033,1435.063,,,,
K,1438.108,1438.168,,,,
K,1438.848,1438.878,,,,
G,1474.92,1475.0,,,,
K,1522.285,1522.525,,,,
G,1524.095,1524.125,,,,
K,1526.439,1526.489,,,,
K,1533.909,1534.009,,,,
G,1536.449,1536.539,,,,
K,1537.109,1537.249,,,,
K,1538.469,1538.599,,,,
G,1552.186,1552.266,,,,
G,1560.663,1560.753,,,,
G,1572.524,1572.594,,,,
G,1573.284,1573.314,,,,
G,1577.261,1577.421,,,,
K,1587.013,1587.053,,,,
K,1590.453,1590.553,,,,
K,1593.111,1593.201,,,,
K,1596.07,1596.2,,,,
K,1609.494,1609.534,,,,
G,1615.928,1615.998,,,,
K,1633.617,1633.647,,,,
K,1640.415,1640.475,,,,
G,1663.198,1663.268,,,,
K,1664.278,1664.558,,,,
G,1685.98,1686.03,,,,
G,1694.579,1694.659,,,,
K,1697.509,1697.719,,,,
K,1707.857,1707.887,,,,
K,1716.715,1716.785,,,,
K,1721.281,1721.341,,,,
K,1727.139,1727.219,,,,
K,1746.509,1746.629,,,,
K,1748.359,1748.489,,,,
K,1759.091,1759.141,,,,
K,1760.971,1761.101,,,,
K,1762.553,1762.633,,,,
G,1764.583,1764.653,,,,
K,1765.323,1765.393,,,,
K,1765.733,1765.823,,,,
G,1766.813,1766.853,,,,
K,1767.393,1767.433,,,,
K,1771.785,1771.875,,,,
K,1782.441,1782.501,,,,
K,1785.192,1785.222,,,,
K,1794.67,1794.77,,,,
K,1795.26,1795.36,,,,
,,,105,0,40,0
