phone,minTime,maxTime
k,22.18,22.28
k,29.411,29.631
k,94.577,94.607
k,107.141,107.171
k,108.621,108.661
k,113.424,113.484
k,114.87,114.93
k,136.1,136.21
k,136.89,136.95
k,140.687,140.757
k,142.417,142.477
k,150.056,150.106
k,158.308,158.368
k,167.076,167.136
k,167.536,167.626
k,194.445,194.475
k,215.52,215.55
k,220.884,220.934
k,230.143,230.213
k,231.965,232.045
k,234.626,234.706
k,248.992,249.022
k,287.036,287.136
k,316.512,316.562
k,320.064,320.104
k,321.562,321.602
k,333.67,333.71
k,338.645,338.715
k,361.04,361.07
k,364.143,364.193
k,364.193,364.293
k,368.52,368.56
k,369.49,369.52
k,382.571,382.691
k,387.218,387.298
k,395.254,395.284
k,397.794,397.874
k,400.649,400.689
k,401.529,401.559
k,403.379,403.409
k,428.37,428.41
k,428.41,428.52
k,428.75,428.79
k,431.363,431.413
k,433.473,433.513
k,433.513,433.553
k,435.838,435.878
k,437.603,437.653
k,437.943,438.023
k,439.113,439.173
k,444.718,444.798
k,445.098,445.138
k,449.059,449.109
k,452.437,452.477
k,454.627,454.777
k,454.967,455.227
k,460.642,460.682
k,460.812,460.842
k,463.282,463.332
k,524.659,524.749
k,530.289,530.359
k,538.39,538.43
k,562.05,562.1
k,587.371,587.431
k,587.431,587.511
k,589.331,589.361
k,589.361,589.451
k,591.527,591.587
k,592.977,593.017
k,607.447,607.547
k,608.337,608.397
k,609.607,609.637
k,616.163,616.203
k,616.323,616.383
k,619.484,619.534
k,621.643,621.683
k,621.773,621.853
k,622.643,622.693
k,625.423,625.463
k,627.454,627.494
k,627.594,627.644
k,627.774,627.854
k,627.954,628.024
k,639.164,639.274
k,653.328,653.438
k,659.44,659.55
k,661.808,661.868
k,667.802,667.842
k,667.922,667.972
k,668.382,668.492
k,669.346,669.436
k,677.723,677.883
k,677.883,677.933
k,692.61,692.75
k,693.902,693.972
k,694.842,694.872
k,700.189,700.279
k,703.038,703.078
k,703.138,703.168
k,704.763,704.793
k,704.863,704.913
k,707.4,707.45
k,712.546,712.606
k,713.756,713.806
k,728.778,728.848
k,740.363,740.453
k,764.5,764.6
k,765.817,765.937
k,766.547,766.587
k,767.827,767.867
k,767.867,767.967
k,771.977,772.127
k,772.287,772.337
k,795.554,795.584
k,795.664,795.694
k,801.612,801.652
k,801.782,801.852
k,802.664,802.714
k,809.613,809.643
k,811.203,811.273
k,814.52,814.56
k,816.755,816.795
k,816.855,816.935
k,822.047,822.077
k,823.027,823.067
k,823.177,823.237
k,852.426,852.466
k,852.606,852.646
k,853.916,853.986
k,856.945,856.975
k,883.118,883.228
k,891.62,891.73
k,901.662,901.692
k,905.025,905.065
k,909.305,909.335
k,910.845,910.935
k,912.487,912.527
k,915.297,915.367
k,915.787,915.817
k,920.672,920.752
k,939.392,939.442
k,944.133,944.233
k,948.379,948.429
k,955.066,955.126
k,958.507,958.537
k,982.536,982.606
k,993.755,993.865
k,999.842,999.912
k,1006.279,1006.309
k,1016.145,1016.185
k,1029.04,1029.07
k,1033.834,1033.894
k,1038.562,1038.592
k,1040.601,1040.661
k,1043.441,1043.471
k,1066.812,1066.862
k,1080.329,1080.509
k,1082.775,1082.805
k,1083.145,1083.185
k,1083.555,1083.635
k,1087.661,1087.691
k,1089.678,1089.778
k,1101.236,1101.266
k,1104.97,1105.03
k,1120.87,1120.93
k,1124.132,1124.222
k,1144.64,1144.75
k,1166.776,1166.846
k,1167.336,1167.386
k,1170.116,1170.176
k,1172.636,1172.716
k,1174.616,1174.656
k,1176.806,1176.836
k,1177.42,1177.46
k,1178.56,1178.63
k,1181.605,1181.645
k,1187.773,1187.803
k,1192.144,1192.184
k,1192.784,1192.834
k,1199.824,1199.884
k,1203.554,1203.624
k,1213.454,1213.524
k,1224.361,1224.391
k,1242.41,1242.54
k,1262.448,1262.518
k,1266.647,1266.707
k,1269.917,1269.947
k,1270.057,1270.137
k,1281.334,1281.384
k,1284.696,1284.726
k,1286.352,1286.402
k,1290.589,1290.629
k,1299.189,1299.229
k,1329.282,1329.312
k,1334.821,1334.871
k,1334.991,1335.091
k,1336.291,1336.321
k,1343.892,1343.942
k,1345.828,1345.888
k,1346.618,1346.678
k,1347.988,1348.048
k,1354.019,1354.059
k,1363.805,1364.035
k,1365.526,1365.556
k,1369.084,1369.114
k,1369.214,1369.254
k,1372.564,1372.604
k,1375.014,1375.094
k,1378.408,1378.438
k,1379.038,1379.068
k,1379.128,1379.188
k,1380.768,1380.808
k,1383.367,1383.437
k,1483.179,1483.239
k,1485.889,1485.979
k,1488.458,1488.498
k,1489.078,1489.108
k,1489.208,1489.268
k,1489.608,1489.658
k,1511.124,1511.164
k,1511.294,1511.364
k,1589.321,1589.391
k,1593.931,1593.961
k,1596.008,1596.048
k,1596.108,1596.178
k,1604.471,1604.591
k,1604.791,1604.931
k,1609.968,1610.148
k,1611.468,1611.498
k,1624.61,1624.66
k,1624.66,1624.74
k,1626.1,1626.17
k,1628.57,1628.61
k,1628.61,1628.65
k,1631.045,1631.115
k,1631.853,1631.883
k,1633.793,1633.823
k,1633.823,1633.913
k,1636.093,1636.133
k,1638.801,1638.861
k,1639.991,1640.031
k,1641.141,1641.241
k,1643.732,1643.772
k,1649.518,1649.568
k,1667.088,1667.128
k,1668.528,1668.578
k,1675.155,1675.215
k,1680.551,1680.601
k,1685.84,1685.92
k,1687.944,1688.004
k,1697.642,1697.682
k,1697.682,1697.732
k,1705.393,1705.433
k,1734.531,1734.581
k,1775.698,1775.778
k,1777.558,1777.678
k,1779.178,1779.208
k,1804.329,1804.459
k,1806.418,1806.508
k,1807.178,1807.218
k,1809.738,1809.808
k,1813.158,1813.208
k,1813.548,1813.598
k,1824.265,1824.315
k,1828.937,1828.967
k,1833.109,1833.179
k,1834.479,1834.509
k,1835.459,1835.489
k,1836.259,1836.289
k,1841.666,1841.716
k,1843.606,1843.646
k,1844.556,1844.586
k,1846.674,1846.714
k,1848.914,1848.984
k,1849.384,1849.444
k,1851.134,1851.174
k,1857.072,1857.122
k,1858.062,1858.132
k,1875.549,1875.629
