phone,minTime,maxTime,k total,kw total,g total,gw total
G,33.456,33.506,,,,
K,43.839,43.969,,,,
G,46.949,47.039,,,,
K,91.895,92.075,,,,
G,97.852,97.932,,,,
K,116.767,116.837,,,,
G,128.728,128.808,,,,
G,137.23,137.3,,,,
G,160.751,160.801,,,,
G,172.389,172.459,,,,
K,201.245,201.325,,,,
K,215.275,215.425,,,,
K,217.295,217.405,,,,
K,219.945,220.045,,,,
K,232.235,232.325,,,,
G,247.031,247.061,,,,
K,268.456,268.576,,,,
K,282.035,282.115,,,,
K,302.455,302.515,,,,
K,311.704,311.794,,,,
K,312.734,312.854,,,,
K,328.006,328.126,,,,
K,328.556,328.606,,,,
G,343.883,343.913,,,,
K,344.673,344.733,,,,
K,351.16,351.23,,,,
K,352.36,352.44,,,,
G,360.955,361.025,,,,
G,369.296,369.326,,,,
K,390.683,390.723,,,,
K,399.329,399.429,,,,
G,400.569,400.629,,,,
K,417.449,417.479,,,,
K,419.203,419.303,,,,
K,421.703,421.773,,,,
K,423.143,423.233,,,,
K,425.505,425.585,,,,
K,448.73,448.81,,,,
G,451.65,451.75,,,,
K,464.19,464.32,,,,
G,475.884,475.974,,,,
K,484.384,484.414,,,,
G,500.412,500.482,,,,
K,509.613,509.713,,,,
K,545.781,545.881,,,,
G,587.668,587.738,,,,
K,590.628,590.698,,,,
G,600.387,600.457,,,,
K,601.717,601.837,,,,
K,610.221,610.351,,,,
K,613.567,613.667,,,,
K,626.965,627.005,,,,
G,630.248,630.318,,,,
K,636.906,637.026,,,,
G,643.959,644.019,,,,
G,647.739,647.809,,,,
K,652.05,652.16,,,,
K,655.95,656.05,,,,
K,657.355,657.435,,,,
K,664.407,664.497,,,,
G,693.873,693.943,,,,
K,701.685,701.765,,,,
G,728.305,728.395,,,,
K,754.413,754.493,,,,
K,762.082,762.112,,,,
G,776.064,776.154,,,,
G,807.572,807.622,,,,
K,855.072,855.122,,,,
K,855.342,855.422,,,,
K,861.465,861.525,,,,
K,863.495,863.575,,,,
K,892.105,892.275,,,,
K,894.833,894.873,,,,
G,960.744,960.794,,,,
K,960.924,960.974,,,,
K,1011.774,1011.824,,,,
G,1047.179,1047.249,,,,
K,1068.458,1068.528,,,,
K,1092.995,1093.105,,,,
K,1102.378,1102.478,,,,
K,1121.707,1121.747,,,,
K,1141.645,1141.675,,,,
G,1148.735,1148.765,,,,
K,1152.474,1152.524,,,,
K,1154.174,1154.204,,,,
G,1156.254,1156.324,,,,
K,1160.867,1161.097,,,,
K,1162.187,1162.307,,,,
G,1203.253,1203.323,,,,
G,1229.118,1229.198,,,,
K,1272.05,1272.17,,,,
K,1284.408,1284.538,,,,
K,1300.181,1300.241,,,,
K,1302.401,1302.461,,,,
K,1302.801,1302.841,,,,
K,1303.471,1303.621,,,,
K,1307.744,1307.774,,,,
K,1309.344,1309.414,,,,
K,1310.224,1310.334,,,,
G,1338.561,1338.631,,,,
K,1357.853,1357.923,,,,
G,1368.924,1369.014,,,,
G,1378.576,1378.656,,,,
K,1379.056,1379.136,,,,
K,1420.491,1420.611,,,,
G,1460.011,1460.071,,,,
K,1513.674,1513.754,,,,
K,1514.264,1514.394,,,,
K,1539.047,1539.107,,,,
K,1555.01,1555.13,,,,
K,1585.828,1585.898,,,,
G,1596.972,1597.052,,,,
K,1621.372,1621.462,,,,
K,1622.662,1622.772,,,,
K,1638.118,1638.258,,,,
K,1708.7,1708.78,,,,
K,1711.081,1711.141,,,,
K,1728.11,1728.15,,,,
K,1735.133,1735.203,,,,
K,1737.433,1737.543,,,,
K,1761.709,1761.759,,,,
K,1766.409,1766.489,,,,
K,1768.059,1768.129,,,,
K,1770.489,1770.539,,,,
K,1773.372,1773.462,,,,
K,1776.412,1776.492,,,,
K,1785.38,1785.41,,,,
K,1794.585,1794.695,,,,
K,1802.543,1802.593,,,,
G,1812.775,1812.835,,,,
G,1815.045,1815.105,,,,
,,,94,0,37,0
