hone,minTime,maxTime,k total,kw total,g total,gw total
g,42.701,42.761,,,,
g,181.12,181.16,,,,
g,182.43,182.48,,,,
g,184.02,184.07,,,,
g,190.058,190.138,,,,
g,194.698,194.768,,,,
k,201.646,201.726,,,,
g,203.676,203.766,,,,
k,204.456,204.506,,,,
k,210.33,210.4,,,,
k,211.54,211.62,,,,
k,212.51,212.57,,,,
g,213.26,213.3,,,,
gw,216.14,216.22,,,,
k,230.176,230.226,,,,
g,232.516,232.556,,,,
k,241.222,241.282,,,,
k,246.728,246.818,,,,
g,249.248,249.298,,,,
g,260.246,260.296,,,,
k,268.612,268.682,,,,
k,274.78,274.85,,,,
k,280.972,281.042,,,,
g,289.732,289.832,,,,
g,298.48,298.56,,,,
k,341.972,342.042,,,,
g,342.362,342.432,,,,
g,359.21,359.25,,,,
g,379.794,379.874,,,,
g,384.384,384.474,,,,
k,385.984,386.044,,,,
g,389.134,389.234,,,,
g,393.194,393.274,,,,
g,398.854,398.914,,,,
k,399.524,399.584,,,,
k,401.264,401.334,,,,
g,402.884,402.964,,,,
g,422.516,422.586,,,,
g,424.866,424.896,,,,
gw,432.579,432.649,,,,
g,442.598,442.638,,,,
g,443.888,443.958,,,,
g,446.528,446.568,,,,
k,456.54,456.58,,,,
g,457.2,457.28,,,,
k,465.844,465.914,,,,
k,466.194,466.284,,,,
g,466.414,466.454,,,,
k,467.754,467.864,,,,
g,503.598,503.708,,,,
g,504.138,504.228,,,,
g,524.627,524.677,,,,
g,526.097,526.197,,,,
g,527.767,527.807,,,,
g,530.648,530.738,,,,
g,547.522,547.582,,,,
g,577.718,577.768,,,,
g,582.972,583.052,,,,
g,589.952,589.982,,,,
g,592.552,592.672,,,,
gw,630.382,630.432,,,,
g,634.24,634.33,,,,
g,641.11,641.16,,,,
k,677.552,677.602,,,,
g,679.862,679.892,,,,
k,680.872,680.922,,,,
gw,690.198,690.348,,,,
k,706.064,706.124,,,,
k,707.234,707.314,,,,
k,711.284,711.354,,,,
g,713.424,713.464,,,,
k,714.534,714.594,,,,
gw,714.904,714.954,,,,
k,716.154,716.234,,,,
k,716.944,717.154,,,,
g,722.894,722.924,,,,
g,729.739,729.819,,,,
g,738.486,738.546,,,,
g,738.926,738.986,,,,
g,739.676,739.746,,,,
g,741.326,741.356,,,,
gw,760.42,760.5,,,,
g,762.46,762.5,,,,
g,771.488,771.578,,,,
g,775.548,775.588,,,,
k,818.828,818.888,,,,
g,822.288,822.338,,,,
k,831.5,831.55,,,,
gw,832.15,832.22,,,,
g,835.8,835.88,,,,
g,836.45,836.49,,,,
g,836.95,837.0,,,,
gw,838.88,838.93,,,,
k,839.85,839.94,,,,
gw,855.412,855.482,,,,
gw,889.074,889.154,,,,
g,890.224,890.274,,,,
gw,893.904,893.964,,,,
g,894.484,894.564,,,,
g,903.746,903.786,,,,
gw,907.086,907.166,,,,
g,913.688,913.718,,,,
g,926.944,927.054,,,,
gw,928.964,929.054,,,,
g,932.664,932.734,,,,
g,936.208,936.288,,,,
gw,960.966,961.056,,,,
g,973.989,974.069,,,,
g,974.689,974.719,,,,
g,983.972,984.042,,,,
k,1013.914,1013.964,,,,
g,1018.906,1019.006,,,,
g,1023.026,1023.056,,,,
g,1024.256,1024.316,,,,
g,1025.587,1025.627,,,,
g,1075.026,1075.116,,,,
g,1082.026,1082.186,,,,
k,1091.042,1091.132,,,,
k,1093.672,1093.702,,,,
g,1103.04,1103.08,,,,
g,1103.35,1103.42,,,,
g,1107.818,1107.898,,,,
k,1111.228,1111.258,,,,
k,1132.038,1132.098,,,,
g,1138.844,1138.924,,,,
g,1141.304,1141.364,,,,
g,1159.273,1159.303,,,,
g,1178.136,1178.286,,,,
g,1181.778,1182.028,,,,
g,1182.738,1182.898,,,,
g,1188.688,1188.738,,,,
g,1189.708,1189.898,,,,
g,1190.568,1190.618,,,,
g,1207.563,1207.613,,,,
g,1230.554,1230.624,,,,
g,1231.874,1231.914,,,,
g,1234.114,1234.154,,,,
g,1236.304,1236.384,,,,
g,1240.314,1240.394,,,,
g,1287.028,1287.098,,,,
g,1288.888,1288.938,,,,
g,1289.238,1289.328,,,,
g,1291.908,1291.988,,,,
g,1294.808,1294.858,,,,
g,1316.85,1316.95,,,,
k,1318.229,1318.299,,,,
g,1319.549,1319.649,,,,
k,1321.009,1321.089,,,,
g,1321.679,1321.829,,,,
g,1327.927,1327.967,,,,
k,1328.187,1328.297,,,,
g,1330.027,1330.077,,,,
k,1330.317,1330.377,,,,
g,1334.91,1334.95,,,,
k,1335.32,1335.39,,,,
g,1337.23,1337.29,,,,
g,1364.959,1365.029,,,,
g,1368.849,1368.889,,,,
k,1370.462,1370.532,,,,
g,1372.252,1372.322,,,,
g,1379.114,1379.164,,,,
g,1382.344,1382.374,,,,
g,1414.76,1414.82,,,,
g,1418.42,1418.47,,,,
g,1420.1,1420.18,,,,
g,1428.04,1428.09,,,,
g,1428.6,1428.65,,,,
g,1443.588,1443.628,,,,
g,1452.138,1452.178,,,,
k,1453.195,1453.285,,,,
g,1457.535,1457.575,,,,
k,1458.445,1458.505,,,,
g,1459.395,1459.425,,,,
g,1465.149,1465.189,,,,
g,1465.689,1465.919,,,,
g,1528.308,1528.478,,,,
gw,1553.61,1553.73,,,,
k,1559.878,1559.908,,,,
g,1562.968,1563.098,,,,
g,1564.088,1564.118,,,,
g,1580.568,1580.698,,,,
g,1581.128,1581.168,,,,
g,1587.648,1587.688,,,,
g,1593.254,1593.304,,,,
g,1606.766,1606.836,,,,
g,1607.866,1607.906,,,,
g,1630.468,1630.578,,,,
g,1652.684,1652.734,,,,
g,1661.854,1661.924,,,,
gw,1663.802,1663.862,,,,
g,1666.992,1667.022,,,,
g,1683.92,1683.97,,,,
g,1685.4,1685.48,,,,
g,1689.075,1689.115,,,,
g,1706.24,1706.32,,,,
g,1709.39,1709.44,,,,
g,1741.167,1741.227,,,,
g,1747.24,1747.27,,,,
g,1747.54,1747.62,,,,
g,1751.423,1751.473,,,,
g,1751.993,1752.073,,,,
g,1752.293,1752.343,,,,
g,1752.663,1752.733,,,,
k,1753.793,1753.893,,,,
g,1771.528,1771.568,,,,
g,1793.294,1793.384,,,,
g,1808.924,1808.984,,,,
,,,45,0,146,16
