phone,minTime,maxTime
k,133.302,133.332
k,146.623,146.653
k,191.972,192.002
k,359.18,359.23
k,361.96,362.0
k,371.844,371.924
k,397.14,397.17
k,539.345,539.425
k,539.855,539.885
k,636.224,636.304
k,677.596,677.626
k,687.553,687.583
k,742.285,742.345
k,746.625,746.695
k,855.568,855.678
k,869.452,869.522
k,904.942,904.972
k,936.371,936.481
k,942.915,942.965
k,959.584,959.664
k,1002.7,1002.8
k,1099.013,1099.063
k,1146.758,1146.798
k,1328.014,1328.054
k,1334.37,1334.4
k,1340.181,1340.241
k,1438.332,1438.582
k,1463.15,1463.2
k,1484.596,1484.706
k,1491.077,1491.127
k,1495.023,1495.083
k,1495.913,1495.953
k,1504.36,1504.42
k,1505.697,1505.747
k,1533.608,1533.648
k,1537.482,1537.512
k,1584.98,1585.04
k,1592.048,1592.088
k,1632.548,1632.708
