phone,minTime,maxTime,k total,kw total,g total,gw total
g,25.87,25.97,,,,
g,27.696,27.756,,,,
g,50.432,50.472,,,,
g,77.744,77.844,,,,
k,79.064,79.104,,,,
g,79.514,79.584,,,,
g,80.124,80.164,,,,
g,85.743,86.063,,,,
g,89.218,89.268,,,,
g,90.868,90.958,,,,
g,90.988,91.018,,,,
g,99.09,99.13,,,,
g,103.446,103.536,,,,
g,119.16,119.19,,,,
g,121.96,122.12,,,,
g,126.547,126.687,,,,
g,130.348,130.468,,,,
g,137.022,137.122,,,,
g,151.23,151.34,,,,
g,156.994,157.094,,,,
g,160.416,160.486,,,,
g,174.972,175.082,,,,
g,213.134,213.194,,,,
k,216.084,216.154,,,,
k,227.865,227.925,,,,
k,236.959,237.039,,,,
g,246.856,246.896,,,,
g,250.92,250.97,,,,
g,278.022,278.072,,,,
k,282.212,282.302,,,,
k,287.36,287.41,,,,
k,292.754,292.794,,,,
g,295.724,295.764,,,,
k,302.374,302.404,,,,
k,307.59,307.62,,,,
g,309.41,309.53,,,,
k,318.218,318.248,,,,
k,326.348,326.428,,,,
gw,334.314,334.394,,,,
g,355.22,355.29,,,,
g,355.79,355.85,,,,
k,356.09,356.16,,,,
g,356.5,356.62,,,,
k,361.509,361.579,,,,
k,363.039,363.079,,,,
gw,369.184,369.334,,,,
gw,369.744,369.864,,,,
g,370.074,370.114,,,,
g,371.441,371.501,,,,
k,371.651,371.681,,,,
g,372.731,372.781,,,,
k,379.413,379.493,,,,
gw,385.458,385.528,,,,
g,400.736,400.826,,,,
k,407.138,407.178,,,,
g,408.068,408.118,,,,
g,411.608,411.718,,,,
g,415.283,415.373,,,,
g,429.123,429.253,,,,
k,447.786,447.836,,,,
g,449.226,449.296,,,,
g,452.828,452.868,,,,
k,455.12,455.16,,,,
g,457.07,457.1,,,,
k,457.95,457.98,,,,
g,460.502,460.532,,,,
k,463.072,463.112,,,,
g,468.961,468.991,,,,
g,478.433,478.513,,,,
k,496.59,496.66,,,,
k,504.591,504.671,,,,
k,525.173,525.203,,,,
g,526.223,526.363,,,,
g,527.083,527.123,,,,
g,529.833,529.883,,,,
g,531.939,531.969,,,,
k,534.63,534.66,,,,
g,536.15,536.27,,,,
k,536.9,536.95,,,,
g,541.17,541.25,,,,
g,541.63,541.74,,,,
g,544.431,544.511,,,,
g,548.612,548.642,,,,
g,553.695,553.725,,,,
g,573.374,573.474,,,,
g,574.632,574.732,,,,
k,576.222,576.252,,,,
g,579.222,579.262,,,,
g,580.962,581.032,,,,
g,583.724,583.854,,,,
g,587.092,587.332,,,,
k,587.602,587.682,,,,
g,588.922,588.982,,,,
k,589.572,589.662,,,,
g,590.442,590.552,,,,
k,592.477,592.527,,,,
k,601.777,601.847,,,,
g,602.167,602.197,,,,
k,602.907,602.957,,,,
g,603.777,603.807,,,,
g,606.571,606.651,,,,
g,607.581,607.631,,,,
g,616.87,616.94,,,,
g,645.14,645.18,,,,
g,646.4,646.45,,,,
k,647.4,647.46,,,,
k,662.148,662.218,,,,
g,666.413,666.473,,,,
k,670.223,670.363,,,,
g,670.513,670.563,,,,
g,677.221,677.251,,,,
k,679.394,679.424,,,,
g,683.06,683.13,,,,
g,686.39,686.48,,,,
gw,692.205,692.255,,,,
g,697.412,697.482,,,,
k,700.738,700.768,,,,
g,702.318,702.378,,,,
k,729.046,729.086,,,,
g,732.336,732.386,,,,
g,743.828,743.948,,,,
g,748.661,748.711,,,,
g,752.852,752.902,,,,
gw,766.596,766.666,,,,
g,775.383,775.443,,,,
g,786.257,786.337,,,,
g,786.617,786.657,,,,
g,788.817,788.847,,,,
g,803.394,803.474,,,,
g,807.729,807.809,,,,
g,841.012,841.082,,,,
gw,845.872,845.932,,,,
g,848.292,848.342,,,,
g,870.472,870.532,,,,
g,874.597,874.637,,,,
g,885.725,885.765,,,,
g,889.328,889.358,,,,
g,889.808,889.858,,,,
gw,892.098,892.188,,,,
g,894.347,894.447,,,,
g,902.393,902.453,,,,
g,905.198,905.248,,,,
g,927.791,927.831,,,,
k,929.161,929.231,,,,
g,933.01,933.12,,,,
g,935.636,935.716,,,,
k,983.156,983.196,,,,
g,984.456,984.486,,,,
g,987.598,987.668,,,,
g,988.628,988.678,,,,
k,992.187,992.277,,,,
k,994.207,994.247,,,,
k,996.077,996.117,,,,
g,997.447,997.537,,,,
g,1005.779,1005.829,,,,
g,1006.999,1007.059,,,,
g,1008.929,1009.019,,,,
g,1011.852,1011.892,,,,
g,1014.332,1014.392,,,,
g,1020.559,1020.659,,,,
k,1020.959,1020.999,,,,
g,1023.189,1023.299,,,,
k,1033.967,1034.007,,,,
g,1038.442,1038.542,,,,
g,1058.03,1058.13,,,,
g,1062.19,1062.26,,,,
g,1066.213,1066.303,,,,
g,1074.291,1074.321,,,,
gw,1077.803,1077.833,,,,
g,1081.223,1081.283,,,,
g,1133.886,1134.086,,,,
gw,1140.473,1140.563,,,,
g,1147.786,1147.886,,,,
gw,1166.547,1166.637,,,,
g,1205.355,1205.455,,,,
g,1208.605,1208.725,,,,
g,1218.336,1218.426,,,,
g,1234.538,1234.588,,,,
g,1244.621,1244.691,,,,
g,1244.871,1244.901,,,,
g,1245.551,1245.711,,,,
g,1252.688,1252.748,,,,
g,1254.671,1254.731,,,,
g,1258.441,1258.491,,,,
g,1271.475,1271.535,,,,
g,1275.315,1275.345,,,,
g,1280.73,1280.82,,,,
g,1285.104,1285.154,,,,
k,1286.204,1286.284,,,,
g,1288.214,1288.264,,,,
g,1312.372,1312.432,,,,
g,1321.97,1322.05,,,,
g,1325.552,1325.642,,,,
g,1328.812,1328.922,,,,
g,1350.194,1350.264,,,,
g,1373.69,1373.76,,,,
g,1401.828,1401.928,,,,
g,1418.09,1418.16,,,,
gw,1459.41,1459.46,,,,
g,1460.82,1460.91,,,,
g,1461.82,1461.86,,,,
g,1466.313,1466.393,,,,
g,1492.368,1492.448,,,,
g,1496.508,1496.618,,,,
gw,1521.688,1521.778,,,,
g,1527.399,1527.469,,,,
g,1531.732,1531.772,,,,
g,1539.446,1539.556,,,,
g,1545.659,1545.719,,,,
g,1548.36,1548.43,,,,
g,1558.766,1558.836,,,,
g,1561.876,1561.946,,,,
g,1564.996,1565.126,,,,
g,1567.926,1568.036,,,,
k,1570.899,1571.039,,,,
g,1584.35,1584.43,,,,
g,1591.102,1591.172,,,,
g,1595.16,1595.22,,,,
g,1595.74,1595.79,,,,
g,1610.692,1610.762,,,,
gw,1611.492,1611.522,,,,
g,1613.252,1613.362,,,,
g,1626.792,1626.832,,,,
gw,1641.478,1641.538,,,,
g,1649.976,1650.106,,,,
g,1663.6,1663.67,,,,
g,1686.37,1686.46,,,,
g,1694.434,1694.484,,,,
g,1701.34,1701.39,,,,
g,1704.59,1704.63,,,,
g,1706.615,1706.685,,,,
k,1715.876,1715.936,,,,
g,1716.606,1716.636,,,,
g,1718.898,1718.938,,,,
k,1719.988,1720.018,,,,
g,1727.793,1727.883,,,,
g,1731.339,1731.399,,,,
g,1748.889,1748.939,,,,
k,1764.963,1765.013,,,,
g,1765.943,1765.973,,,,
k,1766.683,1766.733,,,,
g,1783.305,1783.405,,,,
g,1784.065,1784.105,,,,
g,1789.755,1789.825,,,,
g,1802.666,1802.746,,,,
g,1803.533,1803.593,,,,
gw,1812.326,1812.476,,,,
g,1817.863,1817.923,,,,
g,1824.01,1824.06,,,,
,,,51,0,182,16
