phone,minTime,maxTime
k,144.164,144.284
k,162.134,162.164
k,172.874,172.994
k,277.706,277.796
k,282.668,282.758
k,339.63,339.72
k,353.932,354.012
k,355.622,355.712
k,360.699,360.769
k,379.335,379.365
k,415.022,415.082
k,431.119,431.189
k,484.366,484.436
k,589.85,589.88
k,677.955,678.045
k,679.785,679.815
k,733.517,733.637
k,746.721,746.771
k,749.232,749.302
k,759.804,759.834
k,759.944,760.004
k,778.129,778.209
k,780.089,780.149
k,797.036,797.066
k,797.806,797.876
k,839.612,839.672
k,870.143,870.173
k,870.233,870.313
k,880.696,880.786
k,1093.33,1093.37
k,1094.09,1094.12
k,1158.228,1158.258
k,1166.898,1166.938
k,1178.85,1178.88
k,1178.94,1179.02
k,1181.85,1181.93
k,1185.598,1185.658
k,1213.211,1213.321
k,1218.104,1218.184
k,1221.175,1221.225
k,1236.344,1236.404
k,1276.125,1276.395
k,1279.265,1279.365
k,1315.935,1315.985
k,1325.282,1325.312
k,1370.338,1370.418
k,1561.012,1561.082
k,1625.334,1625.444
k,1791.867,1791.897
k,1791.957,1791.987
k,1793.127,1793.227
k,1794.52,1794.61
