speaker,language,clip,phone,vot_ms
VF21C,C,0,g,28.999999999999996
VF21C,C,1,g,52.00000000000001
VF21C,C,10,g,5.000000000000004
VF21C,C,100,g,90.0
VF21C,C,101,g,21.000000000000004
VF21C,C,102,k,53.00000000000001
VF21C,C,103,k,59.999999999999986
VF21C,C,104,g,28.999999999999996
VF21C,C,105,k,5.000000000000004
VF21C,C,106,k,95.99999999999999
VF21C,C,107,g,4.999999999999977
VF21C,C,108,k,31.0
VF21C,C,109,g,34.0
VF21C,C,11,k,59.0
VF21C,C,110,k,44.0
VF21C,C,111,k,37.00000000000001
VF21C,C,112,k,5.000000000000004
VF21C,C,113,g,25.000000000000007
VF21C,C,114,k,5.000000000000004
VF21C,C,115,k,94.0
VF21C,C,116,k,100.99999999999999
VF21C,C,117,g,37.99999999999999
VF21C,C,118,k,87.00000000000001
VF21C,C,119,g,34.0
VF21C,C,12,g,91.00000000000001
VF21C,C,120,k,5.000000000000004
VF21C,C,121,g,78.0
VF21C,C,122,g,97.0
VF21C,C,123,g,41.00000000000001
VF21C,C,124,g,33.0
VF21C,C,125,g,5.000000000000004
VF21C,C,126,g,90.0
VF21C,C,127,g,51.000000000000014
VF21C,C,128,g,28.999999999999996
VF21C,C,129,g,24.999999999999982
VF21C,C,13,g,26.999999999999996
VF21C,C,130,g,43.0
VF21C,C,131,g,19.000000000000004
VF21C,C,132,g,114.99999999999999
VF21C,C,133,k,87.0
VF21C,C,134,g,48.0
VF21C,C,135,g,27.999999999999996
VF21C,C,136,g,95.0
VF21C,C,137,g,17.99999999999999
VF21C,C,138,g,22.000000000000007
VF21C,C,139,g,66.0
VF21C,C,14,g,24.999999999999993
VF21C,C,140,g,103.0
VF21C,C,141,g,34.0
VF21C,C,142,g,8.999999999999995
VF21C,C,143,g,25.000000000000007
VF21C,C,144,g,23.999999999999993
VF21C,C,145,g,5.000000000000004
VF21C,C,146,g,39.00000000000001
VF21C,C,147,g,24.999999999999993
VF21C,C,148,g,5.000000000000004
VF21C,C,149,g,21.000000000000004
VF21C,C,15,g,31.0
VF21C,C,150,g,26.999999999999996
VF21C,C,151,k,5.000000000000004
VF21C,C,152,g,28.999999999999996
VF21C,C,153,g,31.0
VF21C,C,154,g,31.0
VF21C,C,155,g,101.0
VF21C,C,156,g,16.0
VF21C,C,157,k,66.0
VF21C,C,158,k,109.00000000000001
VF21C,C,159,g,13.00000000000001
VF21C,C,16,g,26.999999999999996
VF21C,C,160,g,17.0
VF21C,C,161,g,18.000000000000004
VF21C,C,162,g,30.0
VF21C,C,163,g,5.000000000000004
VF21C,C,164,g,5.000000000000004
VF21C,C,165,g,39.99999999999998
VF21C,C,166,g,34.0
VF21C,C,167,g,23.999999999999993
VF21C,C,168,k,62.000000000000014
VF21C,C,169,k,77.0
VF21C,C,17,g,50.0
VF21C,C,170,k,62.999999999999986
VF21C,C,171,g,19.000000000000004
VF21C,C,172,k,62.000000000000014
VF21C,C,173,g,18.99999999999999
VF21C,C,174,k,26.999999999999996
VF21C,C,175,g,24.000000000000007
VF21C,C,176,g,23.999999999999993
VF21C,C,177,g,17.0
VF21C,C,178,g,25.999999999999996
VF21C,C,179,k,11.999999999999996
VF21C,C,18,g,35.0
VF21C,C,180,g,35.0
VF21C,C,181,g,38.00000000000001
VF21C,C,182,g,31.0
VF21C,C,183,g,32.0
VF21C,C,184,g,13.999999999999998
VF21C,C,185,k,66.99999999999999
VF21C,C,186,g,11.999999999999996
VF21C,C,187,g,15.0
VF21C,C,188,k,5.000000000000004
VF21C,C,189,g,17.0
VF21C,C,19,g,159.0
VF21C,C,190,k,5.000000000000004
VF21C,C,191,k,63.0
VF21C,C,192,g,35.99999999999999
VF21C,C,193,g,153.0
VF21C,C,194,g,38.00000000000001
VF21C,C,195,g,56.99999999999999
VF21C,C,196,g,19.000000000000004
VF21C,C,197,g,38.99999999999999
VF21C,C,198,g,28.999999999999996
VF21C,C,199,g,18.999999999999996
VF21C,C,2,g,44.0
VF21C,C,20,g,5.000000000000004
VF21C,C,200,g,23.999999999999993
VF21C,C,201,g,38.00000000000001
VF21C,C,202,g,27.999999999999996
VF21C,C,203,g,33.0
VF21C,C,204,g,26.999999999999996
VF21C,C,205,g,45.0
VF21C,C,206,g,19.000000000000004
VF21C,C,207,g,22.999999999999993
VF21C,C,208,g,22.999999999999993
VF21C,C,209,g,39.00000000000001
VF21C,C,21,g,63.0
VF21C,C,210,g,19.99999999999999
VF21C,C,211,g,18.99999999999999
VF21C,C,212,g,25.999999999999996
VF21C,C,213,g,41.99999999999999
VF21C,C,214,g,106.00000000000001
VF21C,C,215,g,17.99999999999999
VF21C,C,216,g,23.999999999999993
VF21C,C,217,k,79.0
VF21C,C,218,g,23.000000000000007
VF21C,C,219,g,5.000000000000004
VF21C,C,22,g,5.000000000000004
VF21C,C,220,g,25.0
VF21C,C,221,g,33.0
VF21C,C,222,g,26.999999999999996
VF21C,C,223,g,25.000000000000007
VF21C,C,224,g,23.000000000000007
VF21C,C,225,g,22.000000000000007
VF21C,C,226,g,36.0
VF21C,C,227,g,47.0
VF21C,C,228,g,36.00000000000001
VF21C,C,229,g,43.0
VF21C,C,23,g,30.0
VF21C,C,230,g,19.000000000000004
VF21C,C,231,k,32.0
VF21C,C,232,g,34.0
VF21C,C,233,g,47.0
VF21C,C,234,k,53.00000000000001
VF21C,C,235,k,44.000000000000014
VF21C,C,236,g,33.0
VF21C,C,237,g,33.0
VF21C,C,238,g,5.000000000000004
VF21C,C,239,g,39.00000000000001
VF21C,C,24,g,77.00000000000001
VF21C,C,25,g,20.000000000000004
VF21C,C,26,k,75.0
VF21C,C,27,g,63.0
VF21C,C,28,g,92.00000000000001
VF21C,C,29,k,5.000000000000004
VF21C,C,3,g,36.99999999999999
VF21C,C,30,g,30.999999999999993
VF21C,C,31,g,22.999999999999993
VF21C,C,32,k,69.0
VF21C,C,33,g,42.00000000000001
VF21C,C,34,gw,35.0
VF21C,C,35,g,47.0
VF21C,C,36,g,44.0
VF21C,C,37,k,11.999999999999996
VF21C,C,38,g,26.999999999999996
VF21C,C,39,g,30.0
VF21C,C,4,g,39.00000000000001
VF21C,C,40,g,74.00000000000001
VF21C,C,41,g,17.0
VF21C,C,42,g,60.0
VF21C,C,43,k,4.999999999999997
VF21C,C,44,g,21.000000000000004
VF21C,C,45,g,23.000000000000007
VF21C,C,46,g,38.99999999999999
VF21C,C,47,g,49.0
VF21C,C,48,g,37.00000000000001
VF21C,C,49,k,87.00000000000001
VF21C,C,5,g,22.000000000000007
VF21C,C,50,g,33.999999999999986
VF21C,C,51,g,64.00000000000001
VF21C,C,52,g,73.0
VF21C,C,53,g,13.00000000000001
VF21C,C,54,g,28.00000000000001
VF21C,C,55,g,44.0
VF21C,C,56,k,83.0
VF21C,C,57,g,33.0
VF21C,C,58,g,40.00000000000001
VF21C,C,59,k,98.0
VF21C,C,6,g,5.000000000000004
VF21C,C,60,g,26.999999999999996
VF21C,C,61,g,4.99999999999999
VF21C,C,62,g,38.00000000000001
