phone,minTime,maxTime,k total,kw total,g total,gw total
g,25.555,25.615,,,,
k,84.182,84.252,,,,
k,86.752,86.812,,,,
k,91.066,91.136,,,,
k,92.596,92.666,,,,
k,102.44,102.51,,,,
k,108.986,109.046,,,,
g,111.366,111.446,,,,
k,115.064,115.134,,,,
k,115.984,116.034,,,,
k,121.244,121.304,,,,
g,122.144,122.204,,,,
k,127.04,127.11,,,,
k,128.78,128.85,,,,
k,134.396,134.486,,,,
g,141.554,141.604,,,,
g,143.044,143.114,,,,
g,154.806,154.906,,,,
k,159.22,159.28,,,,
g,164.842,164.932,,,,
k,166.402,166.452,,,,
k,173.212,173.272,,,,
g,173.622,173.682,,,,
g,174.062,174.122,,,,
k,187.282,187.342,,,,
g,203.876,203.956,,,,
k,208.046,208.146,,,,
k,223.246,223.306,,,,
g,237.01,237.08,,,,
g,238.736,238.886,,,,
g,241.376,241.446,,,,
k,242.405,242.475,,,,
k,243.566,243.626,,,,
g,246.806,246.896,,,,
g,248.356,248.426,,,,
g,264.264,264.344,,,,
g,265.054,265.144,,,,
g,265.684,265.774,,,,
g,272.996,273.086,,,,
g,274.715,274.805,,,,
g,275.405,275.455,,,,
g,297.612,297.662,,,,
k,317.674,317.734,,,,
k,323.911,323.961,,,,
g,324.701,324.771,,,,
g,326.26,326.35,,,,
g,333.26,333.33,,,,
g,352.283,352.323,,,,
g,422.597,422.667,,,,
g,424.037,424.117,,,,
g,432.322,432.392,,,,
g,432.932,433.002,,,,
g,438.07,438.16,,,,
g,438.71,438.74,,,,
g,439.8,439.88,,,,
g,456.997,457.027,,,,
g,458.417,458.487,,,,
g,480.076,480.106,,,,
g,497.246,497.316,,,,
g,501.129,501.169,,,,
g,523.834,523.904,,,,
k,554.706,554.766,,,,
g,557.923,557.983,,,,
g,567.477,567.657,,,,
g,570.297,570.397,,,,
g,571.624,571.714,,,,
g,576.044,576.124,,,,
g,577.494,577.534,,,,
g,580.15,580.19,,,,
g,581.83,581.9,,,,
k,594.522,594.622,,,,
gw,596.172,596.262,,,,
g,652.536,652.596,,,,
k,672.802,672.862,,,,
g,679.467,679.557,,,,
g,692.153,692.193,,,,
g,700.909,700.979,,,,
k,704.197,704.247,,,,
g,705.317,705.397,,,,
g,705.847,705.927,,,,
g,706.007,706.067,,,,
g,744.398,744.428,,,,
g,745.268,745.448,,,,
g,755.605,755.675,,,,
g,756.448,756.518,,,,
k,777.502,777.612,,,,
g,792.296,792.346,,,,
k,796.983,797.053,,,,
k,814.675,814.775,,,,
g,814.965,815.045,,,,
k,816.245,816.325,,,,
g,817.715,817.855,,,,
k,818.793,818.863,,,,
g,823.063,823.103,,,,
g,823.821,823.891,,,,
k,824.141,824.191,,,,
g,826.726,826.796,,,,
g,827.496,827.586,,,,
g,828.846,828.946,,,,
g,829.546,829.606,,,,
g,831.505,831.565,,,,
g,837.689,837.759,,,,
g,858.39,858.44,,,,
g,867.949,867.999,,,,
gw,872.185,872.275,,,,
k,901.635,901.745,,,,
gw,902.835,902.915,,,,
g,908.465,908.545,,,,
g,909.831,909.901,,,,
g,910.631,910.741,,,,
g,912.061,912.121,,,,
g,914.505,914.595,,,,
g,918.295,918.365,,,,
k,921.658,921.748,,,,
g,931.598,931.688,,,,
k,938.589,938.649,,,,
g,940.599,940.669,,,,
g,964.771,964.871,,,,
g,965.311,965.401,,,,
g,966.301,966.361,,,,
k,970.954,970.994,,,,
g,976.673,976.753,,,,
g,979.533,979.603,,,,
g,994.47,994.54,,,,
k,996.375,996.435,,,,
k,998.505,998.585,,,,
g,1005.234,1005.314,,,,
g,1006.953,1007.033,,,,
g,1008.243,1008.313,,,,
k,1023.912,1023.972,,,,
k,1026.904,1026.994,,,,
k,1029.691,1029.751,,,,
