speaker,language,clip,phone,vot_ms
VF21D,C,0,g,25.000000000000007
VF21D,C,1,k,84.00000000000001
VF21D,C,10,k,60.999999999999986
VF21D,C,100,g,43.0
VF21D,C,101,k,99.99999999999999
VF21D,C,102,g,5.000000000000004
VF21D,C,103,g,28.99999999999999
VF21D,C,104,g,24.000000000000007
VF21D,C,105,g,26.999999999999996
VF21D,C,106,g,55.00000000000001
VF21D,C,107,k,120.00000000000001
VF21D,C,108,g,48.0
VF21D,C,109,k,31.0
VF21D,C,11,k,50.99999999999999
VF21D,C,110,g,42.0
VF21D,C,111,g,41.00000000000001
VF21D,C,112,k,71.00000000000001
VF21D,C,113,g,41.00000000000001
VF21D,C,114,g,39.0
VF21D,C,115,g,22.000000000000007
VF21D,C,116,g,22.999999999999993
VF21D,C,117,g,29.000000000000025
VF21D,C,118,g,34.99999999999999
VF21D,C,119,g,33.0
VF21D,C,12,k,50.99999999999999
VF21D,C,120,g,41.99999999999999
VF21D,C,121,g,27.999999999999996
VF21D,C,122,g,28.999999999999996
VF21D,C,123,g,32.0
VF21D,C,124,g,31.0
VF21D,C,125,g,26.999999999999996
VF21D,C,126,k,68.0
VF21D,C,127,g,63.0
VF21D,C,128,g,31.0
VF21D,C,129,g,67.0
VF21D,C,13,g,39.0
VF21D,C,130,g,27.999999999999996
VF21D,C,131,g,45.000000000000014
VF21D,C,132,g,38.00000000000001
VF21D,C,133,g,37.00000000000001
VF21D,C,134,k,46.000000000000014
VF21D,C,135,k,77.0
VF21D,C,136,g,22.0
VF21D,C,137,g,66.99999999999999
VF21D,C,138,g,32.0
VF21D,C,139,g,81.0
VF21D,C,14,k,83.0
VF21D,C,140,g,25.999999999999996
VF21D,C,141,g,21.999999999999993
VF21D,C,142,k,34.0
VF21D,C,143,g,31.0
VF21D,C,144,g,18.99999999999999
VF21D,C,145,g,29.999999999999993
VF21D,C,146,g,37.99999999999999
VF21D,C,147,k,75.99999999999999
VF21D,C,148,g,30.000000000000007
VF21D,C,149,g,22.999999999999993
VF21D,C,15,g,34.0
VF21D,C,150,g,15.0
VF21D,C,151,g,26.00000000000001
VF21D,C,152,g,23.000000000000007
VF21D,C,153,g,22.999999999999993
VF21D,C,154,g,32.0
VF21D,C,155,g,5.000000000000004
VF21D,C,156,g,36.00000000000001
VF21D,C,157,k,63.0
VF21D,C,158,k,59.999999999999986
VF21D,C,159,k,73.0
VF21D,C,16,k,5.000000000000004
VF21D,C,160,k,75.00000000000001
VF21D,C,161,g,38.00000000000001
VF21D,C,162,g,33.0
VF21D,C,163,k,74.99999999999999
VF21D,C,164,g,39.0
VF21D,C,165,g,18.000000000000004
VF21D,C,166,g,32.0
VF21D,C,167,g,31.999999999999986
VF21D,C,168,g,24.999999999999993
VF21D,C,169,g,24.999999999999993
VF21D,C,17,g,18.99999999999999
VF21D,C,170,g,38.00000000000001
VF21D,C,171,g,28.999999999999996
VF21D,C,172,g,7.999999999999993
VF21D,C,173,g,61.000000000000014
VF21D,C,174,g,20.000000000000004
VF21D,C,175,g,23.999999999999993
VF21D,C,176,g,75.99999999999999
VF21D,C,177,g,33.999999999999986
VF21D,C,178,g,4.999999999999977
VF21D,C,179,g,32.0
VF21D,C,18,k,108.0
VF21D,C,180,g,45.000000000000014
VF21D,C,181,g,37.00000000000001
VF21D,C,182,k,5.000000000000004
VF21D,C,183,g,25.000000000000007
VF21D,C,184,g,5.000000000000004
VF21D,C,19,k,5.000000000000004
VF21D,C,2,k,97.99999999999999
VF21D,C,20,k,4.999999999999977
VF21D,C,21,g,4.99999999999999
VF21D,C,22,g,42.999999999999986
VF21D,C,23,k,86.0
VF21D,C,24,k,58.00000000000001
VF21D,C,25,g,5.000000000000004
VF21D,C,26,g,5.000000000000004
VF21D,C,27,g,46.0
VF21D,C,28,g,48.000000000000014
VF21D,C,29,g,40.00000000000001
VF21D,C,3,k,70.0
VF21D,C,30,g,64.0
VF21D,C,31,g,29.00000000000001
VF21D,C,32,g,25.999999999999996
VF21D,C,33,g,53.0
VF21D,C,34,g,18.000000000000004
VF21D,C,35,g,5.000000000000004
VF21D,C,36,g,25.999999999999996
VF21D,C,37,g,23.000000000000007
VF21D,C,38,g,4.99999999999999
VF21D,C,39,g,199.0
