phone,minTime,maxTime,k total,kw total,g total,gw total
g,15.843,15.923,,,,
g,17.002,17.072,,,,
g,30.879,30.939,,,,
g,57.436,57.496,,,,
g,64.66,64.69,,,,
g,65.38,65.43,,,,
g,79.171,79.291,,,,
kw,83.811,83.871,,,,
g,86.381,86.431,,,,
g,86.921,86.971,,,,
g,93.586,93.646,,,,
k,93.776,93.826,,,,
k,96.677,96.757,,,,
k,97.857,97.887,,,,
k,98.527,98.557,,,,
g,99.787,99.857,,,,
g,100.337,100.387,,,,
g,106.848,106.888,,,,
g,109.638,109.688,,,,
k,112.243,112.373,,,,
g,114.583,114.673,,,,
g,116.794,116.884,,,,
g,129.892,129.952,,,,
g,136.995,137.095,,,,
g,141.415,141.495,,,,
g,141.755,141.815,,,,
g,148.692,148.772,,,,
g,151.78,151.87,,,,
g,155.836,155.866,,,,
g,157.506,157.556,,,,
g,161.561,161.641,,,,
g,172.836,172.886,,,,
g,181.527,181.597,,,,
g,191.729,191.789,,,,
g,193.319,193.389,,,,
g,193.659,193.729,,,,
g,195.182,195.222,,,,
g,198.112,198.152,,,,
g,200.702,200.732,,,,
g,201.562,201.592,,,,
g,206.772,206.882,,,,
g,208.934,209.014,,,,
g,213.164,213.224,,,,
g,214.114,214.174,,,,
g,221.065,221.155,,,,
g,228.612,228.682,,,,
g,238.446,238.486,,,,
k,264.83,264.88,,,,
g,265.06,265.11,,,,
gw,269.314,269.364,,,,
g,285.905,285.935,,,,
g,287.155,287.185,,,,
k,291.761,291.801,,,,
g,303.425,303.465,,,,
g,306.935,307.085,,,,
gw,309.595,309.625,,,,
g,309.675,309.745,,,,
k,309.905,309.955,,,,
g,310.335,310.405,,,,
g,322.161,322.241,,,,
g,323.061,323.111,,,,
g,323.201,323.281,,,,
g,327.143,327.213,,,,
g,327.353,327.453,,,,
g,331.267,331.327,,,,
g,331.847,331.877,,,,
g,334.136,334.246,,,,
g,335.856,335.956,,,,
g,343.541,343.591,,,,
k,352.48,352.56,,,,
gw,353.16,353.22,,,,
g,353.81,353.85,,,,
gw,354.93,354.99,,,,
g,355.33,355.36,,,,
g,356.93,357.0,,,,
gw,358.129,358.179,,,,
g,358.399,358.429,,,,
g,365.824,365.854,,,,
g,366.154,366.214,,,,
g,368.437,368.467,,,,
g,369.067,369.117,,,,
k,371.757,371.817,,,,
g,372.097,372.147,,,,
k,375.609,375.649,,,,
k,375.999,376.039,,,,
g,380.646,380.736,,,,
k,387.25,387.34,,,,
k,387.93,388.01,,,,
k,389.41,389.53,,,,
g,389.76,389.86,,,,
k,390.18,390.21,,,,
g,393.358,393.388,,,,
g,396.158,396.238,,,,
g,401.732,401.842,,,,
g,404.131,404.181,,,,
k,404.841,404.881,,,,
g,411.262,411.302,,,,
k,412.262,412.312,,,,
k,416.956,417.036,,,,
g,417.696,417.756,,,,
g,428.066,428.116,,,,
g,434.623,434.663,,,,
k,444.996,445.026,,,,
k,447.762,447.792,,,,
g,451.422,451.472,,,,
g,452.112,452.202,,,,
g,452.852,452.892,,,,
g,453.842,453.882,,,,
g,460.016,460.116,,,,
g,460.566,460.596,,,,
k,460.986,461.066,,,,
g,461.656,461.736,,,,
g,465.159,465.249,,,,
k,465.529,465.559,,,,
g,466.829,466.859,,,,
k,468.738,468.798,,,,
k,472.635,472.705,,,,
g,475.415,475.505,,,,
k,479.31,479.34,,,,
g,490.775,490.805,,,,
g,490.845,490.885,,,,
k,495.171,495.201,,,,
k,495.901,495.941,,,,
k,496.601,496.631,,,,
g,497.161,497.191,,,,
g,499.231,499.301,,,,
g,499.861,499.941,,,,
k,500.281,500.321,,,,
g,501.231,501.261,,,,
g,502.806,502.866,,,,
g,504.006,504.106,,,,
g,506.366,506.396,,,,
g,509.076,509.116,,,,
g,511.535,511.625,,,,
g,511.775,511.825,,,,
g,511.925,511.975,,,,
g,513.105,513.175,,,,
g,514.885,514.925,,,,
k,528.509,528.589,,,,
g,529.249,529.319,,,,
g,533.782,533.842,,,,
g,537.47,537.51,,,,
k,540.73,540.81,,,,
k,561.826,561.886,,,,
g,562.466,562.506,,,,
g,565.046,565.076,,,,
g,568.94,568.99,,,,
gw,569.51,569.64,,,,
g,572.893,572.943,,,,
k,574.732,574.772,,,,
g,576.732,576.792,,,,
g,580.344,580.404,,,,
g,581.7,581.73,,,,
g,582.63,582.72,,,,
g,583.18,583.24,,,,
k,585.933,585.973,,,,
gw,586.513,586.543,,,,
g,590.941,590.971,,,,
g,591.631,591.661,,,,
g,591.861,591.901,,,,
g,592.091,592.121,,,,
k,598.594,598.634,,,,
g,610.338,610.438,,,,
g,610.928,610.968,,,,
g,613.655,613.685,,,,
g,616.817,616.897,,,,
g,617.227,617.287,,,,
g,621.344,621.404,,,,
g,621.504,621.544,,,,
g,625.198,625.238,,,,
g,626.518,626.578,,,,
g,629.865,629.945,,,,
g,633.517,633.587,,,,
g,637.791,637.871,,,,
g,642.501,642.551,,,,
k,660.572,660.652,,,,
g,661.922,661.952,,,,
g,662.712,662.792,,,,
g,662.992,663.102,,,,
g,671.248,671.308,,,,
g,672.558,672.628,,,,
g,675.87,675.93,,,,
g,682.164,682.234,,,,
g,686.987,687.107,,,,
k,691.799,691.879,,,,
g,700.42,700.45,,,,
k,704.174,704.244,,,,
g,704.684,704.714,,,,
k,706.838,706.868,,,,
g,707.148,707.178,,,,
g,707.618,707.648,,,,
g,707.738,707.808,,,,
g,709.258,709.318,,,,
g,710.528,710.558,,,,
g,711.318,711.348,,,,
k,711.578,711.638,,,,
k,716.068,716.098,,,,
g,717.398,717.488,,,,
g,720.605,720.665,,,,
g,721.775,721.885,,,,
g,724.003,724.043,,,,
g,725.463,725.523,,,,
g,744.955,744.995,,,,
g,746.075,746.135,,,,
gw,746.925,747.005,,,,
k,747.955,748.025,,,,
g,749.305,749.415,,,,
g,750.704,750.734,,,,
g,751.324,751.364,,,,
g,752.944,753.014,,,,
g,753.774,753.834,,,,
g,755.134,755.174,,,,
k,755.624,755.754,,,,
g,759.844,759.934,,,,
g,760.324,760.374,,,,
k,762.984,763.094,,,,
g,766.714,766.744,,,,
g,767.904,767.944,,,,
gw,768.764,768.854,,,,
g,768.994,769.054,,,,
k,770.154,770.234,,,,
g,770.784,770.844,,,,
k,771.104,771.144,,,,
g,795.768,795.818,,,,
g,796.478,796.538,,,,
g,803.368,803.418,,,,
k,803.948,804.008,,,,
g,806.647,806.737,,,,
g,809.067,809.147,,,,
g,809.937,809.977,,,,
g,818.407,818.457,,,,
g,819.377,819.427,,,,
g,824.239,824.269,,,,
gw,825.859,825.919,,,,
g,835.005,835.035,,,,
g,835.965,836.025,,,,
g,839.715,839.755,,,,
k,841.165,841.195,,,,
g,841.985,842.025,,,,
g,847.922,847.982,,,,
k,853.754,853.794,,,,
