speaker,language,clip,phone,vot_ms
VF23B,C,0,g,31.0
VF23B,C,1,g,25.999999999999996
VF23B,C,10,g,4.99999999999999
VF23B,C,100,g,17.0
VF23B,C,101,g,20.000000000000004
VF23B,C,102,g,21.999999999999993
VF23B,C,103,gw,16.0
VF23B,C,104,g,46.0
VF23B,C,105,g,41.99999999999999
VF23B,C,106,g,34.0
VF23B,C,107,gw,26.000000000000004
VF23B,C,108,k,71.0
VF23B,C,109,g,14.000000000000005
VF23B,C,11,g,32.0
VF23B,C,110,gw,145.00000000000003
VF23B,C,111,gw,137.0
VF23B,C,112,g,21.999999999999993
VF23B,C,113,g,10.000000000000002
VF23B,C,114,g,42.00000000000001
VF23B,C,115,g,5.000000000000004
VF23B,C,116,g,17.0
VF23B,C,117,g,16.0
VF23B,C,118,g,25.999999999999996
VF23B,C,119,g,5.000000000000004
VF23B,C,12,g,149.0
VF23B,C,120,g,32.999999999999986
VF23B,C,121,g,13.999999999999998
VF23B,C,122,g,26.999999999999996
VF23B,C,123,g,21.000000000000004
VF23B,C,124,g,15.0
VF23B,C,125,g,5.000000000000004
VF23B,C,126,g,25.000000000000007
VF23B,C,127,g,92.00000000000001
VF23B,C,128,g,21.000000000000004
VF23B,C,129,g,18.000000000000004
VF23B,C,13,g,23.000000000000007
VF23B,C,130,g,33.0
VF23B,C,131,g,13.999999999999998
VF23B,C,132,g,122.0
VF23B,C,133,g,32.0
VF23B,C,134,g,20.000000000000004
VF23B,C,135,g,11.00000000000001
VF23B,C,136,g,21.000000000000004
VF23B,C,137,g,37.99999999999999
VF23B,C,138,g,18.999999999999996
VF23B,C,139,g,24.0
VF23B,C,14,g,10.999999999999996
VF23B,C,140,g,15.0
VF23B,C,141,g,19.000000000000004
VF23B,C,142,g,34.0
VF23B,C,143,g,20.000000000000004
VF23B,C,144,g,43.0
VF23B,C,145,g,16.0
VF23B,C,146,k,5.000000000000004
VF23B,C,147,g,5.000000000000004
VF23B,C,148,g,18.000000000000004
VF23B,C,149,g,43.0
VF23B,C,15,g,12.999999999999998
VF23B,C,150,g,19.99999999999999
VF23B,C,151,g,26.00000000000001
VF23B,C,152,gw,33.0
VF23B,C,153,g,4.99999999999999
VF23B,C,154,g,21.999999999999993
VF23B,C,155,g,23.999999999999993
VF23B,C,156,g,19.000000000000004
VF23B,C,157,g,27.00000000000001
VF23B,C,158,g,5.000000000000004
VF23B,C,159,g,17.0
VF23B,C,16,g,10.999999999999996
VF23B,C,160,g,24.999999999999993
VF23B,C,161,g,15.0
VF23B,C,162,g,18.000000000000004
VF23B,C,163,k,10.000000000000009
VF23B,C,164,g,5.000000000000004
VF23B,C,165,g,22.000000000000007
VF23B,C,166,g,5.000000000000004
VF23B,C,167,g,25.000000000000007
VF23B,C,168,k,89.00000000000001
VF23B,C,169,g,17.99999999999999
VF23B,C,17,k,78.0
VF23B,C,170,g,18.000000000000004
VF23B,C,171,g,5.999999999999998
VF23B,C,172,g,22.00000000000002
VF23B,C,173,g,21.000000000000004
VF23B,C,174,g,19.000000000000004
VF23B,C,175,g,24.0
VF23B,C,176,g,5.000000000000004
VF23B,C,177,g,20.99999999999999
VF23B,C,178,g,26.999999999999996
VF23B,C,179,g,18.000000000000004
VF23B,C,18,k,5.000000000000004
VF23B,C,180,g,18.000000000000004
VF23B,C,181,g,12.000000000000004
VF23B,C,182,g,13.999999999999998
VF23B,C,183,g,27.999999999999996
VF23B,C,184,g,41.00000000000001
VF23B,C,185,g,5.000000000000004
VF23B,C,186,g,24.000000000000007
VF23B,C,187,g,14.000000000000012
VF23B,C,188,g,12.999999999999991
VF23B,C,189,k,5.000000000000004
VF23B,C,19,g,5.000000000000004
VF23B,C,190,g,22.999999999999993
VF23B,C,191,g,19.99999999999999
VF23B,C,192,g,28.999999999999996
VF23B,C,193,g,24.000000000000007
VF23B,C,194,g,17.999999999999996
VF23B,C,195,kw,62.000000000000014
VF23B,C,196,g,17.000000000000007
VF23B,C,197,g,16.999999999999993
VF23B,C,198,g,27.00000000000001
VF23B,C,199,g,17.0
VF23B,C,2,g,45.0
VF23B,C,20,g,24.999999999999993
VF23B,C,200,g,17.0
VF23B,C,201,g,5.000000000000004
VF23B,C,202,g,25.0
VF23B,C,203,g,21.000000000000004
VF23B,C,204,g,15.0
VF23B,C,205,g,15.999999999999993
VF23B,C,206,g,20.99999999999999
VF23B,C,207,g,18.000000000000004
VF23B,C,208,g,4.99999999999999
VF23B,C,209,g,18.000000000000004
VF23B,C,21,g,5.000000000000004
VF23B,C,210,g,15.999999999999993
VF23B,C,211,g,19.999999999999996
VF23B,C,212,g,12.000000000000004
VF23B,C,213,g,16.0
VF23B,C,214,g,15.000000000000007
VF23B,C,215,g,20.000000000000004
VF23B,C,216,g,24.999999999999993
VF23B,C,217,g,15.0
VF23B,C,218,gw,33.0
VF23B,C,219,g,5.000000000000004
VF23B,C,22,g,15.0
VF23B,C,220,g,9.999999999999995
VF23B,C,221,g,36.00000000000001
VF23B,C,222,g,8.0
VF23B,C,223,g,15.0
VF23B,C,224,g,24.000000000000007
VF23B,C,225,g,45.000000000000014
VF23B,C,226,g,25.999999999999996
VF23B,C,227,g,23.999999999999993
VF23B,C,228,g,5.000000000000004
VF23B,C,229,g,22.999999999999993
VF23B,C,23,g,19.000000000000004
VF23B,C,230,g,15.0
VF23B,C,231,g,18.99999999999999
VF23B,C,232,g,24.999999999999993
VF23B,C,233,g,20.99999999999999
VF23B,C,234,g,17.99999999999999
VF23B,C,235,g,25.000000000000007
VF23B,C,236,g,5.000000000000004
VF23B,C,237,g,17.0
VF23B,C,238,g,14.000000000000005
VF23B,C,239,g,4.999999999999997
VF23B,C,24,g,11.999999999999996
VF23B,C,240,g,24.000000000000007
VF23B,C,241,g,16.0
VF23B,C,242,g,16.0
VF23B,C,243,g,21.000000000000004
VF23B,C,244,g,19.000000000000004
VF23B,C,245,g,53.0
VF23B,C,246,g,18.99999999999999
VF23B,C,247,g,22.0
VF23B,C,248,k,53.99999999999999
VF23B,C,249,g,33.0
VF23B,C,25,g,9.000000000000007
VF23B,C,250,g,17.0
VF23B,C,251,g,20.99999999999999
VF23B,C,252,g,37.00000000000001
VF23B,C,253,g,13.999999999999998
VF23B,C,254,g,21.000000000000004
VF23B,C,255,g,23.999999999999993
VF23B,C,26,g,40.00000000000001
VF23B,C,27,g,42.00000000000001
VF23B,C,28,k,47.0
VF23B,C,29,g,30.000000000000007
VF23B,C,3,g,33.0
VF23B,C,30,g,31.0
VF23B,C,31,g,26.999999999999996
VF23B,C,32,g,19.000000000000004
VF23B,C,33,g,15.0
VF23B,C,34,g,25.999999999999996
VF23B,C,35,g,19.99999999999999
VF23B,C,36,g,4.999999999999997
VF23B,C,37,g,25.999999999999996
VF23B,C,38,g,4.99999999999999
VF23B,C,39,g,13.999999999999998
VF23B,C,4,g,36.0
VF23B,C,40,g,78.0
VF23B,C,41,g,20.99999999999999
VF23B,C,42,g,4.999999999999997
VF23B,C,43,g,20.999999999999996
VF23B,C,44,g,20.99999999999999
VF23B,C,45,g,32.0
VF23B,C,46,g,26.999999999999996
VF23B,C,47,g,29.000000000000004
VF23B,C,48,k,4.999999999999977
VF23B,C,49,k,52.00000000000001
VF23B,C,5,g,23.999999999999993
VF23B,C,50,g,30.0
VF23B,C,51,g,20.000000000000004
VF23B,C,52,g,15.0
VF23B,C,53,g,21.000000000000004
VF23B,C,54,g,25.999999999999996
VF23B,C,55,k,90.00000000000001
VF23B,C,56,g,29.999999999999993
VF23B,C,57,g,25.999999999999996
VF23B,C,58,g,19.99999999999999
VF23B,C,59,g,16.0
VF23B,C,6,g,4.99999999999999
VF23B,C,60,g,46.0
VF23B,C,61,k,31.999999999999986
VF23B,C,62,g,18.000000000000004
VF23B,C,63,g,16.0
VF23B,C,64,g,92.0
VF23B,C,65,g,23.000000000000007
VF23B,C,66,g,19.000000000000004
VF23B,C,67,g,38.00000000000001
VF23B,C,68,g,15.0
VF23B,C,69,k,45.0
VF23B,C,7,g,13.000000000000005
VF23B,C,70,g,20.000000000000004
VF23B,C,71,g,5.000000000000004
VF23B,C,72,g,33.0
VF23B,C,73,g,5.000000000000004
VF23B,C,74,g,5.000000000000004
