phone,minTime,maxTime,k total,kw total,g total,gw total
g,29.024,29.124,,,,
g,30.596,30.676,,,,
g,63.162,63.202,,,,
g,71.998,72.258,,,,
g,104.831,104.901,,,,
g,105.131,105.191,,,,
g,106.371,106.431,,,,
g,107.511,107.561,,,,
g,109.385,109.425,,,,
g,118.541,118.601,,,,
k,130.749,130.779,,,,
g,146.034,146.124,,,,
g,146.884,146.984,,,,
g,148.794,148.874,,,,
g,151.428,151.458,,,,
k,152.968,153.008,,,,
g,187.918,187.988,,,,
g,188.118,188.198,,,,
k,189.778,189.808,,,,
g,196.973,197.063,,,,
k,199.663,199.713,,,,
g,238.731,238.771,,,,
g,239.421,239.521,,,,
gw,260.545,260.615,,,,
g,262.075,262.145,,,,
g,285.051,285.151,,,,
g,286.901,286.961,,,,
g,287.721,287.761,,,,
g,292.546,292.606,,,,
g,292.996,293.076,,,,
gw,296.411,296.471,,,,
gw,317.229,317.289,,,,
g,318.709,318.759,,,,
k,319.539,319.589,,,,
g,319.879,319.939,,,,
g,337.415,337.445,,,,
gw,339.345,339.415,,,,
k,339.835,339.885,,,,
g,350.078,350.178,,,,
g,367.745,367.835,,,,
g,368.055,368.155,,,,
k,381.214,381.274,,,,
k,382.634,382.734,,,,
g,396.166,396.216,,,,
g,419.482,419.532,,,,
g,420.782,420.842,,,,
g,421.982,422.042,,,,
g,449.799,449.869,,,,
k,452.016,452.046,,,,
g,454.006,454.126,,,,
g,466.591,466.661,,,,
g,467.351,467.401,,,,
g,467.521,467.571,,,,
k,467.991,468.051,,,,
g,470.421,470.551,,,,
g,480.659,480.689,,,,
g,487.951,488.071,,,,
g,490.791,490.871,,,,
g,491.311,491.361,,,,
g,493.084,493.214,,,,
g,493.404,493.494,,,,
g,493.554,493.664,,,,
g,513.796,513.866,,,,
g,518.115,518.165,,,,
g,519.455,519.515,,,,
g,523.613,523.663,,,,
k,524.073,524.123,,,,
g,525.063,525.113,,,,
g,539.27,539.35,,,,
k,560.522,560.592,,,,
gw,562.887,562.967,,,,
g,563.677,563.777,,,,
k,571.304,571.354,,,,
k,571.714,571.784,,,,
gw,603.658,603.708,,,,
g,609.767,609.887,,,,
gw,610.537,610.607,,,,
g,617.307,617.367,,,,
gw,622.027,622.107,,,,
g,622.457,622.527,,,,
g,625.661,625.791,,,,
k,638.045,638.105,,,,
k,642.255,642.285,,,,
g,642.615,642.735,,,,
g,646.682,646.722,,,,
g,647.252,647.312,,,,
g,647.592,647.662,,,,
g,669.569,669.769,,,,
gw,677.396,677.476,,,,
gw,683.507,683.587,,,,
gw,683.897,683.987,,,,
gw,690.496,690.536,,,,
g,691.496,691.536,,,,
g,695.369,695.459,,,,
g,695.539,695.579,,,,
g,697.679,697.709,,,,
g,702.546,702.616,,,,
g,703.186,703.216,,,,
g,715.207,715.287,,,,
gw,716.585,716.645,,,,
g,716.955,717.005,,,,
g,718.465,718.505,,,,
g,720.055,720.165,,,,
g,721.929,721.959,,,,
g,723.469,723.529,,,,
g,724.638,724.698,,,,
gw,730.87,730.96,,,,
g,731.66,731.73,,,,
g,735.719,735.809,,,,
k,737.81,737.84,,,,
g,749.572,749.642,,,,
g,765.622,765.702,,,,
g,779.325,779.415,,,,
g,780.535,780.595,,,,
g,780.655,780.745,,,,
gw,783.852,783.972,,,,
gw,794.331,794.381,,,,
g,797.681,797.761,,,,
gw,810.444,810.574,,,,
g,819.807,819.947,,,,
k,820.097,820.147,,,,
g,820.277,820.317,,,,
gw,822.867,822.927,,,,
g,842.603,842.653,,,,
g,843.493,843.543,,,,
g,845.103,845.223,,,,
g,847.538,847.658,,,,
g,849.858,849.928,,,,
g,854.233,854.283,,,,
g,855.933,855.983,,,,
g,872.129,872.179,,,,
g,872.269,872.339,,,,
g,887.975,888.055,,,,
g,890.395,890.435,,,,
g,890.945,890.985,,,,
g,893.208,893.258,,,,
g,896.018,896.108,,,,
g,935.261,935.321,,,,
g,940.595,940.655,,,,
g,942.585,942.635,,,,
g,944.209,944.299,,,,
g,965.353,965.413,,,,
k,972.026,972.066,,,,
g,977.055,977.145,,,,
g,977.965,978.035,,,,
g,978.365,978.455,,,,
g,979.225,979.295,,,,
g,980.758,980.838,,,,
g,983.08,983.15,,,,
g,985.322,985.392,,,,
k,994.301,994.361,,,,
g,1001.785,1001.845,,,,
g,1002.775,1002.825,,,,
g,1004.745,1004.795,,,,
g,1004.955,1005.035,,,,
g,1007.385,1007.425,,,,
k,1011.502,1011.572,,,,
g,1012.212,1012.252,,,,
g,1012.562,1012.622,,,,
g,1014.412,1014.472,,,,
g,1015.242,1015.332,,,,
g,1016.122,1016.182,,,,
g,1019.975,1020.015,,,,
g,1020.675,1020.735,,,,
g,1021.905,1021.985,,,,
g,1028.758,1028.828,,,,
k,1035.127,1035.157,,,,
g,1035.297,1035.347,,,,
g,1039.908,1039.958,,,,
g,1042.986,1043.036,,,,
g,1043.496,1043.596,,,,
g,1054.484,1054.534,,,,
g,1054.934,1054.994,,,,
gw,1071.313,1071.353,,,,
g,1071.683,1071.803,,,,
gw,1093.436,1093.546,,,,
g,1097.991,1098.051,,,,
g,1103.254,1103.284,,,,
k,1113.035,1113.115,,,,
gw,1116.065,1116.195,,,,
g,1116.675,1116.745,,,,
g,1119.974,1120.034,,,,
g,1121.114,1121.154,,,,
g,1121.854,1121.904,,,,
g,1121.974,1122.044,,,,
g,1125.018,1125.138,,,,
k,1127.444,1127.474,,,,
g,1130.774,1130.854,,,,
g,1130.974,1131.024,,,,
g,1133.554,1133.684,,,,
g,1134.114,1134.144,,,,
g,1138.705,1138.815,,,,
g,1139.215,1139.245,,,,
g,1150.245,1150.275,,,,
g,1187.235,1187.325,,,,
g,1204.88,1204.97,,,,
g,1205.61,1205.72,,,,
g,1207.7,1207.78,,,,
g,1208.821,1208.901,,,,
k,1209.141,1209.171,,,,
g,1210.921,1210.961,,,,
g,1220.517,1220.567,,,,
k,1221.177,1221.237,,,,
g,1221.907,1221.997,,,,
g,1222.932,1223.032,,,,
g,1248.663,1248.713,,,,
g,1314.226,1314.296,,,,
g,1315.336,1315.376,,,,
g,1318.139,1318.169,,,,
g,1324.46,1324.49,,,,
g,1325.19,1325.26,,,,
g,1331.017,1331.047,,,,
g,1343.897,1343.947,,,,
g,1345.197,1345.267,,,,
g,1348.126,1348.156,,,,
g,1350.141,1350.181,,,,
g,1350.841,1350.951,,,,
g,1351.661,1351.741,,,,
g,1385.177,1385.237,,,,
g,1393.09,1393.13,,,,
g,1393.5,1393.68,,,,
g,1413.373,1413.443,,,,
k,1426.128,1426.198,,,,
g,1426.688,1426.728,,,,
g,1427.038,1427.128,,,,
g,1427.644,1427.704,,,,
g,1427.974,1428.024,,,,
g,1428.544,1428.614,,,,
g,1430.244,1430.304,,,,
g,1431.304,1431.384,,,,
g,1445.908,1446.038,,,,
g,1451.192,1451.272,,,,
g,1459.892,1459.922,,,,
g,1467.423,1467.473,,,,
g,1472.674,1472.754,,,,
k,1508.687,1508.717,,,,
g,1509.387,1509.547,,,,
g,1571.357,1571.427,,,,
g,1578.507,1578.567,,,,
g,1585.862,1585.982,,,,
g,1609.767,1609.917,,,,
g,1640.228,1640.298,,,,
gw,1661.636,1661.766,,,,
g,1676.422,1676.472,,,,
g,1677.962,1678.042,,,,
g,1680.147,1680.207,,,,
g,1706.372,1706.412,,,,
g,1755.068,1755.128,,,,
g,1756.658,1756.698,,,,
g,1773.831,1773.861,,,,
gw,1805.147,1805.407,,,,
,,,28,0,200,23
