speaker,language,clip,phone,vot_ms
VF26A,C,0,g,26.999999999999996
VF26A,C,1,k,71.0
VF26A,C,10,g,43.0
VF26A,C,100,g,31.0
VF26A,C,101,g,5.000000000000004
VF26A,C,102,g,24.000000000000007
VF26A,C,103,g,21.000000000000004
VF26A,C,104,g,17.0
VF26A,C,105,g,18.99999999999999
VF26A,C,106,g,26.999999999999996
VF26A,C,107,g,19.99999999999999
VF26A,C,108,g,20.000000000000018
VF26A,C,109,g,20.000000000000004
VF26A,C,11,g,20.000000000000004
VF26A,C,110,k,97.0
VF26A,C,111,g,24.000000000000007
VF26A,C,112,k,120.00000000000001
VF26A,C,113,g,20.000000000000004
VF26A,C,114,g,41.99999999999999
VF26A,C,115,k,56.00000000000001
VF26A,C,116,g,22.999999999999993
VF26A,C,117,g,25.999999999999996
VF26A,C,118,g,16.0
VF26A,C,119,g,103.0
VF26A,C,12,k,88.00000000000001
VF26A,C,120,g,4.99999999999999
VF26A,C,121,g,5.000000000000004
VF26A,C,122,g,27.00000000000001
VF26A,C,123,g,23.000000000000007
VF26A,C,124,g,17.0
VF26A,C,125,g,27.999999999999996
VF26A,C,126,g,27.999999999999996
VF26A,C,127,g,37.00000000000001
VF26A,C,128,g,20.99999999999999
VF26A,C,129,g,35.0
VF26A,C,13,g,22.999999999999993
VF26A,C,130,g,34.0
VF26A,C,131,g,56.99999999999999
VF26A,C,132,g,24.999999999999993
VF26A,C,133,g,119.00000000000001
VF26A,C,134,g,23.999999999999993
VF26A,C,135,g,26.999999999999996
VF26A,C,136,g,11.999999999999996
VF26A,C,137,g,42.00000000000001
VF26A,C,138,g,35.0
VF26A,C,139,g,22.999999999999993
VF26A,C,14,gw,24.999999999999993
VF26A,C,140,g,16.0
VF26A,C,141,g,16.0
VF26A,C,142,g,22.999999999999993
VF26A,C,143,g,32.0
VF26A,C,144,gw,5.000000000000004
VF26A,C,145,g,18.000000000000004
VF26A,C,146,g,7.999999999999993
VF26A,C,147,g,80.0
VF26A,C,148,g,22.000000000000007
VF26A,C,149,gw,29.000000000000004
VF26A,C,15,g,20.000000000000004
VF26A,C,150,g,25.999999999999996
VF26A,C,151,g,17.0
VF26A,C,152,g,32.0
VF26A,C,153,g,17.0
VF26A,C,154,g,19.000000000000004
VF26A,C,155,gw,24.000000000000007
VF26A,C,156,g,30.0
VF26A,C,157,g,22.999999999999993
VF26A,C,158,g,27.000000000000004
VF26A,C,159,k,99.99999999999999
VF26A,C,16,g,4.99999999999999
VF26A,C,160,k,117.0
VF26A,C,161,g,32.0
VF26A,C,162,gw,34.000000000000014
VF26A,C,163,g,4.99999999999999
VF26A,C,164,g,31.0
VF26A,C,165,g,4.999999999999999
VF26A,C,17,k,76.99999999999999
VF26A,C,18,k,80.0
VF26A,C,19,g,5.000000000000004
VF26A,C,2,g,33.0
VF26A,C,20,g,44.0
VF26A,C,21,g,22.000000000000007
VF26A,C,22,g,32.0
VF26A,C,23,g,28.999999999999996
VF26A,C,24,g,4.99999999999999
VF26A,C,25,g,33.0
VF26A,C,26,g,20.000000000000004
VF26A,C,27,g,24.000000000000007
VF26A,C,28,g,34.0
VF26A,C,29,g,19.000000000000004
VF26A,C,3,g,5.000000000000004
VF26A,C,30,g,22.999999999999993
