phone,minTime,maxTime
k,22.458,22.588
k,34.762,34.852
k,62.28,62.35
k,124.98,125.04
k,136.594,136.664
k,151.014,151.064
k,159.509,159.649
k,165.59,165.67
k,166.82,166.94
k,167.51,167.56
k,179.672,179.762
k,186.58,186.72
k,186.94,187.03
k,187.96,188.09
k,200.23,200.36
k,217.072,217.132
k,218.052,218.162
k,241.596,241.646
k,249.494,249.544
k,282.113,282.143
k,282.143,282.203
k,316.939,316.989
k,320.259,320.299
k,320.299,320.389
k,326.02,326.17
k,326.69,326.83
k,332.788,332.818
k,332.818,332.888
k,358.568,358.598
k,368.597,368.627
k,368.807,368.877
k,370.89,370.92
k,370.92,371.03
k,375.774,375.804
k,388.263,388.293
k,388.403,388.443
k,388.443,388.473
k,391.85,391.88
k,391.88,391.92
k,392.18,392.23
k,399.772,399.852
k,401.982,402.042
k,402.492,402.522
k,403.722,403.782
k,405.232,405.282
k,411.232,411.262
k,411.262,411.322
k,424.854,424.894
k,425.164,425.224
k,425.434,425.474
k,425.764,425.824
k,440.342,440.372
k,458.024,458.114
k,458.314,458.394
k,459.376,459.436
k,462.826,462.866
k,464.25,464.3
k,468.01,468.06
k,468.39,468.46
k,474.034,474.124
k,480.108,480.158
k,480.158,480.198
k,504.054,504.114
k,505.332,505.402
k,508.852,508.942
k,509.222,509.282
k,510.458,510.518
k,516.165,516.225
k,519.782,519.872
k,520.622,520.672
k,521.572,521.682
k,523.053,523.113
k,525.033,525.073
k,526.463,526.493
k,526.603,526.703
k,544.086,544.126
k,553.748,553.848
k,554.308,554.428
k,558.914,558.964
k,559.844,559.934
k,560.524,560.594
k,566.456,566.506
k,571.696,571.746
k,572.426,572.486
k,586.558,586.618
k,586.988,587.048
k,592.723,592.783
k,593.893,593.963
k,613.468,613.548
k,615.668,615.728
k,617.064,617.194
k,643.066,643.126
k,655.161,655.191
k,682.438,682.468
k,682.528,682.558
k,700.312,700.362
k,705.662,705.722
k,710.531,710.591
k,713.231,713.321
k,741.978,742.038
k,777.378,777.408
k,780.419,780.579
k,791.572,791.732
k,807.258,807.318
k,813.038,813.108
k,825.483,825.593
k,827.273,827.323
k,829.216,829.296
k,831.036,831.076
k,839.498,839.558
k,840.198,840.238
k,850.606,850.666
k,857.186,857.236
k,873.506,873.556
k,874.756,874.816
k,876.876,876.936
k,878.116,878.186
k,880.094,880.154
k,884.995,885.055
k,886.725,886.805
k,888.855,888.925
k,891.03,891.08
k,891.2,891.25
k,892.19,892.24
k,892.54,892.69
k,901.232,901.262
k,980.64,980.7
k,981.36,981.42
k,988.245,988.315
k,999.75,999.83
k,1021.874,1021.964
k,1022.344,1022.414
k,1029.702,1029.782
k,1034.349,1034.379
k,1034.529,1034.579
k,1035.259,1035.309
k,1079.82,1079.85
k,1086.488,1086.568
k,1116.179,1116.209
k,1136.924,1137.164
k,1141.484,1141.524
k,1141.804,1141.874
k,1183.156,1183.316
k,1186.446,1186.496
k,1188.016,1188.076
k,1194.912,1194.942
k,1195.062,1195.122
k,1207.676,1207.746
k,1211.302,1211.342
k,1211.542,1211.602
k,1225.952,1226.022
k,1226.332,1226.392
k,1231.768,1231.828
k,1250.206,1250.286
k,1276.104,1276.164
k,1305.927,1306.007
k,1310.75,1310.82
k,1337.388,1337.468
k,1346.94,1346.97
k,1381.074,1381.114
k,1386.396,1386.436
k,1389.876,1389.926
k,1420.239,1420.289
k,1420.479,1420.559
k,1429.334,1429.404
k,1447.019,1447.059
k,1504.372,1504.432
k,1538.886,1538.946
k,1546.697,1546.777
k,1560.43,1560.52
k,1632.184,1632.234
k,1659.41,1659.46
k,1660.4,1660.48
k,1662.39,1662.51
k,1668.44,1668.48
k,1668.91,1668.97
k,1669.22,1669.34
k,1670.34,1670.39
k,1700.48,1700.53
k,1703.959,1703.989
k,1705.919,1705.959
k,1748.998,1749.058
k,1764.798,1764.918
k,1773.776,1773.816
k,1775.256,1775.296
k,1788.888,1788.988
k,1792.276,1792.306
k,1805.656,1805.756
