phone,minTime,maxTime,k total,kw total,g total,gw total
g,25.743,25.813,,,,
g,87.276,87.336,,,,
k,87.806,87.876,,,,
g,94.427,94.457,,,,
g,95.977,96.037,,,,
g,97.787,97.847,,,,
g,97.977,98.047,,,,
g,101.166,101.236,,,,
g,104.89,104.95,,,,
g,113.928,113.988,,,,
g,134.016,134.086,,,,
g,149.024,149.074,,,,
g,156.624,156.694,,,,
g,164.84,164.87,,,,
g,185.518,185.578,,,,
g,195.134,195.194,,,,
g,220.396,220.466,,,,
g,222.656,222.736,,,,
gw,233.184,233.274,,,,
g,255.232,255.292,,,,
k,260.424,260.454,,,,
k,271.677,271.707,,,,
k,277.495,277.525,,,,
k,314.559,314.599,,,,
g,323.623,323.673,,,,
g,324.296,324.366,,,,
g,327.28,327.35,,,,
g,331.981,332.031,,,,
k,365.566,365.626,,,,
g,366.216,366.276,,,,
g,374.073,374.103,,,,
g,374.363,374.393,,,,
g,375.023,375.083,,,,
g,375.353,375.393,,,,
g,415.961,416.001,,,,
g,418.231,418.291,,,,
g,420.006,420.076,,,,
g,424.426,424.466,,,,
g,427.482,427.542,,,,
g,436.764,436.794,,,,
g,437.624,437.674,,,,
g,438.546,438.616,,,,
g,440.336,440.376,,,,
k,458.726,458.786,,,,
g,460.951,461.011,,,,
g,482.366,482.466,,,,
g,483.076,483.166,,,,
g,487.17,487.21,,,,
gw,500.506,500.586,,,,
gw,506.375,506.465,,,,
gw,516.771,516.841,,,,
k,518.936,518.996,,,,
g,522.838,522.878,,,,
g,527.328,527.358,,,,
g,542.956,543.026,,,,
k,543.476,543.506,,,,
g,549.422,549.472,,,,
g,562.733,562.793,,,,
g,566.821,566.881,,,,
k,587.188,587.238,,,,
k,592.415,592.485,,,,
g,594.373,594.433,,,,
g,596.763,596.833,,,,
g,597.533,597.593,,,,
g,598.05,598.13,,,,
g,618.792,618.822,,,,
g,628.939,628.989,,,,
k,640.317,640.347,,,,
g,654.397,654.427,,,,
k,665.77,665.83,,,,
g,669.091,669.141,,,,
g,676.264,676.354,,,,
k,689.304,689.394,,,,
k,696.902,696.972,,,,
g,700.84,700.99,,,,
g,704.03,704.09,,,,
g,706.3,706.35,,,,
g,710.556,710.616,,,,
g,714.488,714.568,,,,
g,717.662,717.722,,,,
g,718.852,718.912,,,,
g,721.458,721.498,,,,
g,724.308,724.388,,,,
g,725.588,725.688,,,,
g,726.507,726.577,,,,
g,732.047,732.097,,,,
g,735.677,735.727,,,,
k,787.86,787.96,,,,
g,790.408,790.468,,,,
g,802.422,802.482,,,,
g,814.229,814.299,,,,
g,815.829,815.959,,,,
g,821.713,821.743,,,,
g,822.598,822.658,,,,
g,827.804,827.874,,,,
g,834.661,834.751,,,,
k,858.406,858.546,,,,
k,867.46,867.55,,,,
k,879.271,879.301,,,,
g,881.011,881.121,,,,
g,883.446,883.536,,,,
g,885.257,885.337,,,,
g,911.819,911.879,,,,
g,918.606,918.666,,,,
k,919.646,919.696,,,,
g,920.176,920.236,,,,
g,921.186,921.246,,,,
g,928.224,928.294,,,,
g,933.587,933.657,,,,
g,935.792,935.842,,,,
g,940.714,940.784,,,,
g,941.204,941.244,,,,
g,950.319,950.369,,,,
g,961.448,961.518,,,,
g,964.509,964.569,,,,
k,970.166,970.236,,,,
gw,972.786,972.836,,,,
g,1010.93,1011.01,,,,
g,1019.768,1019.798,,,,
g,1022.959,1023.019,,,,
g,1026.543,1026.603,,,,
g,1027.873,1028.123,,,,
g,1031.23,1031.29,,,,
g,1058.839,1058.939,,,,
g,1060.149,1060.219,,,,
g,1074.948,1075.048,,,,
k,1100.602,1100.642,,,,
g,1103.046,1103.126,,,,
g,1114.106,1114.146,,,,
g,1123.622,1123.692,,,,
g,1142.289,1142.369,,,,
g,1144.999,1145.079,,,,
g,1149.058,1149.108,,,,
g,1149.518,1149.568,,,,
g,1161.597,1161.657,,,,
gw,1164.187,1164.277,,,,
g,1184.015,1184.065,,,,
g,1190.726,1190.796,,,,
g,1202.928,1202.998,,,,
g,1243.243,1243.303,,,,
g,1245.669,1245.739,,,,
gw,1248.429,1248.509,,,,
gw,1250.806,1250.896,,,,
gw,1251.816,1251.886,,,,
gw,1254.276,1254.346,,,,
k,1254.486,1254.516,,,,
g,1255.036,1255.066,,,,
gw,1258.912,1258.962,,,,
g,1263.072,1263.132,,,,
g,1265.228,1265.288,,,,
g,1265.708,1265.748,,,,
g,1270.316,1270.426,,,,
g,1306.658,1306.708,,,,
g,1311.184,1311.234,,,,
g,1316.704,1316.744,,,,
k,1340.176,1340.236,,,,
k,1341.156,1341.206,,,,
g,1348.634,1348.684,,,,
k,1350.174,1350.264,,,,
k,1360.92,1360.98,,,,
g,1384.658,1384.718,,,,
k,1395.13,1395.19,,,,
g,1400.854,1400.924,,,,
k,1466.564,1466.634,,,,
g,1471.424,1471.494,,,,
k,1481.145,1481.175,,,,
g,1506.669,1506.709,,,,
gw,1520.601,1520.651,,,,
g,1540.79,1540.89,,,,
k,1563.498,1563.528,,,,
g,1565.174,1565.204,,,,
k,1568.369,1568.429,,,,
k,1572.489,1572.549,,,,
k,1585.918,1585.958,,,,
k,1589.016,1589.066,,,,
g,1604.71,1604.77,,,,
g,1632.02,1632.08,,,,
g,1634.82,1634.87,,,,
g,1647.436,1647.486,,,,
k,1649.846,1649.896,,,,
g,1668.638,1668.728,,,,
g,1674.501,1674.531,,,,
gw,1675.46,1675.49,,,,
g,1675.93,1675.99,,,,
k,1680.343,1680.403,,,,
g,1702.855,1702.935,,,,
g,1719.718,1719.828,,,,
g,1721.228,1721.268,,,,
g,1721.518,1721.568,,,,
g,1730.548,1730.588,,,,
g,1733.344,1733.434,,,,
k,1743.275,1743.405,,,,
g,1744.135,1744.235,,,,
g,1763.516,1763.586,,,,
g,1767.988,1768.058,,,,
g,1773.535,1774.095,,,,
k,1789.375,1789.435,,,,
g,1790.939,1790.999,,,,
k,1804.292,1804.362,,,,
g,1815.99,1816.06,,,,
g,1816.69,1816.79,,,,
g,1822.807,1822.897,,,,
,,,40,0,149,13
