phone,minTime,maxTime,k total,kw total,g total,gw total
K,20.04,20.12,,,,
K,23.901,24.031,,,,
G,25.201,25.281,,,,
K,47.551,47.681,,,,
K,55.605,55.695,,,,
K,57.303,57.453,,,,
K,67.608,67.638,,,,
K,76.415,76.505,,,,
K,80.229,80.349,,,,
K,86.562,86.672,,,,
G,91.542,91.602,,,,
G,107.039,107.079,,,,
K,111.935,112.005,,,,
K,121.244,121.284,,,,
K,124.15,124.24,,,,
K,124.78,124.87,,,,
K,125.75,125.78,,,,
K,129.775,129.905,,,,
G,156.01,156.08,,,,
K,156.61,156.73,,,,
G,172.011,172.091,,,,
G,172.301,172.381,,,,
G,180.745,180.845,,,,
K,184.485,184.605,,,,
G,203.391,203.491,,,,
K,239.328,239.408,,,,
K,244.073,244.193,,,,
K,266.152,266.222,,,,
K,266.402,266.452,,,,
K,316.932,317.012,,,,
G,336.005,336.045,,,,
K,345.162,345.232,,,,
K,346.202,346.312,,,,
G,347.602,347.642,,,,
K,387.957,387.997,,,,
K,391.097,391.177,,,,
K,421.226,421.286,,,,
K,425.634,425.744,,,,
K,446.779,446.849,,,,
K,450.406,450.556,,,,
K,456.751,456.841,,,,
K,458.703,458.773,,,,
G,461.743,461.823,,,,
K,462.143,462.353,,,,
K,483.161,483.291,,,,
G,484.941,485.011,,,,
K,493.325,493.425,,,,
K,503.124,503.254,,,,
K,505.714,505.834,,,,
K,506.482,506.542,,,,
K,506.582,506.672,,,,
K,517.483,517.553,,,,
K,522.833,522.923,,,,
K,536.689,536.769,,,,
K,537.259,537.299,,,,
K,543.788,543.868,,,,
K,547.687,547.737,,,,
G,547.827,547.937,,,,
K,552.939,552.999,,,,
G,553.539,553.619,,,,
K,573.903,573.973,,,,
G,577.673,577.753,,,,
K,583.061,583.141,,,,
K,584.641,584.711,,,,
G,587.033,587.103,,,,
K,587.813,587.943,,,,
K,591.248,591.368,,,,
G,622.503,622.553,,,,
K,625.985,626.115,,,,
K,628.745,628.915,,,,
K,648.367,648.407,,,,
K,648.627,648.707,,,,
G,651.207,651.297,,,,
G,654.545,654.605,,,,
K,656.505,656.635,,,,
K,677.469,677.519,,,,
K,678.479,678.619,,,,
K,683.059,683.179,,,,
K,685.599,685.699,,,,
K,686.736,686.876,,,,
G,688.466,688.546,,,,
K,694.399,694.439,,,,
G,713.796,713.886,,,,
K,739.759,739.819,,,,
K,750.86,750.98,,,,
G,758.519,758.549,,,,
G,769.07,769.12,,,,
K,788.577,788.677,,,,
K,794.608,794.698,,,,
G,817.568,817.638,,,,
G,823.122,823.192,,,,
G,823.682,823.782,,,,
G,824.662,824.752,,,,
G,825.202,825.282,,,,
K,831.579,831.679,,,,
K,835.226,835.356,,,,
K,838.346,838.426,,,,
G,846.28,846.37,,,,
K,851.154,851.234,,,,
G,852.932,852.982,,,,
K,854.762,854.822,,,,
G,863.83,863.88,,,,
G,890.226,890.316,,,,
K,891.596,891.816,,,,
K,905.543,905.673,,,,
G,921.909,921.989,,,,
G,924.435,924.505,,,,
G,935.557,935.637,,,,
G,952.934,953.034,,,,
G,953.324,953.404,,,,
K,997.88,998.01,,,,
K,1009.506,1009.656,,,,
K,1028.661,1028.701,,,,
K,1029.171,1029.281,,,,
K,1035.793,1035.923,,,,
K,1064.359,1064.489,,,,
K,1081.379,1081.499,,,,
K,1083.761,1083.851,,,,
K,1087.509,1087.569,,,,
K,1087.659,1087.789,,,,
K,1089.773,1089.853,,,,
K,1125.741,1125.771,,,,
G,1138.066,1138.116,,,,
K,1144.513,1144.553,,,,
K,1174.463,1174.503,,,,
G,1175.703,1175.823,,,,
K,1189.898,1189.998,,,,
K,1234.126,1234.186,,,,
G,1256.277,1256.347,,,,
K,1266.111,1266.151,,,,
G,1270.993,1271.083,,,,
K,1310.099,1310.249,,,,
G,1316.849,1316.879,,,,
G,1340.568,1340.678,,,,
G,1342.328,1342.418,,,,
K,1364.182,1364.292,,,,
K,1384.749,1384.889,,,,
K,1409.214,1409.324,,,,
K,1436.143,1436.233,,,,
K,1441.653,1441.743,,,,
K,1442.433,1442.513,,,,
K,1453.331,1453.451,,,,
K,1456.809,1456.839,,,,
G,1458.829,1458.869,,,,
K,1475.109,1475.179,,,,
G,1475.729,1475.809,,,,
K,1481.016,1481.186,,,,
G,1498.954,1499.004,,,,
G,1501.321,1501.401,,,,
G,1506.016,1506.056,,,,
K,1506.226,1506.256,,,,
,,,102,0,49,0
