phone,minTime,maxTime
k,124.314,124.364
k,125.384,125.444
k,129.477,129.557
k,143.469,143.549
k,243.5,243.54
k,269.485,269.545
k,284.885,284.915
k,287.043,287.093
k,317.5,317.58
k,320.27,320.35
k,352.295,352.355
k,368.495,368.575
k,408.366,408.426
k,425.753,425.793
k,484.064,484.114
k,490.437,490.497
k,496.202,496.262
k,590.151,590.181
k,595.188,595.218
k,647.386,647.446
k,801.694,801.764
k,890.33,890.41
k,893.71,893.76
k,1019.377,1019.477
k,1023.087,1023.167
k,1025.577,1025.627
k,1097.133,1097.203
k,1104.418,1104.518
k,1107.918,1107.948
k,1109.258,1109.288
k,1116.831,1116.881
k,1118.171,1118.201
k,1120.774,1120.814
k,1147.396,1147.426
k,1154.15,1154.25
k,1157.796,1157.826
k,1256.547,1256.607
k,1266.812,1266.882
k,1296.451,1296.521
k,1306.936,1307.016
k,1309.226,1309.316
k,1315.34,1315.42
k,1418.234,1418.334
k,1527.49,1527.54
