phone,minTime,maxTime,k total,kw total,g total,gw total
g,26.239,26.309,,,,
g,115.505,115.575,,,,
k,117.514,117.584,,,,
k,122.764,122.814,,,,
g,152.579,152.619,,,,
g,202.945,203.025,,,,
gw,242.47,242.51,,,,
g,244.71,244.77,,,,
k,280.835,280.895,,,,
k,307.276,307.396,,,,
k,328.776,329.026,,,,
k,350.725,350.825,,,,
k,371.667,371.727,,,,
g,375.437,375.487,,,,
k,377.927,377.957,,,,
k,383.949,384.009,,,,
k,394.871,394.921,,,,
k,398.491,398.561,,,,
g,430.461,430.491,,,,
g,482.614,482.644,,,,
g,484.854,484.984,,,,
k,486.027,486.097,,,,
gw,488.777,488.857,,,,
g,491.911,491.981,,,,
g,543.995,544.025,,,,
g,547.406,547.436,,,,
g,549.241,549.281,,,,
g,551.011,551.051,,,,
gw,587.291,587.401,,,,
g,589.071,589.101,,,,
g,589.921,590.001,,,,
g,603.619,603.659,,,,
g,611.97,612.02,,,,
g,620.306,620.366,,,,
g,621.186,621.216,,,,
k,649.071,649.131,,,,
g,651.331,651.361,,,,
g,688.366,688.436,,,,
g,700.388,700.528,,,,
g,725.893,725.963,,,,
g,759.233,759.273,,,,
g,770.16,770.24,,,,
g,771.79,771.86,,,,
g,796.47,796.55,,,,
g,807.235,807.305,,,,
g,821.336,821.406,,,,
g,897.42,897.5,,,,
g,908.533,908.593,,,,
g,923.926,924.046,,,,
g,932.688,932.748,,,,
g,958.405,958.455,,,,
g,973.032,973.062,,,,
g,975.421,975.481,,,,
g,983.583,983.643,,,,
k,985.919,985.979,,,,
g,995.05,995.14,,,,
g,1000.028,1000.088,,,,
g,1014.527,1014.587,,,,
k,1023.497,1023.597,,,,
g,1029.948,1030.018,,,,
g,1078.258,1078.318,,,,
k,1079.658,1079.728,,,,
k,1080.468,1080.528,,,,
g,1083.75,1083.78,,,,
g,1085.66,1085.79,,,,
g,1095.033,1095.113,,,,
g,1113.081,1113.121,,,,
k,1114.981,1115.021,,,,
g,1116.281,1116.311,,,,
g,1147.036,1147.066,,,,
g,1169.616,1169.696,,,,
g,1172.657,1172.717,,,,
g,1184.575,1184.635,,,,
g,1185.425,1185.655,,,,
g,1189.195,1189.255,,,,
g,1202.357,1202.437,,,,
g,1202.707,1202.777,,,,
g,1224.148,1224.248,,,,
g,1235.364,1235.424,,,,
k,1250.384,1250.434,,,,
k,1268.277,1268.327,,,,
g,1268.997,1269.067,,,,
k,1270.317,1270.387,,,,
g,1271.557,1271.627,,,,
g,1273.837,1273.867,,,,
k,1274.397,1274.467,,,,
g,1351.037,1351.167,,,,
g,1367.201,1367.241,,,,
g,1413.136,1413.196,,,,
g,1415.797,1415.847,,,,
g,1430.067,1430.147,,,,
k,1432.247,1432.287,,,,
g,1464.532,1464.622,,,,
g,1492.191,1492.271,,,,
g,1496.963,1497.003,,,,
g,1510.473,1510.543,,,,
k,1511.947,1512.017,,,,
g,1513.317,1513.377,,,,
k,1514.957,1514.987,,,,
k,1524.95,1525.02,,,,
g,1528.64,1528.73,,,,
g,1529.542,1529.622,,,,
,,,26,0,73,3
