phone,minTime,maxTime
k,106.067,106.097
k,118.393,118.533
k,157.906,157.936
k,161.531,161.561
k,168.509,168.539
k,191.686,191.836
k,316.135,316.235
k,411.65,411.71
k,465.06,465.13
k,554.776,554.816
k,615.077,615.187
k,618.117,618.147
k,635.643,635.693
k,661.977,662.027
k,662.527,662.557
k,705.463,705.503
k,720.538,720.658
k,774.769,774.829
k,784.811,784.931
k,814.561,814.621
k,887.991,888.051
k,913.343,913.383
k,919.127,919.247
k,978.688,978.748
k,989.053,989.193
k,1005.709,1005.799
k,1046.248,1046.278
k,1152.954,1152.994
k,1181.172,1181.292
k,1320.028,1320.108
k,1321.438,1321.468
k,1326.486,1326.536
k,1504.282,1504.322
