phone,minTime,maxTime,k total,kw total,g total,gw total
K,27.23,27.4,,,,
G,29.84,29.93,,,,
K,59.992,60.142,,,,
K,66.613,66.723,,,,
K,69.087,69.227,,,,
K,71.818,71.908,,,,
G,160.346,160.416,,,,
K,160.726,160.886,,,,
K,171.186,171.276,,,,
K,172.326,172.356,,,,
K,173.626,173.706,,,,
K,176.976,177.136,,,,
K,183.157,183.237,,,,
G,279.611,279.701,,,,
G,335.104,335.184,,,,
K,355.055,355.175,,,,
K,355.815,355.895,,,,
G,358.885,358.965,,,,
K,362.507,362.587,,,,
K,362.957,363.097,,,,
K,397.93,398.02,,,,
K,399.369,399.489,,,,
K,405.451,405.511,,,,
K,434.543,434.603,,,,
G,439.719,439.809,,,,
K,460.747,460.857,,,,
K,473.829,473.909,,,,
K,477.589,477.669,,,,
G,478.279,478.369,,,,
K,488.932,488.992,,,,
K,497.049,497.089,,,,
K,497.319,497.389,,,,
K,497.679,497.779,,,,
G,498.829,498.909,,,,
K,504.183,504.213,,,,
K,509.391,509.491,,,,
K,511.334,511.374,,,,
K,530.451,530.631,,,,
K,533.311,533.441,,,,
K,534.441,534.571,,,,
G,563.283,563.353,,,,
K,590.983,591.083,,,,
K,591.573,591.663,,,,
K,592.953,593.023,,,,
K,606.141,606.201,,,,
K,606.631,606.691,,,,
K,620.146,620.236,,,,
K,622.506,622.586,,,,
K,625.016,625.106,,,,
K,627.556,627.646,,,,
K,627.986,628.016,,,,
K,650.542,650.602,,,,
K,655.492,655.552,,,,
G,661.116,661.156,,,,
K,661.976,662.046,,,,
G,674.274,674.324,,,,
K,686.81,686.87,,,,
K,696.956,697.026,,,,
K,698.906,698.966,,,,
K,699.186,699.366,,,,
K,699.806,699.876,,,,
K,701.696,701.776,,,,
K,704.036,704.146,,,,
K,706.856,706.906,,,,
K,707.646,707.756,,,,
K,708.916,709.056,,,,
G,729.598,729.688,,,,
G,751.477,751.577,,,,
G,752.825,752.905,,,,
K,753.155,753.235,,,,
G,758.343,758.433,,,,
G,759.203,759.283,,,,
K,769.829,769.909,,,,
K,821.472,821.512,,,,
G,830.133,830.193,,,,
K,853.886,853.956,,,,
K,926.08,926.23,,,,
K,930.242,930.302,,,,
K,937.119,937.339,,,,
K,964.867,964.937,,,,
G,965.257,965.347,,,,
K,991.447,991.527,,,,
K,991.737,991.857,,,,
K,992.467,992.567,,,,
K,993.796,993.946,,,,
G,1000.416,1000.446,,,,
G,1018.103,1018.173,,,,
K,1031.765,1031.885,,,,
K,1033.065,1033.195,,,,
G,1057.805,1057.875,,,,
G,1060.619,1060.709,,,,
K,1075.857,1075.977,,,,
K,1101.929,1102.029,,,,
G,1116.799,1116.879,,,,
K,1118.539,1118.639,,,,
K,1118.999,1119.089,,,,
K,1120.444,1120.514,,,,
K,1123.504,1123.624,,,,
K,1130.337,1130.417,,,,
K,1133.407,1133.457,,,,
K,1150.487,1150.627,,,,
G,1152.817,1152.897,,,,
K,1155.193,1155.283,,,,
K,1156.583,1156.693,,,,
K,1158.943,1158.993,,,,
G,1159.683,1159.753,,,,
K,1161.571,1161.661,,,,
K,1165.691,1165.881,,,,
K,1166.431,1166.501,,,,
K,1169.129,1169.239,,,,
K,1183.174,1183.274,,,,
K,1185.504,1185.594,,,,
K,1186.614,1186.694,,,,
K,1189.611,1189.731,,,,
K,1220.233,1220.313,,,,
K,1225.824,1225.874,,,,
K,1231.714,1231.844,,,,
G,1235.002,1235.062,,,,
K,1238.682,1238.752,,,,
K,1285.283,1285.423,,,,
G,1287.143,1287.213,,,,
K,1309.843,1309.893,,,,
K,1357.393,1357.463,,,,
K,1360.443,1360.563,,,,
G,1379.121,1379.211,,,,
K,1396.851,1396.931,,,,
K,1399.211,1399.301,,,,
K,1399.561,1399.631,,,,
G,1401.611,1401.701,,,,
K,1405.795,1405.885,,,,
G,1432.471,1432.551,,,,
K,1467.119,1467.199,,,,
G,1470.009,1470.089,,,,
K,1487.447,1487.527,,,,
G,1500.046,1500.116,,,,
G,1507.241,1507.301,,,,
,,,103,0,33,0
