speaker,language,clip,phone,vot_ms
VM19C,C,0,g,21.000000000000004
VM19C,C,1,g,19.000000000000004
VM19C,C,10,g,18.000000000000014
VM19C,C,11,g,23.999999999999993
VM19C,C,12,g,19.000000000000004
VM19C,C,13,g,25.00000000000002
VM19C,C,14,g,19.000000000000004
VM19C,C,15,g,12.999999999999984
VM19C,C,16,g,26.999999999999996
VM19C,C,17,g,18.000000000000004
VM19C,C,18,g,25.000000000000007
VM19C,C,19,g,17.0
VM19C,C,2,g,5.000000000000004
VM19C,C,20,k,26.999999999999996
VM19C,C,21,k,4.999999999999977
VM19C,C,22,g,5.000000000000004
VM19C,C,23,k,97.0
VM19C,C,24,g,25.999999999999996
VM19C,C,25,g,15.0
VM19C,C,26,k,86.0
VM19C,C,27,g,4.99999999999999
VM19C,C,28,g,21.999999999999993
VM19C,C,29,g,16.0
VM19C,C,3,g,14.000000000000012
VM19C,C,30,k,35.0
VM19C,C,31,g,34.0
VM19C,C,32,g,24.000000000000007
VM19C,C,33,g,18.000000000000004
VM19C,C,34,g,81.0
VM19C,C,35,g,27.999999999999996
VM19C,C,36,k,68.0
VM19C,C,37,g,13.999999999999998
VM19C,C,38,g,28.999999999999996
VM19C,C,39,g,147.00000000000003
VM19C,C,4,g,13.999999999999998
VM19C,C,40,g,125.0
VM19C,C,41,g,31.0
VM19C,C,42,g,16.999999999999986
VM19C,C,43,g,27.00000000000001
VM19C,C,44,g,13.000000000000005
VM19C,C,45,g,15.0
VM19C,C,46,g,18.000000000000004
VM19C,C,47,g,13.00000000000001
VM19C,C,48,g,23.000000000000007
VM19C,C,49,g,32.99999999999999
VM19C,C,5,k,4.999999999999977
VM19C,C,50,g,13.999999999999998
VM19C,C,51,g,23.000000000000007
VM19C,C,52,g,41.99999999999999
VM19C,C,53,g,27.999999999999996
VM19C,C,54,g,11.999999999999996
VM19C,C,55,g,21.999999999999993
VM19C,C,56,k,39.99999999999999
VM19C,C,57,g,24.0
VM19C,C,58,g,20.000000000000004
VM19C,C,59,g,22.0
VM19C,C,6,g,55.0
VM19C,C,60,k,71.0
VM19C,C,61,g,27.999999999999996
VM19C,C,62,g,19.99999999999999
VM19C,C,63,g,21.000000000000004
VM19C,C,64,g,16.999999999999986
VM19C,C,65,g,29.999999999999993
VM19C,C,66,k,53.00000000000001
VM19C,C,67,k,54.99999999999999
VM19C,C,68,k,69.99999999999999
VM19C,C,69,k,5.000000000000004
VM19C,C,7,g,19.000000000000004
VM19C,C,70,k,5.000000000000004
VM19C,C,71,k,134.0
VM19C,C,72,k,51.00000000000001
VM19C,C,73,g,77.0
VM19C,C,74,k,5.000000000000004
VM19C,C,75,g,26.000000000000004
VM19C,C,76,g,5.000000000000004
VM19C,C,77,k,53.00000000000001
VM19C,C,78,g,4.999999999999997
VM19C,C,79,g,16.0
VM19C,C,8,g,23.0
VM19C,C,80,g,5.999999999999998
VM19C,C,81,g,169.99999999999997
VM19C,C,82,g,4.999999999999997
VM19C,C,83,g,35.99999999999999
VM19C,C,84,g,137.99999999999997
VM19C,C,85,k,34.0
VM19C,C,86,g,17.99999999999999
VM19C,C,87,g,25.000000000000007
VM19C,C,88,k,4.999999999999977
VM19C,C,89,g,104.99999999999999
VM19C,C,9,g,44.0
VM19C,C,90,g,38.99999999999999
VM19C,C,91,k,108.99999999999999
VM19C,C,92,g,19.000000000000004
VM19C,C,93,g,34.0
VM19C,C,94,g,34.0
VM19C,C,95,g,23.0
VM19C,C,96,g,20.000000000000004
VM19C,C,97,k,68.0
VM19C,C,98,g,5.000000000000004
VM19C,E,0,G,21.000000000000004
VM19C,E,1,K,94.00000000000001
VM19C,E,10,K,36.00000000000001
VM19C,E,11,K,44.0
VM19C,E,12,K,46.00000000000001
VM19C,E,13,K,52.00000000000001
VM19C,E,14,K,34.0
VM19C,E,15,K,4.99999999999999
VM19C,E,16,K,66.99999999999999
VM19C,E,17,K,41.99999999999999
VM19C,E,18,K,41.00000000000001
VM19C,E,19,K,46.0
VM19C,E,2,G,19.000000000000004
VM19C,E,20,K,46.00000000000001
VM19C,E,21,K,4.99999999999999
VM19C,E,22,K,79.0
VM19C,E,23,K,75.0
VM19C,E,24,K,36.00000000000001
VM19C,E,25,K,53.00000000000001
VM19C,E,26,K,55.00000000000001
VM19C,E,27,K,75.00000000000001
VM19C,E,28,K,66.99999999999999
VM19C,E,29,K,68.0
VM19C,E,3,K,72.0
VM19C,E,30,K,111.00000000000001
VM19C,E,31,K,28.999999999999996
VM19C,E,32,K,43.0
VM19C,E,33,K,45.00000000000001
VM19C,E,34,K,41.00000000000001
VM19C,E,35,K,79.0
VM19C,E,36,K,5.000000000000004
VM19C,E,37,K,86.0
VM19C,E,38,G,20.000000000000004
VM19C,E,39,K,4.99999999999999
VM19C,E,4,K,53.00000000000002
VM19C,E,40,K,4.99999999999999
VM19C,E,41,K,12.999999999999998
VM19C,E,42,K,64.0
VM19C,E,43,K,35.0
VM19C,E,44,K,79.0
VM19C,E,45,K,32.00000000000001
VM19C,E,46,K,22.999999999999993
VM19C,E,47,K,58.00000000000001
VM19C,E,48,K,82.0
VM19C,E,49,K,38.0
VM19C,E,5,G,194.0
VM19C,E,50,G,24.999999999999993
VM19C,E,51,K,77.0
VM19C,E,52,G,18.999999999999996
VM19C,E,53,K,36.00000000000001
VM19C,E,54,K,42.00000000000001
VM19C,E,55,K,57.99999999999999
VM19C,E,56,K,40.00000000000001
VM19C,E,57,K,44.0
VM19C,E,58,K,80.0
VM19C,E,59,K,50.0
VM19C,E,6,G,24.000000000000007
VM19C,E,60,K,74.00000000000001
VM19C,E,61,K,5.000000000000004
VM19C,E,62,K,22.999999999999993
VM19C,E,63,K,12.999999999999998
VM19C,E,64,K,32.0
VM19C,E,65,K,47.0
VM19C,E,66,G,23.999999999999993
VM19C,E,67,K,100.0
VM19C,E,68,G,44.000000000000014
VM19C,E,69,G,51.99999999999999
VM19C,E,7,K,55.99999999999999
VM19C,E,70,G,58.0
VM19C,E,71,K,41.99999999999999
VM19C,E,72,K,44.0
VM19C,E,73,G,18.000000000000004
VM19C,E,74,K,67.0
VM19C,E,75,K,88.0
VM19C,E,76,G,22.000000000000007
VM19C,E,77,K,45.000000000000014
VM19C,E,78,K,61.000000000000014
VM19C,E,79,K,77.99999999999999
VM19C,E,8,K,63.999999999999986
VM19C,E,80,K,47.99999999999999
VM19C,E,81,K,4.999999999999977
VM19C,E,82,K,66.99999999999999
VM19C,E,83,K,41.00000000000001
VM19C,E,84,K,4.999999999999977
VM19C,E,85,K,38.99999999999999
VM19C,E,86,K,43.0
VM19C,E,87,K,69.0
VM19C,E,88,K,60.000000000000014
VM19C,E,89,K,63.999999999999986
VM19C,E,9,K,4.99999999999999
VM19C,E,90,K,51.99999999999999
VM19C,E,91,K,57.0
VM19C,E,92,K,111.99999999999999
VM19C,E,93,K,94.0
VM19C,E,94,K,84.0
VM19C,E,95,K,54.00000000000001
