phone,minTime,maxTime,k total,kw total,g total,gw total
g,35.966,36.076,,,,
g,38.745,38.805,,,,
g,64.632,64.682,,,,
k,109.796,109.846,,,,
k,129.922,129.972,,,,
g,131.382,131.492,,,,
gw,131.692,131.762,,,,
k,136.895,136.965,,,,
g,137.215,137.265,,,,
k,138.245,138.355,,,,
g,156.183,156.243,,,,
g,171.878,171.908,,,,
g,175.928,176.008,,,,
g,181.929,181.979,,,,
g,184.467,184.567,,,,
g,186.227,186.287,,,,
k,192.359,192.389,,,,
g,211.911,211.971,,,,
g,213.776,213.866,,,,
g,239.069,239.129,,,,
g,246.014,246.074,,,,
k,258.261,258.371,,,,
g,258.941,258.991,,,,
k,263.239,263.319,,,,
g,273.773,273.833,,,,
g,285.528,285.578,,,,
g,290.577,290.667,,,,
g,290.847,290.917,,,,
g,306.746,306.846,,,,
g,308.536,308.566,,,,
g,316.183,316.243,,,,
g,319.298,319.348,,,,
k,339.499,339.579,,,,
g,355.769,355.819,,,,
g,357.769,357.849,,,,
g,359.409,359.439,,,,
g,376.54,376.59,,,,
g,386.737,386.827,,,,
g,386.987,387.057,,,,
g,411.528,411.588,,,,
k,425.412,425.492,,,,
g,427.919,428.009,,,,
g,444.714,444.764,,,,
k,467.423,467.463,,,,
k,476.563,476.633,,,,
k,481.583,481.623,,,,
g,482.223,482.283,,,,
g,485.114,485.164,,,,
g,500.641,500.711,,,,
k,507.137,507.207,,,,
k,507.747,507.817,,,,
g,508.057,508.087,,,,
g,515.331,515.421,,,,
k,521.561,521.621,,,,
g,525.371,525.421,,,,
k,525.991,526.061,,,,
g,528.085,528.145,,,,
g,532.937,533.017,,,,
g,550.653,550.693,,,,
g,553.633,553.703,,,,
k,555.747,555.827,,,,
g,561.896,561.966,,,,
g,562.406,562.446,,,,
k,567.049,567.089,,,,
g,568.079,568.149,,,,
k,610.846,610.926,,,,
g,612.845,612.965,,,,
k,646.412,646.472,,,,
g,647.792,647.822,,,,
g,648.372,648.432,,,,
g,657.947,658.027,,,,
g,662.047,662.137,,,,
k,674.349,674.439,,,,
k,674.559,674.819,,,,
g,679.039,679.089,,,,
g,679.229,679.299,,,,
g,686.427,686.477,,,,
k,687.6,687.69,,,,
k,687.83,687.88,,,,
k,693.529,693.629,,,,
g,694.239,694.319,,,,
g,699.429,699.459,,,,
k,699.719,699.779,,,,
g,723.509,723.569,,,,
k,729.138,729.228,,,,
k,734.183,734.243,,,,
k,758.24,758.3,,,,
g,783.623,783.683,,,,
k,787.492,787.572,,,,
g,796.989,797.049,,,,
g,801.507,801.587,,,,
g,826.931,826.981,,,,
g,828.208,828.268,,,,
g,872.718,872.818,,,,
g,875.848,875.908,,,,
g,877.641,877.721,,,,
g,879.905,879.955,,,,
g,880.165,880.225,,,,
gw,886.389,886.509,,,,
g,898.116,898.216,,,,
g,899.459,899.559,,,,
k,901.569,901.649,,,,
g,909.234,909.284,,,,
g,911.737,911.817,,,,
g,924.629,924.709,,,,
k,954.243,954.283,,,,
k,965.28,965.32,,,,
k,976.141,976.191,,,,
g,979.571,979.631,,,,
g,981.691,981.721,,,,
k,986.681,986.721,,,,
g,988.682,988.712,,,,
g,997.385,997.465,,,,
k,997.685,997.735,,,,
g,1002.521,1002.571,,,,
g,1007.491,1007.531,,,,
k,1025.668,1025.768,,,,
g,1027.488,1027.558,,,,
g,1027.638,1027.718,,,,
k,1030.855,1030.915,,,,
g,1031.165,1031.245,,,,
g,1037.029,1037.069,,,,
g,1044.783,1044.853,,,,
g,1047.993,1048.053,,,,
g,1050.534,1050.614,,,,
g,1052.897,1052.967,,,,
g,1060.963,1061.063,,,,
g,1064.277,1064.387,,,,
g,1082.555,1082.625,,,,
k,1085.78,1085.87,,,,
k,1087.4,1087.47,,,,
k,1097.828,1097.858,,,,
k,1100.368,1101.288,,,,
g,1104.805,1104.865,,,,
g,1114.322,1114.382,,,,
g,1118.132,1118.192,,,,
g,1137.89,1137.97,,,,
g,1144.937,1145.027,,,,
k,1145.207,1145.327,,,,
g,1148.377,1148.427,,,,
k,1149.832,1149.912,,,,
g,1160.969,1161.049,,,,
g,1167.266,1167.306,,,,
g,1198.635,1198.665,,,,
g,1199.125,1199.185,,,,
g,1203.367,1203.427,,,,
g,1216.681,1216.731,,,,
g,1219.661,1219.741,,,,
