phone,minTime,maxTime,k total,kw total,g total,gw total
g,32.719,32.799,,,,
g,99.827,99.897,,,,
g,109.286,109.356,,,,
g,110.876,110.996,,,,
k,114.505,114.575,,,,
g,121.268,121.438,,,,
k,123.458,123.598,,,,
g,126.451,126.511,,,,
k,130.662,130.742,,,,
g,137.695,137.765,,,,
k,141.381,141.451,,,,
g,144.05,144.12,,,,
g,147.15,147.22,,,,
g,154.433,154.503,,,,
k,157.513,157.663,,,,
k,159.677,159.747,,,,
g,170.248,170.318,,,,
g,179.948,180.148,,,,
g,181.209,181.259,,,,
g,182.249,182.369,,,,
k,184.887,184.937,,,,
g,187.547,187.627,,,,
g,204.846,204.926,,,,
g,209.671,209.741,,,,
k,211.101,211.161,,,,
g,216.424,216.494,,,,
g,228.57,228.63,,,,
k,237.167,237.227,,,,
g,245.164,245.244,,,,
g,254.811,254.861,,,,
k,256.041,256.241,,,,
k,272.303,272.373,,,,
g,283.858,283.918,,,,
k,284.118,284.228,,,,
g,287.297,287.327,,,,
k,306.236,306.336,,,,
g,310.165,310.205,,,,
g,312.841,312.891,,,,
k,314.483,314.553,,,,
g,315.883,315.963,,,,
g,317.868,317.918,,,,
g,321.516,321.566,,,,
k,322.877,322.937,,,,
g,330.983,331.063,,,,
k,338.285,338.355,,,,
g,353.759,353.819,,,,
g,355.189,355.269,,,,
g,360.169,360.209,,,,
g,374.61,374.67,,,,
g,378.08,378.11,,,,
g,384.967,385.017,,,,
k,426.909,426.989,,,,
g,429.829,429.909,,,,
g,430.409,430.479,,,,
g,435.169,435.249,,,,
k,439.768,439.828,,,,
k,481.433,481.503,,,,
k,481.883,481.993,,,,
g,484.634,484.704,,,,
g,503.756,503.846,,,,
g,511.639,511.719,,,,
g,518.921,518.991,,,,
k,522.131,522.181,,,,
g,535.104,535.174,,,,
g,538.174,538.204,,,,
g,538.624,538.674,,,,
k,559.896,560.206,,,,
g,566.089,566.139,,,,
g,583.639,583.719,,,,
g,585.425,585.475,,,,
k,613.63,613.79,,,,
g,645.652,645.722,,,,
gw,657.517,657.597,,,,
k,680.358,680.418,,,,
k,688.51,688.58,,,,
g,697.709,697.809,,,,
g,716.415,716.485,,,,
k,734.553,734.683,,,,
g,744.457,744.557,,,,
g,748.544,748.604,,,,
g,753.652,753.692,,,,
g,755.452,755.592,,,,
k,779.888,779.938,,,,
gw,786.592,786.692,,,,
g,801.217,801.297,,,,
g,805.992,806.032,,,,
g,847.653,847.743,,,,
g,851.813,852.003,,,,
g,852.373,852.483,,,,
g,856.706,856.776,,,,
g,857.906,857.976,,,,
g,875.428,875.498,,,,
g,877.541,877.601,,,,
g,879.465,879.835,,,,
g,887.429,887.499,,,,
g,904.144,904.204,,,,
g,911.237,911.297,,,,
g,911.637,911.687,,,,
g,915.994,916.074,,,,
g,922.759,922.889,,,,
g,923.089,923.229,,,,
g,928.443,928.473,,,,
g,960.456,960.526,,,,
g,966.91,966.97,,,,
g,969.25,969.37,,,,
g,990.232,990.312,,,,
g,990.942,991.032,,,,
g,997.255,997.305,,,,
g,1006.911,1006.961,,,,
g,1033.235,1033.275,,,,
g,1039.134,1039.214,,,,
g,1042.274,1042.344,,,,
k,1042.564,1042.634,,,,
g,1046.853,1046.913,,,,
g,1047.833,1047.923,,,,
g,1050.024,1050.104,,,,
g,1056.426,1056.496,,,,
g,1089.337,1089.417,,,,
g,1092.317,1092.357,,,,
g,1097.448,1097.548,,,,
g,1098.628,1098.758,,,,
k,1102.708,1102.768,,,,
g,1108.131,1108.281,,,,
k,1109.441,1109.491,,,,
g,1116.182,1116.352,,,,
k,1117.482,1117.582,,,,
k,1137.56,1137.63,,,,
g,1168.336,1168.396,,,,
g,1173.026,1173.096,,,,
g,1174.243,1174.303,,,,
g,1189.115,1189.175,,,,
g,1190.275,1190.335,,,,
g,1198.265,1198.315,,,,
gw,1233.558,1233.618,,,,
g,1247.57,1247.64,,,,
g,1282.087,1282.157,,,,
g,1296.887,1296.977,,,,
g,1297.387,1297.437,,,,
g,1302.516,1302.606,,,,
g,1307.526,1307.596,,,,
g,1316.323,1316.383,,,,
g,1319.413,1319.513,,,,
g,1320.163,1320.233,,,,
g,1323.022,1323.102,,,,
g,1355.999,1356.089,,,,
g,1397.376,1397.416,,,,
k,1423.347,1423.397,,,,
g,1424.057,1424.127,,,,
g,1442.572,1442.732,,,,
k,1444.722,1444.792,,,,
g,1445.212,1445.372,,,,
g,1453.919,1454.009,,,,
g,1459.312,1459.372,,,,
g,1460.212,1460.292,,,,
k,1486.379,1486.479,,,,
k,1494.216,1494.286,,,,
g,1499.496,1499.566,,,,
g,1516.541,1516.601,,,,
k,1517.511,1517.621,,,,
g,1522.312,1522.382,,,,
g,1523.802,1523.952,,,,
k,1527.622,1527.692,,,,
k,1528.162,1528.262,,,,
g,1539.815,1539.925,,,,
g,1541.195,1541.225,,,,
g,1554.199,1554.279,,,,
g,1576.558,1576.638,,,,
g,1580.764,1580.844,,,,
,,,39,0,126,3
