phone,minTime,maxTime,k total,kw total,g total,gw total
K,33.111,33.241,,,,
G,34.751,34.831,,,,
K,76.001,76.161,,,,
K,85.073,85.193,,,,
K,88.503,88.633,,,,
K,92.485,92.645,,,,
G,152.309,152.399,,,,
G,181.216,181.306,,,,
G,225.23,225.34,,,,
G,243.874,243.974,,,,
G,260.79,260.88,,,,
G,282.084,282.194,,,,
G,296.922,297.022,,,,
K,416.363,416.433,,,,
K,430.961,431.061,,,,
K,452.851,452.901,,,,
K,453.111,453.251,,,,
K,490.243,490.323,,,,
K,496.287,496.387,,,,
K,497.557,497.627,,,,
G,505.287,505.367,,,,
K,539.523,539.623,,,,
K,569.454,569.544,,,,
K,587.693,587.783,,,,
K,615.625,615.715,,,,
K,616.065,616.135,,,,
K,670.026,670.116,,,,
K,675.93,676.06,,,,
G,692.497,692.567,,,,
G,700.48,700.57,,,,
K,726.986,727.096,,,,
K,729.226,729.336,,,,
G,771.188,771.298,,,,
G,788.545,788.685,,,,
K,789.145,789.225,,,,
K,800.796,800.856,,,,
K,801.506,801.576,,,,
G,810.467,810.557,,,,
G,897.279,897.359,,,,
K,897.669,897.739,,,,
K,900.369,900.439,,,,
G,954.771,954.851,,,,
K,961.711,961.791,,,,
K,962.101,962.191,,,,
K,1056.495,1056.625,,,,
K,1086.999,1087.149,,,,
K,1116.629,1116.709,,,,
K,1119.373,1119.413,,,,
K,1145.311,1145.401,,,,
K,1145.901,1145.961,,,,
K,1147.211,1147.291,,,,
K,1147.331,1147.461,,,,
G,1195.787,1195.867,,,,
K,1210.726,1210.866,,,,
K,1214.42,1214.54,,,,
K,1216.321,1216.401,,,,
K,1231.077,1231.187,,,,
K,1265.409,1265.529,,,,
K,1269.603,1269.723,,,,
K,1297.358,1297.448,,,,
K,1305.323,1305.393,,,,
G,1323.981,1324.051,,,,
K,1338.773,1338.833,,,,
K,1381.509,1381.599,,,,
K,1398.169,1398.229,,,,
G,1398.299,1398.379,,,,
K,1407.293,1407.383,,,,
G,1408.663,1408.733,,,,
K,1418.674,1418.754,,,,
G,1435.157,1435.227,,,,
K,1443.024,1443.054,,,,
K,1446.002,1446.102,,,,
K,1478.965,1479.025,,,,
K,1479.115,1479.195,,,,
K,1495.468,1495.568,,,,
K,1506.597,1506.677,,,,
K,1513.457,1513.557,,,,
,,,56,0,21,0
