speaker,language,clip,phone,vot_ms
VM19D,C,0,g,26.00000000000001
VM19D,C,1,g,31.0
VM19D,C,10,k,22.999999999999993
VM19D,C,100,g,17.000000000000014
VM19D,C,101,g,5.000000000000004
VM19D,C,102,g,25.999999999999996
VM19D,C,103,g,24.0
VM19D,C,104,g,17.99999999999999
VM19D,C,105,g,5.000000000000004
VM19D,C,106,g,27.00000000000001
VM19D,C,107,g,4.999999999999999
VM19D,C,108,g,17.0
VM19D,C,109,g,4.999999999999997
VM19D,C,11,g,24.999999999999993
VM19D,C,110,g,34.0
VM19D,C,111,g,20.99999999999999
VM19D,C,112,k,93.0
VM19D,C,113,g,25.999999999999996
VM19D,C,114,g,4.99999999999999
VM19D,C,115,g,24.000000000000007
VM19D,C,116,g,5.000000000000004
VM19D,C,117,g,24.000000000000007
VM19D,C,118,g,59.00000000000001
VM19D,C,119,g,44.0
VM19D,C,12,g,22.999999999999993
VM19D,C,120,g,23.00000000000002
VM19D,C,121,k,77.0
VM19D,C,122,g,24.999999999999993
VM19D,C,123,k,4.99999999999999
VM19D,C,124,g,25.00000000000002
VM19D,C,125,k,72.99999999999999
VM19D,C,126,k,38.00000000000001
VM19D,C,127,g,98.0
VM19D,C,128,g,16.0
VM19D,C,129,g,22.000000000000007
VM19D,C,13,g,22.000000000000007
VM19D,C,130,g,21.000000000000004
VM19D,C,131,g,23.000000000000007
VM19D,C,132,g,70.0
VM19D,C,133,gw,25.999999999999996
VM19D,C,134,g,33.0
VM19D,C,135,g,5.000000000000004
VM19D,C,136,g,24.999999999999993
VM19D,C,137,g,18.999999999999996
VM19D,C,138,g,5.000000000000004
VM19D,C,139,g,30.0
VM19D,C,14,k,79.99999999999999
VM19D,C,140,g,13.999999999999998
VM19D,C,141,g,25.000000000000007
VM19D,C,142,g,22.000000000000007
VM19D,C,143,g,23.000000000000007
VM19D,C,144,g,34.0
VM19D,C,145,g,18.999999999999996
VM19D,C,146,k,74.0
VM19D,C,147,g,33.0
VM19D,C,148,g,19.99999999999999
VM19D,C,149,k,45.000000000000014
VM19D,C,15,k,39.99999999999999
VM19D,C,150,g,46.999999999999986
VM19D,C,151,g,21.999999999999993
VM19D,C,152,g,8.0
VM19D,C,153,g,32.0
VM19D,C,154,k,71.0
VM19D,C,155,k,64.99999999999999
VM19D,C,156,g,20.99999999999999
VM19D,C,157,g,22.999999999999993
VM19D,C,158,k,46.999999999999986
VM19D,C,159,g,22.999999999999993
VM19D,C,16,g,18.99999999999999
VM19D,C,160,g,15.999999999999986
VM19D,C,161,k,45.0
VM19D,C,162,k,5.000000000000004
VM19D,C,163,g,24.000000000000007
VM19D,C,164,g,41.99999999999999
VM19D,C,165,g,25.000000000000007
VM19D,C,166,g,31.0
VM19D,C,167,g,35.99999999999999
VM19D,C,17,g,5.000000000000004
VM19D,C,18,g,26.999999999999996
VM19D,C,19,g,18.99999999999999
VM19D,C,2,g,5.000000000000004
VM19D,C,20,k,26.999999999999996
VM19D,C,21,g,18.000000000000004
VM19D,C,22,g,21.000000000000004
VM19D,C,23,g,39.00000000000001
VM19D,C,24,k,38.00000000000001
VM19D,C,25,g,20.99999999999999
VM19D,C,26,g,18.000000000000004
VM19D,C,27,k,43.0
VM19D,C,28,g,38.99999999999999
VM19D,C,29,g,63.0
VM19D,C,3,g,24.999999999999993
VM19D,C,30,k,34.0
VM19D,C,31,k,24.999999999999993
VM19D,C,32,g,19.000000000000004
VM19D,C,33,k,113.00000000000001
VM19D,C,34,g,4.99999999999999
VM19D,C,35,k,5.000000000000004
VM19D,C,36,g,5.000000000000004
VM19D,C,37,g,34.99999999999999
VM19D,C,38,k,30.0
VM19D,C,39,g,25.999999999999996
VM19D,C,4,k,5.000000000000004
VM19D,C,40,g,5.000000000000004
VM19D,C,41,g,33.0
VM19D,C,42,k,24.000000000000007
VM19D,C,43,g,36.99999999999999
VM19D,C,44,k,57.00000000000001
VM19D,C,45,g,20.000000000000004
VM19D,C,46,g,27.00000000000001
VM19D,C,47,g,24.000000000000007
VM19D,C,48,g,25.000000000000007
VM19D,C,49,g,19.00000000000001
VM19D,C,5,g,18.000000000000014
VM19D,C,50,g,17.0
VM19D,C,51,k,8.000000000000007
VM19D,C,52,g,19.000000000000004
VM19D,C,53,g,21.000000000000004
VM19D,C,54,g,25.999999999999996
VM19D,C,55,k,84.99999999999999
VM19D,C,56,k,39.99999999999999
VM19D,C,57,k,41.00000000000001
VM19D,C,58,g,16.0
VM19D,C,59,g,35.0
VM19D,C,6,k,57.00000000000002
VM19D,C,60,g,27.999999999999996
VM19D,C,61,g,89.0
VM19D,C,62,k,59.0
VM19D,C,63,g,20.000000000000004
VM19D,C,64,g,5.000000000000001
VM19D,C,65,g,24.999999999999993
VM19D,C,66,k,48.999999999999986
VM19D,C,67,g,28.000000000000004
VM19D,C,68,g,39.99999999999999
VM19D,C,69,g,25.000000000000007
VM19D,C,7,g,28.999999999999996
VM19D,C,70,k,138.0
VM19D,C,71,g,24.000000000000007
VM19D,C,72,gw,31.0
VM19D,C,73,k,61.000000000000014
VM19D,C,74,k,19.000000000000004
VM19D,C,75,g,41.99999999999999
VM19D,C,76,g,21.999999999999993
VM19D,C,77,k,38.99999999999998
VM19D,C,78,g,30.0
VM19D,C,79,g,7.999999999999993
VM19D,C,8,k,59.0
VM19D,C,80,g,93.0
VM19D,C,81,g,27.999999999999996
VM19D,C,82,k,65.99999999999999
VM19D,C,83,gw,34.0
VM19D,C,84,g,30.0
VM19D,C,85,g,87.00000000000001
VM19D,C,86,g,24.999999999999993
VM19D,C,87,g,16.999999999999986
VM19D,C,88,g,21.999999999999993
VM19D,C,89,g,24.999999999999993
VM19D,C,9,g,20.000000000000004
VM19D,C,90,g,28.999999999999996
VM19D,C,91,g,21.000000000000004
VM19D,C,92,g,92.99999999999999
VM19D,C,93,g,22.00000000000002
VM19D,C,94,g,102.0
VM19D,C,95,g,19.99999999999999
VM19D,C,96,g,5.000000000000004
VM19D,C,97,g,23.0
VM19D,C,98,g,99.99999999999999
VM19D,C,99,g,5.000000000000004
VM19D,E,0,G,40.00000000000001
VM19D,E,1,K,80.99999999999999
VM19D,E,10,K,71.00000000000001
VM19D,E,11,G,30.0
VM19D,E,12,K,89.0
VM19D,E,13,G,28.999999999999996
VM19D,E,14,K,137.0
VM19D,E,15,K,4.99999999999999
VM19D,E,16,G,33.0
VM19D,E,17,K,45.000000000000014
VM19D,E,18,K,67.99999999999999
VM19D,E,19,K,27.999999999999996
VM19D,E,2,G,27.00000000000001
VM19D,E,20,K,67.99999999999999
VM19D,E,21,K,80.00000000000001
VM19D,E,22,K,68.0
VM19D,E,23,K,52.99999999999999
VM19D,E,24,K,47.0
VM19D,E,25,K,81.0
VM19D,E,26,K,57.99999999999999
VM19D,E,27,K,60.000000000000014
VM19D,E,28,G,28.999999999999996
VM19D,E,29,G,30.0
VM19D,E,3,K,54.00000000000001
VM19D,E,30,K,71.0
VM19D,E,31,K,48.999999999999986
VM19D,E,32,K,67.0
VM19D,E,33,G,9.999999999999995
VM19D,E,34,K,10.999999999999996
VM19D,E,35,K,56.99999999999999
VM19D,E,36,K,47.0
VM19D,E,37,K,69.99999999999999
VM19D,E,38,K,44.0
