phone,minTime,maxTime,k total,kw total,g total,gw total
K,25.676,25.816,,,,
G,27.136,27.226,,,,
K,50.664,50.764,,,,
K,58.265,58.365,,,,
K,59.601,59.691,,,,
K,61.207,61.307,,,,
K,80.568,80.618,,,,
G,82.558,82.638,,,,
G,113.489,113.549,,,,
G,119.11,119.17,,,,
K,119.56,119.66,,,,
G,136.838,136.868,,,,
G,141.816,141.846,,,,
G,146.7,146.76,,,,
K,147.55,147.66,,,,
K,153.506,153.586,,,,
G,166.152,166.212,,,,
K,167.212,167.332,,,,
G,189.99,190.04,,,,
K,219.198,219.288,,,,
K,229.952,230.012,,,,
G,253.501,253.531,,,,
K,273.33,273.41,,,,
K,292.778,292.838,,,,
K,294.218,294.278,,,,
K,294.468,294.548,,,,
G,297.488,297.538,,,,
K,300.198,300.268,,,,
G,316.127,316.157,,,,
K,320.362,320.462,,,,
G,321.652,321.732,,,,
K,324.869,324.929,,,,
K,328.78,328.86,,,,
K,329.39,329.46,,,,
K,329.69,329.77,,,,
G,355.798,355.868,,,,
G,357.068,357.128,,,,
G,365.848,365.908,,,,
K,368.098,368.198,,,,
K,372.687,372.767,,,,
K,386.842,386.912,,,,
K,388.572,388.632,,,,
K,390.786,390.816,,,,
K,399.063,399.093,,,,
K,403.025,403.055,,,,
K,403.835,403.905,,,,
K,404.785,404.845,,,,
K,407.015,407.045,,,,
K,420.824,420.864,,,,
G,433.853,433.883,,,,
K,445.195,445.265,,,,
K,446.125,446.185,,,,
K,447.466,447.496,,,,
K,469.108,469.218,,,,
K,490.111,490.181,,,,
K,506.586,506.656,,,,
K,514.49,514.52,,,,
G,514.64,514.67,,,,
K,514.91,514.94,,,,
G,515.88,515.96,,,,
K,516.27,516.34,,,,
K,518.45,518.55,,,,
K,519.0,519.05,,,,
G,521.931,521.991,,,,
K,526.972,527.002,,,,
G,531.042,531.082,,,,
K,542.14,542.17,,,,
K,544.11,544.16,,,,
K,545.4,545.45,,,,
G,548.159,548.189,,,,
K,549.399,549.449,,,,
G,555.818,555.858,,,,
G,566.902,566.942,,,,
K,576.192,576.262,,,,
K,577.312,577.342,,,,
K,577.482,577.592,,,,
K,588.336,588.426,,,,
K,604.082,604.162,,,,
K,605.902,605.962,,,,
K,622.664,622.744,,,,
K,625.624,625.754,,,,
K,629.454,629.554,,,,
K,642.739,642.769,,,,
G,642.799,642.859,,,,
K,668.655,668.705,,,,
K,671.641,671.731,,,,
G,697.646,697.716,,,,
G,698.946,698.996,,,,
K,704.106,704.166,,,,
K,708.548,708.608,,,,
K,714.076,714.136,,,,
K,714.936,714.996,,,,
K,740.182,740.212,,,,
G,741.072,741.162,,,,
K,744.641,744.671,,,,
G,746.931,747.001,,,,
G,751.43,751.47,,,,
G,755.14,755.17,,,,
K,755.7,755.76,,,,
K,786.876,786.916,,,,
K,829.01,829.07,,,,
K,857.602,857.672,,,,
G,867.752,867.832,,,,
K,876.576,876.626,,,,
K,901.8,901.83,,,,
K,902.58,902.68,,,,
K,906.259,906.369,,,,
K,917.646,917.676,,,,
G,935.058,935.088,,,,
G,938.258,938.318,,,,
G,941.796,941.826,,,,
G,947.94,947.99,,,,
K,959.462,959.532,,,,
K,964.062,964.152,,,,
G,978.619,978.699,,,,
K,980.919,980.979,,,,
G,986.15,986.19,,,,
K,987.02,987.05,,,,
G,1003.396,1003.426,,,,
K,1028.71,1028.8,,,,
K,1030.24,1030.27,,,,
K,1033.631,1033.681,,,,
G,1062.234,1062.304,,,,
K,1069.032,1069.072,,,,
K,1081.147,1081.207,,,,
K,1117.325,1117.415,,,,
K,1121.795,1121.835,,,,
K,1143.62,1143.71,,,,
K,1145.33,1145.36,,,,
K,1147.13,1147.17,,,,
K,1173.503,1173.573,,,,
K,1180.256,1180.316,,,,
K,1193.546,1193.636,,,,
K,1196.722,1196.892,,,,
K,1198.752,1198.852,,,,
K,1205.425,1205.475,,,,
K,1209.917,1210.037,,,,
K,1210.957,1211.017,,,,
G,1212.907,1212.997,,,,
G,1213.387,1213.467,,,,
K,1215.76,1215.83,,,,
K,1219.932,1220.022,,,,
K,1221.652,1221.682,,,,
K,1221.882,1221.912,,,,
K,1224.027,1224.087,,,,
K,1241.664,1241.744,,,,
G,1242.434,1242.494,,,,
K,1251.572,1251.692,,,,
K,1285.065,1285.095,,,,
K,1294.746,1294.776,,,,
K,1295.506,1295.546,,,,
G,1303.314,1303.394,,,,
K,1316.45,1316.55,,,,
K,1331.559,1331.589,,,,
K,1332.289,1332.469,,,,
K,1336.359,1336.419,,,,
K,1380.019,1380.089,,,,
K,1381.369,1381.429,,,,
K,1382.399,1382.439,,,,
K,1396.93,1396.96,,,,
G,1428.538,1428.588,,,,
G,1432.308,1432.378,,,,
G,1440.788,1440.868,,,,
G,1442.758,1442.828,,,,
K,1457.642,1457.732,,,,
K,1472.831,1472.891,,,,
K,1473.171,1473.201,,,,
K,1476.734,1476.824,,,,
G,1481.634,1481.714,,,,
K,1490.564,1490.684,,,,
K,1529.916,1529.946,,,,
K,1530.546,1530.616,,,,
K,1531.944,1531.974,,,,
K,1533.634,1533.694,,,,
G,1536.8,1536.83,,,,
K,1539.8,1539.92,,,,
K,1573.898,1573.928,,,,
K,1575.069,1575.099,,,,
K,1577.409,1577.489,,,,
G,1591.724,1591.764,,,,
K,1621.56,1621.59,,,,
K,1632.008,1632.108,,,,
G,1632.378,1632.438,,,,
G,1634.208,1634.248,,,,
K,1636.408,1636.448,,,,
K,1641.331,1641.391,,,,
G,1646.391,1646.421,,,,
K,1654.481,1654.541,,,,
G,1687.551,1687.601,,,,
G,1688.211,1688.301,,,,
K,1690.727,1690.777,,,,
K,1693.967,1694.007,,,,
G,1725.438,1725.528,,,,
K,1734.031,1734.111,,,,
G,1750.054,1750.084,,,,
G,1751.714,1751.744,,,,
K,1765.355,1765.405,,,,
K,1766.115,1766.165,,,,
G,1767.905,1767.935,,,,
K,1774.612,1774.702,,,,
G,1777.202,1777.272,,,,
G,1777.822,1777.902,,,,
G,1793.644,1793.674,,,,
K,1794.624,1794.684,,,,
K,1797.59,1797.62,,,,
G,1797.85,1797.89,,,,
K,1799.03,1799.08,,,,
K,1824.72,1824.79,,,,
K,1825.57,1825.63,,,,
,,,145,0,64,0
