phone,minTime,maxTime,k total,kw total,g total,gw total
g,25.672,25.742,,,,
g,94.664,94.694,,,,
k,102.562,102.632,,,,
g,143.386,143.466,,,,
g,169.856,169.916,,,,
g,182.032,182.102,,,,
g,201.594,201.634,,,,
g,257.974,258.014,,,,
k,264.132,264.172,,,,
g,329.089,329.169,,,,
g,339.343,339.403,,,,
g,341.304,341.344,,,,
g,345.072,345.122,,,,
g,346.412,346.482,,,,
g,349.814,349.914,,,,
g,352.914,352.984,,,,
k,396.206,396.266,,,,
g,397.53,397.69,,,,
g,400.33,400.4,,,,
g,406.246,406.276,,,,
g,410.114,410.154,,,,
g,423.524,423.584,,,,
g,428.057,428.127,,,,
g,430.91,430.95,,,,
k,453.117,453.177,,,,
g,458.176,458.256,,,,
k,474.438,474.518,,,,
g,485.524,485.604,,,,
g,531.619,531.699,,,,
g,533.815,533.865,,,,
g,552.494,552.574,,,,
g,552.844,552.924,,,,
g,553.314,553.374,,,,
g,564.905,564.995,,,,
g,565.675,565.775,,,,
g,600.271,600.361,,,,
g,627.867,627.937,,,,
g,635.606,635.656,,,,
k,657.834,657.874,,,,
g,660.014,660.074,,,,
g,662.148,662.238,,,,
k,675.642,675.972,,,,
k,678.825,678.885,,,,
gw,693.752,693.862,,,,
g,694.212,694.282,,,,
g,715.456,715.506,,,,
g,718.539,718.639,,,,
g,730.018,730.048,,,,
g,731.598,731.688,,,,
g,737.516,737.556,,,,
g,741.486,741.546,,,,
g,745.18,745.25,,,,
k,777.78,777.84,,,,
gw,779.6,779.69,,,,
g,824.942,824.972,,,,
g,826.052,826.112,,,,
g,864.376,864.416,,,,
k,887.014,887.054,,,,
k,888.674,888.754,,,,
g,890.59,890.63,,,,
g,895.345,895.375,,,,
g,899.675,899.735,,,,
g,941.992,942.072,,,,
g,956.399,956.449,,,,
g,987.043,987.103,,,,
g,990.194,990.234,,,,
g,1003.132,1003.212,,,,
g,1007.688,1007.868,,,,
k,1009.719,1009.819,,,,
g,1016.786,1016.866,,,,
g,1018.566,1018.596,,,,
g,1026.492,1026.542,,,,
g,1026.892,1026.932,,,,
g,1028.999,1029.089,,,,
g,1031.934,1031.994,,,,
g,1052.234,1052.264,,,,
gw,1060.55,1060.58,,,,
g,1078.79,1078.84,,,,
g,1087.858,1087.898,,,,
k,1100.42,1100.45,,,,
g,1104.455,1104.545,,,,
g,1146.386,1146.496,,,,
g,1150.851,1150.921,,,,
g,1156.836,1156.866,,,,
k,1186.136,1186.166,,,,
g,1206.722,1206.762,,,,
gw,1207.432,1207.462,,,,
g,1222.316,1222.346,,,,
g,1228.106,1228.186,,,,
gw,1228.756,1228.816,,,,
g,1233.326,1233.406,,,,
g,1234.376,1234.426,,,,
g,1235.81,1235.89,,,,
k,1238.048,1238.108,,,,
g,1251.658,1251.728,,,,
k,1256.039,1256.099,,,,
gw,1267.362,1267.502,,,,
g,1277.738,1277.778,,,,
k,1283.597,1283.707,,,,
g,1289.464,1289.504,,,,
g,1292.863,1292.933,,,,
k,1293.003,1293.033,,,,
k,1310.27,1310.33,,,,
gw,1325.282,1325.352,,,,
g,1325.582,1325.652,,,,
g,1336.675,1336.705,,,,
g,1340.834,1340.894,,,,
g,1344.237,1344.277,,,,
g,1350.63,1350.71,,,,
g,1353.65,1353.7,,,,
g,1366.336,1366.386,,,,
g,1366.826,1366.866,,,,
g,1385.417,1385.447,,,,
g,1390.829,1390.919,,,,
g,1407.926,1407.996,,,,
g,1426.719,1426.759,,,,
g,1426.909,1426.969,,,,
gw,1431.818,1431.968,,,,
g,1459.936,1460.016,,,,
g,1472.418,1472.508,,,,
g,1473.238,1473.318,,,,
g,1475.828,1475.858,,,,
k,1478.368,1478.408,,,,
g,1488.408,1488.468,,,,
g,1509.214,1509.284,,,,
g,1512.394,1512.444,,,,
g,1521.462,1521.492,,,,
k,1571.26,1571.31,,,,
gw,1645.572,1645.612,,,,
g,1677.408,1677.458,,,,
g,1679.498,1679.528,,,,
g,1680.808,1680.868,,,,
g,1695.506,1695.566,,,,
g,1724.069,1724.119,,,,
g,1762.134,1762.184,,,,
g,1803.56,1803.6,,,,
k,1831.863,1831.923,,,,
k,1849.228,1849.298,,,,
gw,1861.45,1861.49,,,,
,,,23,0,106,10
