phone,minTime,maxTime,k total,kw total,g total,gw total
g,24.951,25.031,,,,
g,26.544,26.604,,,,
g,43.94,43.98,,,,
g,65.548,65.638,,,,
g,67.748,67.778,,,,
g,68.568,68.648,,,,
k,77.99,78.05,,,,
g,85.664,85.694,,,,
k,101.353,101.403,,,,
g,105.71,105.74,,,,
g,122.766,122.866,,,,
g,124.328,124.388,,,,
g,150.99,151.04,,,,
k,196.603,196.703,,,,
g,206.588,206.628,,,,
g,211.243,211.303,,,,
k,241.67,241.73,,,,
g,242.94,242.98,,,,
g,246.652,246.682,,,,
k,249.942,249.982,,,,
k,252.184,252.244,,,,
g,254.272,254.322,,,,
g,260.412,260.452,,,,
k,261.192,261.222,,,,
g,267.572,267.602,,,,
g,283.282,283.392,,,,
g,290.546,290.606,,,,
g,299.116,299.186,,,,
g,302.363,302.393,,,,
g,303.133,303.193,,,,
g,315.254,315.284,,,,
g,326.648,326.678,,,,
g,334.486,334.516,,,,
g,338.068,338.148,,,,
g,343.516,343.576,,,,
k,357.282,357.312,,,,
g,362.626,362.656,,,,
g,364.586,364.656,,,,
g,406.9,406.94,,,,
g,409.56,409.68,,,,
k,464.869,464.999,,,,
g,465.189,465.219,,,,
g,478.548,478.638,,,,
g,540.966,541.096,,,,
g,542.929,542.969,,,,
g,562.752,562.842,,,,
g,564.552,564.632,,,,
g,565.552,565.672,,,,
g,567.012,567.042,,,,
g,569.545,569.615,,,,
g,570.775,570.855,,,,
g,572.238,572.278,,,,
k,593.144,593.204,,,,
g,599.934,599.964,,,,
g,605.558,605.638,,,,
g,631.661,631.701,,,,
g,679.276,679.306,,,,
g,690.472,690.522,,,,
k,690.722,690.782,,,,
g,694.164,694.414,,,,
g,697.434,697.464,,,,
gw,698.214,698.254,,,,
g,702.35,702.45,,,,
g,712.781,712.811,,,,
g,749.466,749.496,,,,
k,754.286,754.396,,,,
gw,773.135,773.175,,,,
g,773.615,773.715,,,,
gw,785.711,785.741,,,,
g,786.201,786.241,,,,
g,789.12,789.21,,,,
g,796.472,796.522,,,,
gw,802.818,802.848,,,,
gw,804.998,805.038,,,,
g,809.896,809.996,,,,
gw,812.954,812.984,,,,
k,813.634,813.694,,,,
g,817.132,817.172,,,,
g,819.136,819.186,,,,
g,821.566,821.616,,,,
g,829.52,829.55,,,,
g,830.55,830.63,,,,
g,843.704,843.754,,,,
g,845.364,845.394,,,,
g,847.747,847.807,,,,
g,849.187,849.247,,,,
g,888.453,888.483,,,,
g,888.983,889.013,,,,
gw,892.838,892.868,,,,
g,917.459,917.509,,,,
g,938.532,938.562,,,,
g,943.522,943.622,,,,
g,945.516,945.706,,,,
g,950.95,950.98,,,,
g,954.62,954.65,,,,
g,987.622,987.662,,,,
k,994.081,994.161,,,,
k,996.974,997.024,,,,
g,1014.914,1015.004,,,,
g,1030.15,1030.19,,,,
k,1032.05,1032.17,,,,
g,1049.16,1049.28,,,,
g,1067.782,1067.822,,,,
g,1080.286,1080.316,,,,
g,1087.042,1087.122,,,,
g,1089.772,1089.822,,,,
g,1091.422,1091.722,,,,
g,1095.219,1095.289,,,,
gw,1117.052,1117.102,,,,
k,1117.742,1117.792,,,,
g,1120.518,1120.558,,,,
g,1124.434,1124.474,,,,
g,1124.544,1124.654,,,,
k,1125.194,1125.274,,,,
g,1125.674,1125.754,,,,
g,1125.994,1126.044,,,,
gw,1135.98,1136.01,,,,
g,1143.5,1143.53,,,,
g,1161.604,1161.634,,,,
g,1165.411,1165.451,,,,
g,1166.821,1166.881,,,,
g,1169.022,1169.072,,,,
g,1170.082,1170.172,,,,
g,1190.952,1190.982,,,,
g,1197.918,1197.988,,,,
g,1229.278,1229.348,,,,
g,1230.238,1230.288,,,,
g,1238.944,1238.994,,,,
g,1262.058,1262.108,,,,
g,1282.736,1282.776,,,,
g,1321.482,1321.512,,,,
g,1325.186,1325.236,,,,
g,1326.376,1326.416,,,,
g,1339.47,1339.5,,,,
g,1356.682,1356.732,,,,
k,1435.5,1435.53,,,,
g,1438.876,1438.956,,,,
gw,1443.422,1443.452,,,,
g,1453.601,1453.731,,,,
g,1454.541,1454.601,,,,
g,1460.17,1460.2,,,,
gw,1468.688,1468.728,,,,
g,1469.608,1469.638,,,,
g,1469.908,1469.938,,,,
g,1477.278,1477.328,,,,
g,1478.478,1478.538,,,,
g,1478.618,1478.668,,,,
g,1496.282,1496.312,,,,
gw,1516.514,1516.554,,,,
g,1543.318,1543.368,,,,
gw,1570.505,1570.555,,,,
gw,1582.83,1582.87,,,,
g,1593.31,1593.35,,,,
k,1604.678,1604.748,,,,
g,1608.058,1608.108,,,,
gw,1646.238,1646.278,,,,
g,1646.838,1646.868,,,,
g,1648.788,1648.828,,,,
g,1655.447,1655.517,,,,
g,1655.817,1655.877,,,,
g,1656.707,1656.777,,,,
g,1668.928,1668.958,,,,
g,1671.248,1671.278,,,,
g,1679.76,1679.79,,,,
gw,1681.503,1681.563,,,,
g,1696.724,1696.834,,,,
k,1704.504,1704.594,,,,
g,1730.892,1730.922,,,,
k,1753.37,1753.45,,,,
g,1792.954,1792.984,,,,
g,1793.854,1793.954,,,,
k,1794.074,1794.104,,,,
g,1804.901,1804.941,,,,
,,,23,0,134,16
