phone,minTime,maxTime
k,30.648,30.768
k,39.848,39.908
k,56.756,56.796
k,85.1,85.16
k,104.044,104.084
k,105.768,105.818
k,107.782,107.822
k,111.39,111.44
k,113.62,113.69
k,116.79,116.83
k,128.975,129.025
k,141.414,141.474
k,147.392,147.432
k,148.482,148.542
k,153.206,153.236
k,160.998,161.068
k,161.208,161.248
k,163.188,163.238
k,167.778,167.808
k,169.028,169.088
k,169.218,169.268
k,172.633,172.683
k,173.463,173.503
k,180.27,180.32
k,186.284,186.324
k,187.704,187.774
k,191.413,191.473
k,194.324,194.354
k,204.796,204.846
k,209.438,209.478
k,210.228,210.268
k,214.952,214.982
k,216.622,216.662
k,217.312,217.372
k,217.882,217.912
k,218.032,218.072
k,219.252,219.282
k,233.688,233.728
k,234.779,234.849
k,235.129,235.189
k,235.519,235.579
k,237.359,237.389
k,266.024,266.074
k,278.118,278.208
k,278.308,278.398
k,278.578,278.608
k,280.028,280.068
k,280.618,280.678
k,287.564,287.654
k,290.674,290.734
k,304.154,304.204
k,304.334,304.404
k,304.574,304.604
k,306.884,306.954
k,318.032,318.092
k,320.102,320.172
k,320.982,321.072
k,322.525,322.635
k,322.725,322.835
k,336.359,336.469
k,336.529,336.559
k,346.744,346.774
k,348.464,348.564
k,348.624,348.664
k,356.082,356.132
k,365.23,365.35
k,366.66,366.76
k,373.704,373.754
k,375.604,375.664
k,381.542,381.622
k,381.682,381.742
k,382.812,382.852
k,384.788,384.868
k,384.998,385.038
k,389.335,389.405
k,411.52,411.57
k,411.75,411.78
k,413.254,413.314
k,417.775,417.835
k,421.6,421.63
k,421.73,421.81
k,433.778,433.858
k,447.388,447.428
k,448.118,448.158
k,451.29,451.34
k,452.01,452.1
k,463.626,463.706
k,464.266,464.376
k,472.109,472.139
k,489.675,489.715
k,508.276,508.316
k,519.056,519.086
k,523.387,523.417
k,524.577,524.607
k,527.39,527.46
k,527.7,527.76
k,532.484,532.524
k,532.594,532.624
k,533.834,533.894
k,534.034,534.114
k,544.188,544.258
k,548.268,548.338
k,550.407,550.447
k,552.317,552.367
k,552.367,552.417
k,555.541,555.601
k,555.881,555.931
k,566.959,567.029
k,580.424,580.654
k,582.954,583.004
k,583.084,583.154
k,583.314,583.354
k,585.331,585.371
k,588.911,588.951
k,598.604,598.654
k,599.054,599.114
k,604.501,604.531
k,607.248,607.278
k,607.898,607.928
k,608.258,608.308
k,608.418,608.478
k,609.578,609.608
k,610.478,610.558
k,620.94,621.01
k,638.532,638.592
k,651.872,651.912
k,658.839,658.909
k,659.919,659.989
k,661.402,661.462
k,663.975,664.055
k,665.525,665.595
k,674.568,674.618
k,675.648,675.718
k,677.518,677.568
k,689.962,690.022
k,692.822,692.892
k,695.979,696.029
k,697.009,697.109
k,697.439,697.499
k,699.259,699.329
k,700.759,700.789
k,704.325,704.385
k,704.695,704.745
k,705.355,705.475
k,705.685,705.735
k,705.905,706.035
k,707.065,707.115
k,709.599,709.689
k,710.609,710.649
k,711.079,711.109
k,728.738,728.808
k,728.988,729.038
k,732.048,732.118
k,735.094,735.134
k,735.214,735.244
k,736.284,736.394
k,740.152,740.202
k,740.352,740.382
k,747.007,747.037
k,747.037,747.107
k,748.547,748.587
k,748.647,748.677
k,754.732,754.762
k,775.72,775.79
k,775.88,775.96
k,776.569,776.669
k,782.523,782.593
k,786.523,786.613
k,788.874,788.934
k,794.309,794.389
k,794.559,794.629
k,794.799,794.879
k,798.582,798.642
k,799.702,799.782
k,801.863,801.933
k,808.084,808.124
k,826.434,826.484
k,826.604,826.664
k,828.913,828.973
k,829.223,829.293
k,830.323,830.373
k,830.783,830.853
k,833.273,833.323
k,833.543,833.573
k,833.643,833.673
k,834.123,834.173
k,836.043,836.123
k,838.421,838.491
k,839.551,839.591
k,841.421,841.481
k,843.639,843.679
k,844.119,844.169
k,845.159,845.239
k,846.851,846.901
k,847.501,847.611
k,848.501,848.551
k,849.851,849.911
k,850.021,850.091
k,850.431,850.501
k,864.283,864.333
k,865.093,865.203
k,865.513,865.563
k,865.723,865.823
k,867.963,868.023
k,868.323,868.393
k,872.048,872.078
k,873.068,873.218
k,880.172,880.272
k,880.982,881.012
k,892.548,892.608
k,892.718,892.748
k,897.453,897.523
k,897.803,897.873
k,898.393,898.433
k,904.358,904.418
k,904.498,904.538
k,907.228,907.268
k,915.421,915.471
k,939.759,939.799
k,958.854,958.884
k,963.472,963.592
k,967.054,967.094
k,974.478,974.518
k,974.648,974.738
k,976.484,976.544
k,978.214,978.314
k,982.718,982.788
k,985.256,985.386
k,986.256,986.336
k,987.936,988.026
k,991.106,991.136
k,997.144,997.194
k,1000.401,1000.431
k,1000.491,1000.521
k,1000.601,1000.671
k,1000.971,1001.021
k,1001.281,1001.321
k,1007.017,1007.067
k,1007.867,1007.907
k,1007.967,1007.997
k,1032.786,1032.816
k,1043.613,1043.673
k,1045.453,1045.503
k,1052.765,1052.805
k,1054.255,1054.375
k,1055.245,1055.305
k,1056.587,1056.617
k,1057.167,1057.217
k,1063.662,1063.722
k,1076.14,1076.25
k,1083.673,1083.753
k,1109.738,1109.838
k,1110.558,1110.728
k,1114.179,1114.229
k,1130.031,1130.111
k,1130.241,1130.311
k,1138.449,1138.499
k,1138.499,1138.579
k,1151.49,1151.52
k,1151.93,1151.96
k,1173.996,1174.056
k,1184.356,1184.406
k,1185.846,1185.896
k,1188.617,1188.677
k,1188.837,1188.867
k,1201.542,1201.602
k,1205.486,1205.556
k,1205.646,1205.706
k,1209.112,1209.162
k,1210.993,1211.063
k,1211.193,1211.263
k,1212.204,1212.254
k,1217.58,1217.62
k,1217.74,1217.78
k,1221.04,1221.07
k,1223.756,1223.836
