phone,minTime,maxTime,k total,kw total,g total,gw total
g,34.124,34.244,,,,
g,35.942,36.012,,,,
g,54.909,54.949,,,,
g,84.01,84.04,,,,
g,86.51,86.58,,,,
g,94.464,94.514,,,,
g,98.524,98.564,,,,
g,103.114,103.164,,,,
g,104.184,104.214,,,,
k,107.782,107.822,,,,
g,112.74,112.77,,,,
g,113.5,113.54,,,,
g,116.11,116.14,,,,
g,117.03,117.06,,,,
g,123.674,123.724,,,,
g,128.375,128.425,,,,
g,129.375,129.425,,,,
g,129.525,129.555,,,,
g,133.84,133.89,,,,
g,134.13,134.18,,,,
g,135.95,136.0,,,,
k,141.414,141.474,,,,
k,148.482,148.542,,,,
g,149.252,149.322,,,,
g,152.556,152.646,,,,
g,159.258,159.298,,,,
g,160.048,160.098,,,,
g,160.188,160.228,,,,
k,160.998,161.068,,,,
k,161.208,161.248,,,,
k,169.218,169.268,,,,
g,170.808,170.848,,,,
g,171.398,171.428,,,,
k,173.463,173.503,,,,
g,182.25,182.29,,,,
g,186.684,186.744,,,,
k,187.704,187.774,,,,
g,190.963,191.013,,,,
k,191.413,191.473,,,,
g,192.033,192.073,,,,
k,194.324,194.354,,,,
g,206.676,206.736,,,,
g,208.856,208.886,,,,
k,209.438,209.478,,,,
k,214.952,214.982,,,,
g,216.212,216.252,,,,
k,218.032,218.072,,,,
k,219.252,219.282,,,,
g,219.422,219.452,,,,
g,223.274,223.314,,,,
g,224.964,224.994,,,,
k,234.779,234.849,,,,
k,235.129,235.189,,,,
g,236.969,237.029,,,,
g,237.539,237.569,,,,
g,248.404,248.484,,,,
g,248.774,248.814,,,,
g,249.624,249.664,,,,
g,250.224,250.274,,,,
g,253.803,253.863,,,,
k,266.024,266.074,,,,
g,266.724,266.814,,,,
g,270.598,270.748,,,,
k,278.118,278.208,,,,
k,278.308,278.398,,,,
k,280.618,280.678,,,,
g,281.448,281.488,,,,
k,290.674,290.734,,,,
gw,290.864,290.984,,,,
k,304.154,304.204,,,,
k,304.334,304.404,,,,
k,304.574,304.604,,,,
g,306.644,306.724,,,,
k,306.884,306.954,,,,
g,318.352,318.462,,,,
k,322.525,322.635,,,,
k,322.725,322.835,,,,
g,323.705,323.735,,,,
g,331.752,331.792,,,,
g,333.812,333.972,,,,
g,336.849,336.919,,,,
g,346.314,346.414,,,,
k,346.744,346.774,,,,
g,347.394,347.454,,,,
g,349.454,349.524,,,,
g,350.41,350.5,,,,
g,351.64,351.69,,,,
g,382.532,382.572,,,,
g,384.638,384.738,,,,
g,387.698,387.778,,,,
g,400.528,400.578,,,,
g,407.17,407.24,,,,
g,409.85,409.94,,,,
g,411.02,411.1,,,,
g,411.46,411.49,,,,
