phone,minTime,maxTime,k total,kw total,g total,gw total
g,31.832,31.892,,,,
g,83.49,83.58,,,,
g,84.83,84.95,,,,
g,88.202,88.302,,,,
g,95.244,95.314,,,,
g,96.034,96.114,,,,
g,102.214,102.274,,,,
g,107.492,107.532,,,,
g,121.424,121.504,,,,
g,135.39,135.43,,,,
g,136.34,136.4,,,,
g,144.214,144.284,,,,
g,145.534,145.614,,,,
k,147.392,147.432,,,,
k,167.778,167.808,,,,
k,169.028,169.088,,,,
g,175.803,175.873,,,,
g,193.794,193.824,,,,
g,197.312,197.392,,,,
g,204.556,204.696,,,,
g,215.232,215.272,,,,
g,222.044,222.104,,,,
g,228.798,228.828,,,,
g,230.638,230.748,,,,
g,248.144,248.204,,,,
g,249.244,249.324,,,,
k,278.578,278.608,,,,
g,280.068,280.118,,,,
g,292.334,292.364,,,,
g,305.344,305.374,,,,
gw,312.632,312.692,,,,
g,320.242,320.322,,,,
g,336.559,336.609,,,,
g,337.199,337.259,,,,
gw,349.164,349.254,,,,
g,356.132,356.202,,,,
g,365.38,365.44,,,,
g,366.83,366.91,,,,
k,375.604,375.664,,,,
g,379.962,380.032,,,,
k,381.682,381.742,,,,
g,387.128,387.198,,,,
g,391.635,391.675,,,,
g,415.625,415.675,,,,
g,418.465,418.495,,,,
g,435.548,435.658,,,,
g,440.645,440.695,,,,
g,448.848,448.878,,,,
k,464.266,464.376,,,,
g,470.899,470.949,,,,
g,487.036,487.126,,,,
g,505.746,505.796,,,,
g,507.446,507.496,,,,
k,519.056,519.086,,,,
g,522.557,522.617,,,,
k,527.7,527.76,,,,
g,547.478,547.538,,,,
k,552.367,552.417,,,,
k,566.959,567.029,,,,
k,580.424,580.654,,,,
g,581.424,581.484,,,,
k,599.054,599.114,,,,
g,607.358,607.418,,,,
k,620.94,621.01,,,,
g,642.619,642.679,,,,
k,651.872,651.912,,,,
g,660.709,660.749,,,,
k,665.525,665.595,,,,
k,674.568,674.618,,,,
g,681.232,681.292,,,,
g,693.172,693.262,,,,
g,695.129,695.199,,,,
k,697.009,697.109,,,,
k,697.439,697.499,,,,
k,704.695,704.745,,,,
k,705.355,705.475,,,,
k,705.905,706.035,,,,
g,706.815,706.895,,,,
g,708.839,708.969,,,,
g,710.319,710.409,,,,
g,713.459,713.539,,,,
g,749.437,749.467,,,,
g,754.922,754.972,,,,
g,775.17,775.33,,,,
gw,778.569,778.649,,,,
g,791.906,791.966,,,,
g,792.839,792.889,,,,
g,796.652,796.712,,,,
g,798.832,798.902,,,,
g,806.634,806.704,,,,
g,819.627,819.697,,,,
g,826.484,826.554,,,,
k,830.783,830.853,,,,
g,831.133,831.173,,,,
g,832.723,832.793,,,,
g,837.621,837.691,,,,
k,846.851,846.901,,,,
k,848.501,848.551,,,,
k,850.431,850.501,,,,
g,862.647,862.677,,,,
g,864.733,864.783,,,,
k,865.093,865.203,,,,
k,865.513,865.563,,,,
g,868.393,868.423,,,,
g,896.263,896.333,,,,
k,897.453,897.523,,,,
k,907.228,907.268,,,,
g,914.208,914.248,,,,
g,917.181,917.271,,,,
g,918.691,918.741,,,,
g,931.054,931.094,,,,
g,934.434,934.504,,,,
k,963.472,963.592,,,,
gw,965.754,965.834,,,,
g,966.504,966.554,,,,
g,970.259,970.419,,,,
g,971.038,971.098,,,,
g,973.408,973.488,,,,
g,979.534,979.574,,,,
g,997.244,997.314,,,,
g,1006.437,1006.467,,,,
g,1024.388,1024.438,,,,
g,1026.048,1026.088,,,,
g,1027.441,1027.511,,,,
g,1030.356,1030.436,,,,
g,1032.446,1032.506,,,,
g,1033.866,1033.946,,,,
g,1037.778,1037.818,,,,
g,1045.103,1045.143,,,,
g,1045.273,1045.313,,,,
g,1052.115,1052.185,,,,
g,1052.435,1052.515,,,,
g,1057.217,1057.277,,,,
g,1079.81,1079.85,,,,
gw,1088.116,1088.196,,,,
g,1093.536,1093.596,,,,
k,1114.179,1114.229,,,,
g,1126.168,1126.208,,,,
g,1127.828,1127.888,,,,
g,1132.962,1133.022,,,,
g,1136.819,1136.889,,,,
k,1138.499,1138.579,,,,
g,1140.177,1140.237,,,,
g,1141.317,1141.377,,,,
