phone,minTime,maxTime
k,162.62,162.65
k,198.064,198.124
k,239.243,239.303
k,242.711,242.761
k,362.004,362.104
k,394.61,394.7
k,396.0,396.04
k,429.838,429.928
k,551.041,551.111
k,562.376,562.426
k,643.637,643.667
k,685.325,685.665
k,727.788,727.818
k,730.995,731.025
k,737.577,737.637
k,882.957,883.147
k,888.16,888.21
k,904.814,904.844
k,919.004,919.034
k,924.619,924.649
k,927.529,927.559
k,946.578,946.608
k,962.797,962.957
k,983.391,983.491
k,1028.43,1028.49
k,1091.873,1091.903
k,1120.374,1120.454
k,1231.043,1231.113
