phone,minTime,maxTime,k total,kw total,g total,gw total
g,25.093,25.183,,,,
g,26.644,26.704,,,,
g,45.209,45.269,,,,
g,84.007,84.087,,,,
k,86.667,86.697,,,,
g,86.817,86.847,,,,
g,90.814,90.854,,,,
g,91.844,91.884,,,,
g,99.537,99.627,,,,
k,108.198,108.228,,,,
g,110.615,110.665,,,,
g,115.895,115.985,,,,
g,122.821,122.881,,,,
g,123.141,123.211,,,,
g,129.451,129.601,,,,
g,131.111,131.181,,,,
g,135.499,135.589,,,,
g,139.957,140.037,,,,
k,156.841,156.921,,,,
g,171.257,171.377,,,,
k,173.047,173.087,,,,
g,198.243,198.293,,,,
k,226.705,226.755,,,,
k,233.956,233.986,,,,
k,240.781,240.811,,,,
g,246.482,246.512,,,,
g,249.103,249.143,,,,
g,262.299,262.329,,,,
k,266.357,266.397,,,,
g,266.527,266.577,,,,
gw,290.629,290.739,,,,
k,293.751,293.791,,,,
g,297.897,297.937,,,,
g,298.437,298.507,,,,
g,322.669,322.709,,,,
g,368.692,368.752,,,,
g,377.632,377.712,,,,
g,377.922,377.952,,,,
k,388.477,388.517,,,,
g,392.667,392.767,,,,
g,394.907,394.947,,,,
g,419.857,419.897,,,,
g,422.822,422.912,,,,
g,433.787,433.847,,,,
g,434.197,434.237,,,,
g,437.097,437.167,,,,
g,437.297,437.377,,,,
g,437.877,437.917,,,,
g,440.434,440.494,,,,
k,446.662,446.692,,,,
g,447.992,448.042,,,,
g,448.412,448.452,,,,
g,449.382,449.422,,,,
g,451.912,451.962,,,,
g,453.572,453.662,,,,
g,458.508,458.558,,,,
g,458.928,459.078,,,,
g,462.899,462.929,,,,
g,483.673,483.743,,,,
k,491.028,491.078,,,,
gw,495.953,496.033,,,,
gw,496.313,496.403,,,,
gw,500.067,500.197,,,,
gw,500.407,500.487,,,,
k,502.527,502.587,,,,
g,502.807,502.837,,,,
g,507.304,507.384,,,,
g,507.534,507.634,,,,
g,508.584,508.714,,,,
g,509.004,509.074,,,,
gw,532.639,532.749,,,,
g,543.437,543.467,,,,
g,546.679,546.749,,,,
g,572.257,572.357,,,,
g,572.857,572.907,,,,
g,577.822,577.992,,,,
g,580.462,580.542,,,,
g,585.061,585.221,,,,
g,591.448,591.478,,,,
g,608.613,608.703,,,,
k,610.113,610.183,,,,
