phone,minTime,maxTime,k total,kw total,g total,gw total
g,22.904,22.964,,,,
k,77.408,77.478,,,,
g,83.147,83.217,,,,
k,83.317,83.367,,,,
g,90.524,90.574,,,,
k,102.687,102.727,,,,
k,110.355,110.395,,,,
k,117.25,117.34,,,,
k,124.501,124.541,,,,
g,127.251,127.311,,,,
g,133.779,133.849,,,,
g,138.247,138.307,,,,
g,140.867,140.957,,,,
g,150.483,150.553,,,,
g,160.37,160.42,,,,
g,161.68,161.72,,,,
g,164.34,164.44,,,,
g,181.885,181.955,,,,
g,183.025,183.095,,,,
g,183.927,183.977,,,,
k,193.941,194.031,,,,
k,209.233,209.293,,,,
k,224.093,224.153,,,,
k,225.073,225.163,,,,
k,228.255,228.295,,,,
k,247.953,248.023,,,,
k,272.907,272.987,,,,
gw,288.679,288.729,,,,
k,289.539,289.589,,,,
g,294.301,294.351,,,,
k,294.671,294.701,,,,
g,295.851,295.961,,,,
gw,299.097,299.177,,,,
k,314.005,314.075,,,,
g,327.218,327.278,,,,
g,372.639,372.729,,,,
g,378.552,378.652,,,,
k,387.587,387.657,,,,
g,393.547,393.607,,,,
g,395.457,395.577,,,,
gw,426.672,426.752,,,,
g,431.137,431.207,,,,
g,443.534,443.564,,,,
g,455.278,455.398,,,,
g,462.699,462.759,,,,
g,463.309,463.359,,,,
k,475.278,475.348,,,,
k,475.828,475.908,,,,
g,493.079,493.119,,,,
g,493.993,494.043,,,,
g,505.444,505.574,,,,
g,509.614,509.734,,,,
k,510.434,510.524,,,,
g,511.924,511.954,,,,
gw,530.489,530.549,,,,
g,534.199,534.279,,,,
gw,534.969,535.009,,,,
g,540.962,541.032,,,,
k,542.917,542.947,,,,
k,564.671,564.731,,,,
g,567.877,567.947,,,,
k,571.717,571.767,,,,
g,576.102,576.182,,,,
g,579.012,579.052,,,,
g,580.142,580.252,,,,
g,585.941,586.001,,,,
k,586.321,586.441,,,,
g,588.068,588.258,,,,
k,611.076,611.136,,,,
k,616.553,616.613,,,,
g,623.733,623.773,,,,
g,624.929,624.989,,,,
g,630.979,631.019,,,,
g,631.699,631.779,,,,
g,632.549,632.649,,,,
g,634.329,634.389,,,,
k,671.465,671.595,,,,
g,681.257,681.367,,,,
g,684.755,684.815,,,,
g,688.325,688.385,,,,
g,713.179,713.289,,,,
g,764.199,764.269,,,,
g,766.285,766.335,,,,
k,775.286,775.336,,,,
g,787.936,787.966,,,,
g,791.576,791.626,,,,
g,792.497,792.587,,,,
g,797.461,797.531,,,,
g,797.911,798.011,,,,
g,800.211,800.291,,,,
g,802.511,802.671,,,,
g,803.291,803.391,,,,
g,805.051,805.121,,,,
g,807.291,807.321,,,,
g,821.669,821.719,,,,
g,825.092,825.142,,,,
g,825.532,825.582,,,,
g,831.144,831.194,,,,
g,836.849,836.899,,,,
gw,856.172,856.252,,,,
k,862.569,862.619,,,,
g,863.949,864.019,,,,
g,890.398,890.478,,,,
g,895.514,895.554,,,,
g,896.144,896.734,,,,
g,897.949,898.009,,,,
g,904.831,904.891,,,,
g,939.423,939.493,,,,
g,962.984,963.024,,,,
g,963.444,963.554,,,,
g,976.188,976.228,,,,
g,989.853,989.893,,,,
g,1001.74,1001.8,,,,
g,1003.78,1003.83,,,,
g,1006.47,1006.55,,,,
g,1008.978,1009.018,,,,
g,1010.158,1010.238,,,,
k,1013.556,1013.666,,,,
k,1014.706,1014.776,,,,
k,1015.686,1015.756,,,,
g,1018.031,1018.091,,,,
g,1026.894,1026.964,,,,
k,1038.198,1038.258,,,,
k,1040.842,1040.912,,,,
k,1041.242,1041.292,,,,
g,1041.952,1042.022,,,,
g,1043.162,1043.252,,,,
g,1048.125,1048.185,,,,
g,1074.752,1074.782,,,,
g,1076.554,1076.734,,,,
g,1080.502,1080.582,,,,
g,1094.359,1094.459,,,,
g,1099.421,1099.481,,,,
g,1100.081,1100.141,,,,
g,1101.609,1101.689,,,,
gw,1102.829,1102.909,,,,
k,1110.439,1110.499,,,,
g,1110.659,1110.869,,,,
g,1111.709,1111.809,,,,
g,1127.945,1128.035,,,,
g,1133.164,1133.214,,,,
g,1135.104,1135.204,,,,
g,1138.342,1138.422,,,,
k,1141.422,1141.532,,,,
g,1155.093,1155.123,,,,
k,1159.661,1159.711,,,,
g,1162.501,1162.561,,,,
k,1168.295,1168.335,,,,
k,1168.745,1168.775,,,,
g,1171.645,1171.705,,,,
g,1175.191,1175.221,,,,
k,1176.811,1176.861,,,,
g,1179.551,1179.581,,,,
gw,1232.515,1232.565,,,,
g,1256.593,1256.643,,,,
g,1277.863,1277.923,,,,
g,1288.966,1288.996,,,,
g,1321.569,1321.629,,,,
g,1330.604,1330.674,,,,
g,1341.903,1341.963,,,,
g,1360.341,1360.411,,,,
g,1363.244,1363.294,,,,
g,1364.694,1364.754,,,,
g,1365.534,1365.564,,,,
g,1370.283,1370.393,,,,
g,1373.553,1373.703,,,,
g,1373.993,1374.053,,,,
g,1375.723,1375.833,,,,
g,1375.983,1376.023,,,,
g,1421.499,1421.589,,,,
g,1423.309,1423.379,,,,
g,1425.519,1425.559,,,,
k,1466.955,1467.035,,,,
k,1477.508,1477.588,,,,
g,1488.435,1488.465,,,,
k,1489.395,1489.475,,,,
g,1495.433,1495.573,,,,
g,1497.213,1497.303,,,,
g,1503.574,1503.654,,,,
g,1505.474,1505.554,,,,
g,1523.265,1523.335,,,,
,,,44,0,129,8
