phone,minTime,maxTime,k total,kw total,g total,gw total
K,18.968,18.998,,,,
K,23.433,23.553,,,,
G,25.363,25.453,,,,
K,63.109,63.229,,,,
K,73.913,74.063,,,,
K,76.358,76.468,,,,
K,79.593,79.743,,,,
K,101.484,101.584,,,,
K,104.365,104.465,,,,
G,110.795,110.845,,,,
G,122.404,122.504,,,,
G,135.412,135.512,,,,
G,139.398,139.498,,,,
G,140.258,140.318,,,,
G,148.115,148.215,,,,
G,152.761,152.861,,,,
G,158.926,159.036,,,,
K,163.374,163.514,,,,
G,166.967,167.057,,,,
G,182.294,182.394,,,,
G,185.039,185.129,,,,
G,216.011,216.091,,,,
K,216.951,216.981,,,,
K,220.564,220.594,,,,
K,223.478,223.588,,,,
K,228.498,228.598,,,,
G,233.951,233.991,,,,
K,244.102,244.212,,,,
K,244.582,244.632,,,,
K,248.094,248.134,,,,
K,250.234,250.274,,,,
K,251.554,251.644,,,,
K,258.359,258.419,,,,
K,258.639,258.699,,,,
K,259.039,259.139,,,,
K,262.279,262.309,,,,
K,263.529,263.649,,,,
G,280.071,280.161,,,,
K,300.967,301.067,,,,
K,303.237,303.397,,,,
K,303.827,303.987,,,,
G,306.569,306.649,,,,
K,308.569,308.659,,,,
K,310.103,310.213,,,,
G,310.933,311.043,,,,
K,311.933,312.003,,,,
K,316.913,317.023,,,,
K,319.153,319.183,,,,
G,341.351,341.431,,,,
K,342.761,342.791,,,,
K,342.991,343.051,,,,
K,349.724,349.754,,,,
G,368.268,368.348,,,,
G,375.91,375.94,,,,
G,387.875,387.985,,,,
K,408.946,409.066,,,,
K,413.485,413.545,,,,
G,433.12,433.17,,,,
K,437.01,437.13,,,,
K,438.2,438.24,,,,
K,440.55,440.58,,,,
G,442.007,442.047,,,,
K,442.927,443.087,,,,
K,444.017,444.137,,,,
K,450.563,450.593,,,,
G,456.842,456.932,,,,
G,485.937,486.027,,,,
G,528.609,528.719,,,,
G,529.259,529.299,,,,
K,534.625,534.685,,,,
G,539.967,540.037,,,,
K,542.437,542.577,,,,
G,545.346,545.416,,,,
K,551.496,551.636,,,,
G,575.461,575.551,,,,
K,580.371,580.481,,,,
K,591.22,591.33,,,,
K,595.462,595.512,,,,
G,606.882,606.952,,,,
K,608.362,608.482,,,,
K,610.182,610.212,,,,
K,622.646,622.676,,,,
G,657.875,657.925,,,,
K,660.966,661.006,,,,
K,664.346,664.376,,,,
K,673.147,673.247,,,,
G,682.878,682.988,,,,
G,683.918,683.958,,,,
G,698.693,698.803,,,,
G,701.796,701.896,,,,
K,702.716,702.766,,,,
G,717.83,717.87,,,,
G,724.14,724.18,,,,
K,736.723,736.753,,,,
G,746.605,746.655,,,,
G,768.663,768.743,,,,
K,784.557,784.687,,,,
K,788.947,789.057,,,,
K,789.717,789.837,,,,
K,798.359,798.439,,,,
K,804.554,804.734,,,,
K,805.774,805.884,,,,
K,853.037,853.067,,,,
K,861.691,861.831,,,,
K,867.049,867.159,,,,
K,873.923,874.053,,,,
K,909.347,909.517,,,,
G,923.701,923.781,,,,
G,944.002,944.092,,,,
K,944.512,944.642,,,,
K,970.193,970.383,,,,
K,982.226,982.336,,,,
K,991.179,991.229,,,,
K,992.679,992.759,,,,
K,995.181,995.221,,,,
K,1020.008,1020.108,,,,
K,1022.218,1022.378,,,,
K,1023.995,1024.025,,,,
K,1027.125,1027.235,,,,
K,1058.32,1058.39,,,,
K,1067.781,1067.811,,,,
K,1081.471,1081.541,,,,
K,1102.663,1102.803,,,,
K,1108.573,1108.663,,,,
K,1145.311,1145.381,,,,
K,1156.927,1157.067,,,,
G,1157.367,1157.447,,,,
G,1159.185,1159.245,,,,
G,1173.536,1173.656,,,,
K,1186.221,1186.381,,,,
K,1187.221,1187.301,,,,
G,1191.252,1191.332,,,,
K,1197.851,1197.951,,,,
K,1198.721,1198.751,,,,
G,1202.609,1202.689,,,,
K,1203.629,1203.729,,,,
K,1206.429,1206.539,,,,
K,1240.933,1241.023,,,,
K,1247.171,1247.311,,,,
K,1254.471,1254.571,,,,
K,1274.503,1274.563,,,,
G,1275.153,1275.243,,,,
K,1296.652,1296.682,,,,
G,1310.441,1310.541,,,,
K,1311.721,1311.791,,,,
K,1313.221,1313.251,,,,
K,1313.931,1314.031,,,,
G,1318.461,1318.541,,,,
G,1321.251,1321.341,,,,
G,1337.917,1337.957,,,,
K,1340.947,1341.047,,,,
K,1342.787,1342.877,,,,
G,1343.067,1343.167,,,,
K,1343.487,1343.577,,,,
K,1372.43,1372.47,,,,
K,1380.289,1380.379,,,,
K,1382.044,1382.114,,,,
G,1402.401,1402.441,,,,
K,1416.405,1416.435,,,,
K,1417.175,1417.265,,,,
K,1432.124,1432.284,,,,
G,1440.521,1440.551,,,,
G,1450.356,1450.476,,,,
G,1459.226,1459.326,,,,
G,1460.556,1460.636,,,,
K,1465.055,1465.155,,,,
K,1473.511,1473.621,,,,
G,1516.27,1516.39,,,,
G,1517.862,1517.922,,,,
,,,109,0,60,0
