speaker,language,clip,phone,vot_ms
VM22A,C,0,g,17.0
VM22A,C,1,g,4.99999999999999
VM22A,C,10,g,4.999999999999999
VM22A,C,100,g,45.0
VM22A,C,101,g,76.0
VM22A,C,102,g,71.99999999999999
VM22A,C,103,g,47.00000000000001
VM22A,C,104,g,5.000000000000004
VM22A,C,105,g,5.000000000000004
VM22A,C,106,g,36.00000000000001
VM22A,C,107,g,33.999999999999986
VM22A,C,108,g,50.0
VM22A,C,109,g,11.999999999999996
VM22A,C,11,g,47.0
VM22A,C,110,g,33.99999999999999
VM22A,C,111,g,20.000000000000004
VM22A,C,112,g,5.000000000000004
VM22A,C,113,g,5.000000000000004
VM22A,C,114,g,5.000000000000004
VM22A,C,115,g,4.999999999999997
VM22A,C,116,g,154.0
VM22A,C,117,g,5.000000000000004
VM22A,C,118,g,4.99999999999999
VM22A,C,119,g,25.999999999999996
VM22A,C,12,g,43.0
VM22A,C,120,g,23.999999999999993
VM22A,C,121,g,31.0
VM22A,C,122,g,22.000000000000007
VM22A,C,123,g,18.000000000000004
VM22A,C,124,g,36.00000000000001
VM22A,C,125,g,5.000000000000004
VM22A,C,126,g,37.00000000000001
VM22A,C,127,g,48.0
VM22A,C,128,g,36.99999999999999
VM22A,C,129,g,111.00000000000001
VM22A,C,13,g,69.99999999999999
VM22A,C,130,k,45.0
VM22A,C,131,g,63.0
VM22A,C,132,g,30.0
VM22A,C,133,g,96.00000000000001
VM22A,C,134,k,5.0
VM22A,C,135,g,5.000000000000004
VM22A,C,136,g,32.0
VM22A,C,137,g,19.99999999999999
VM22A,C,138,gw,26.999999999999996
VM22A,C,139,gw,34.0
VM22A,C,14,g,62.999999999999986
VM22A,C,140,g,20.99999999999999
VM22A,C,141,gw,37.00000000000001
VM22A,C,142,g,32.0
VM22A,C,143,g,35.0
VM22A,C,144,g,38.99999999999999
VM22A,C,145,g,81.00000000000001
VM22A,C,146,g,4.99999999999999
VM22A,C,147,g,33.0
VM22A,C,15,g,28.00000000000001
VM22A,C,16,g,5.000000000000004
VM22A,C,17,g,4.99999999999999
VM22A,C,18,g,5.000000000000004
VM22A,C,19,g,41.99999999999999
VM22A,C,2,g,28.999999999999996
VM22A,C,20,g,30.0
VM22A,C,21,g,35.0
VM22A,C,22,g,32.99999999999999
VM22A,C,23,k,5.000000000000004
VM22A,C,24,g,4.99999999999999
VM22A,C,25,g,5.000000000000004
VM22A,C,26,g,5.000000000000004
VM22A,C,27,g,5.000000000000004
VM22A,C,28,g,42.00000000000001
VM22A,C,29,g,5.000000000000004
VM22A,C,3,k,13.999999999999998
VM22A,C,30,g,44.0
VM22A,C,31,g,5.000000000000004
VM22A,C,32,g,41.99999999999999
VM22A,C,33,g,5.000000000000004
VM22A,C,34,k,33.0
VM22A,C,35,g,31.0
VM22A,C,36,g,25.999999999999996
VM22A,C,37,g,5.000000000000004
VM22A,C,38,g,4.99999999999999
VM22A,C,39,g,11.999999999999996
VM22A,C,4,g,19.000000000000004
VM22A,C,40,g,25.000000000000007
VM22A,C,41,g,5.000000000000004
VM22A,C,42,g,47.0
VM22A,C,43,g,27.999999999999996
VM22A,C,44,g,22.999999999999993
VM22A,C,45,g,31.0
VM22A,C,46,g,4.99999999999999
VM22A,C,47,g,5.000000000000004
VM22A,C,48,g,4.99999999999999
VM22A,C,49,g,23.000000000000007
VM22A,C,5,g,30.0
VM22A,C,50,g,23.999999999999993
VM22A,C,51,g,161.0
VM22A,C,52,g,23.999999999999993
VM22A,C,53,g,21.000000000000004
VM22A,C,54,g,5.000000000000004
VM22A,C,55,g,5.000000000000004
VM22A,C,56,k,28.999999999999996
VM22A,C,57,g,5.000000000000004
VM22A,C,58,g,32.999999999999986
VM22A,C,59,g,4.99999999999999
VM22A,C,6,g,7.999999999999993
VM22A,C,60,g,22.000000000000007
VM22A,C,61,g,20.999999999999996
VM22A,C,62,g,32.0
VM22A,C,63,g,86.0
VM22A,C,64,g,5.000000000000001
VM22A,C,65,g,5.000000000000004
VM22A,C,66,k,49.0
VM22A,C,67,g,67.99999999999999
VM22A,C,68,g,21.000000000000004
VM22A,C,69,gw,4.99999999999999
VM22A,C,7,k,52.00000000000001
VM22A,C,70,g,4.99999999999999
VM22A,C,71,k,4.99999999999999
VM22A,C,72,g,30.0
VM22A,C,73,g,25.999999999999996
VM22A,C,74,k,5.000000000000004
VM22A,C,75,g,24.999999999999993
VM22A,C,76,g,15.999999999999993
VM22A,C,77,g,69.99999999999999
VM22A,C,78,g,5.000000000000004
VM22A,C,79,g,81.0
VM22A,C,8,g,50.0
VM22A,C,80,g,131.0
VM22A,C,81,g,26.999999999999996
VM22A,C,82,g,69.99999999999999
VM22A,C,83,gw,34.0
VM22A,C,84,g,66.99999999999999
VM22A,C,85,g,80.0
VM22A,C,86,g,32.0
VM22A,C,87,g,33.0
VM22A,C,88,g,19.000000000000004
VM22A,C,89,g,5.000000000000004
VM22A,C,9,k,4.99999999999999
VM22A,C,90,g,5.000000000000004
VM22A,C,91,k,66.00000000000001
VM22A,C,92,g,33.0
VM22A,C,93,g,39.99999999999999
VM22A,C,94,g,5.000000000000004
VM22A,C,95,g,112.99999999999999
VM22A,C,96,g,35.0
VM22A,C,97,g,5.000000000000004
VM22A,C,98,g,31.0
VM22A,C,99,g,66.0
