speaker,language,clip,phone,vot_ms
VM22B,C,0,g,25.999999999999996
VM22B,C,1,g,10.999999999999996
VM22B,C,10,k,105.00000000000001
VM22B,C,100,g,22.000000000000007
VM22B,C,101,g,42.0
VM22B,C,102,g,43.0
VM22B,C,103,g,9.000000000000007
VM22B,C,104,g,20.99999999999999
VM22B,C,105,g,24.000000000000007
VM22B,C,106,g,6.999999999999999
VM22B,C,107,g,27.00000000000001
VM22B,C,108,g,5.000000000000004
VM22B,C,109,g,23.000000000000007
VM22B,C,11,k,4.999999999999977
VM22B,C,110,g,37.00000000000001
VM22B,C,111,g,19.0
VM22B,C,112,g,16.999999999999993
VM22B,C,113,g,36.00000000000001
VM22B,C,114,g,20.000000000000004
VM22B,C,115,g,20.000000000000004
VM22B,C,116,gw,4.999999999999997
VM22B,C,117,g,15.0
VM22B,C,118,g,95.0
VM22B,C,119,g,23.000000000000007
VM22B,C,12,g,24.999999999999993
VM22B,C,120,k,12.00000000000001
VM22B,C,121,k,5.000000000000004
VM22B,C,122,k,46.99999999999999
VM22B,C,123,g,11.000000000000002
VM22B,C,124,g,20.000000000000004
VM22B,C,125,g,24.000000000000007
VM22B,C,126,g,22.999999999999993
VM22B,C,127,g,25.999999999999982
VM22B,C,128,g,63.0
VM22B,C,129,g,26.999999999999996
VM22B,C,13,k,5.000000000000004
VM22B,C,130,g,36.00000000000001
VM22B,C,131,g,26.999999999999996
VM22B,C,132,g,12.999999999999998
VM22B,C,133,g,28.000000000000025
VM22B,C,134,g,25.999999999999996
VM22B,C,135,k,69.0
VM22B,C,136,g,12.000000000000004
VM22B,C,137,g,17.99999999999999
VM22B,C,138,k,42.00000000000001
VM22B,C,139,k,58.00000000000001
VM22B,C,14,g,17.0
VM22B,C,140,g,13.000000000000005
VM22B,C,141,g,24.000000000000007
VM22B,C,142,g,30.0
VM22B,C,143,k,41.00000000000001
VM22B,C,144,k,4.999999999999999
VM22B,C,145,g,35.0
VM22B,C,146,g,82.99999999999999
VM22B,C,147,g,33.0
VM22B,C,148,g,25.000000000000007
VM22B,C,149,g,27.999999999999996
VM22B,C,15,k,5.000000000000004
VM22B,C,150,g,25.000000000000007
VM22B,C,151,g,15.0
VM22B,C,152,g,25.0
VM22B,C,153,g,25.999999999999996
VM22B,C,154,g,68.99999999999999
VM22B,C,155,g,67.0
VM22B,C,156,g,22.000000000000007
VM22B,C,157,g,5.000000000000004
VM22B,C,158,k,4.99999999999999
VM22B,C,159,g,27.999999999999996
VM22B,C,16,k,51.00000000000001
VM22B,C,160,g,109.99999999999999
VM22B,C,161,g,16.000000000000007
VM22B,C,162,k,45.0
VM22B,C,163,g,27.999999999999996
VM22B,C,164,g,48.0
VM22B,C,165,g,25.999999999999996
VM22B,C,166,g,27.999999999999996
VM22B,C,167,g,20.000000000000004
VM22B,C,168,g,25.999999999999996
VM22B,C,169,g,28.00000000000001
VM22B,C,17,k,93.0
VM22B,C,170,g,57.00000000000001
VM22B,C,171,g,45.0
VM22B,C,172,g,90.0
VM22B,C,173,g,36.00000000000001
