phone,minTime,maxTime,k total,kw total,g total,gw total
g,30.873,30.993,,,,
g,33.851,33.931,,,,
g,180.249,180.329,,,,
g,184.465,184.685,,,,
g,189.819,189.949,,,,
k,197.398,197.488,,,,
g,198.318,198.398,,,,
k,200.0,200.06,,,,
k,202.091,202.141,,,,
k,213.073,213.223,,,,
g,226.693,226.733,,,,
g,238.599,238.679,,,,
g,253.279,253.329,,,,
g,277.235,277.285,,,,
g,289.511,289.941,,,,
k,316.274,316.384,,,,
g,319.313,319.423,,,,
g,319.563,319.633,,,,
g,319.703,319.793,,,,
g,319.893,320.033,,,,
k,363.823,363.893,,,,
k,374.395,374.495,,,,
k,391.525,391.605,,,,
g,395.514,395.584,,,,
g,397.397,397.487,,,,
g,399.563,399.643,,,,
g,411.047,411.107,,,,
g,414.036,414.096,,,,
g,430.163,430.243,,,,
k,431.873,431.963,,,,
g,438.345,438.515,,,,
g,472.079,472.159,,,,
g,472.819,472.909,,,,
g,505.534,505.624,,,,
g,550.31,550.36,,,,
g,552.67,552.74,,,,
k,632.711,632.771,,,,
g,649.131,649.271,,,,
g,676.903,676.963,,,,
g,681.663,681.773,,,,
k,717.271,717.311,,,,
g,720.382,720.462,,,,
g,721.542,721.622,,,,
g,727.315,727.445,,,,
g,728.405,728.465,,,,
g,728.515,728.625,,,,
g,766.43,766.51,,,,
g,769.811,769.861,,,,
g,770.261,770.331,,,,
g,771.971,772.071,,,,
g,782.356,782.476,,,,
g,782.786,782.896,,,,
g,799.583,799.663,,,,
g,799.983,800.133,,,,
g,832.862,832.952,,,,
g,835.582,835.652,,,,
g,857.652,857.742,,,,
g,873.044,873.114,,,,
g,873.354,873.434,,,,
g,897.975,898.065,,,,
g,901.785,901.895,,,,
g,924.075,924.185,,,,
g,929.543,929.663,,,,
g,932.223,932.303,,,,
g,935.957,936.007,,,,
g,947.235,947.335,,,,
k,948.025,948.085,,,,
g,953.084,953.114,,,,
k,954.5,954.55,,,,
k,956.269,956.339,,,,
g,964.824,964.874,,,,
g,974.137,974.207,,,,
g,975.553,975.623,,,,
k,976.183,976.253,,,,
k,979.231,979.301,,,,
g,979.461,979.551,,,,
k,1009.965,1010.055,,,,
g,1017.588,1017.648,,,,
g,1018.388,1018.458,,,,
g,1053.233,1053.283,,,,
k,1055.363,1055.433,,,,
k,1060.136,1060.206,,,,
k,1075.081,1075.131,,,,
g,1076.361,1076.431,,,,
k,1083.184,1083.244,,,,
k,1086.912,1086.972,,,,
g,1087.812,1087.872,,,,
g,1087.962,1088.102,,,,
k,1089.47,1089.56,,,,
g,1090.26,1090.32,,,,
k,1090.92,1090.99,,,,
g,1093.541,1093.601,,,,
k,1094.401,1094.441,,,,
g,1095.411,1095.481,,,,
g,1125.137,1125.237,,,,
g,1150.27,1150.33,,,,
gw,1168.321,1168.401,,,,
g,1178.094,1178.144,,,,
gw,1219.568,1219.688,,,,
gw,1223.124,1223.154,,,,
gw,1223.374,1223.404,,,,
g,1224.214,1224.294,,,,
g,1226.644,1226.704,,,,
g,1230.855,1230.955,,,,
g,1237.536,1237.626,,,,
g,1238.356,1238.456,,,,
g,1239.276,1239.346,,,,
g,1252.366,1252.446,,,,
g,1252.526,1252.596,,,,
g,1259.41,1259.49,,,,
g,1259.58,1259.65,,,,
g,1263.64,1263.7,,,,
g,1266.877,1266.937,,,,
gw,1271.778,1271.878,,,,
g,1277.136,1277.206,,,,
g,1335.197,1335.257,,,,
g,1359.889,1359.969,,,,
g,1401.612,1401.662,,,,
k,1431.241,1431.301,,,,
k,1441.97,1442.01,,,,
g,1444.33,1444.38,,,,
g,1451.337,1451.387,,,,
g,1479.617,1479.717,,,,
g,1481.657,1481.727,,,,
g,1485.74,1485.8,,,,
gw,1530.184,1530.254,,,,
,,,27,0,93,6
