phone,minTime,maxTime
k,23.76,23.86
k,34.324,34.424
k,76.792,76.872
k,85.354,85.384
k,99.404,99.454
k,105.246,105.296
k,107.206,107.246
k,114.042,114.102
k,117.132,117.262
k,119.141,119.171
k,124.554,124.644
k,125.594,125.674
k,129.296,129.346
k,131.636,131.676
k,131.806,131.836
k,136.852,136.882
k,150.648,150.838
k,153.368,153.418
k,167.463,167.493
k,179.834,179.904
k,203.292,203.362
k,204.724,204.784
k,206.434,206.494
k,209.816,209.856
k,218.801,218.831
k,221.275,221.335
k,222.635,222.685
k,247.564,247.614
k,257.549,257.619
k,263.76,263.82
k,266.14,266.17
k,270.215,270.245
k,270.545,270.595
k,275.058,275.088
k,306.198,306.238
k,306.238,306.288
k,314.923,314.953
k,336.513,336.583
k,336.743,336.863
k,338.734,338.804
k,355.682,355.712
k,357.468,357.528
k,365.686,365.716
k,381.146,381.196
k,381.306,381.346
k,381.346,381.396
k,404.85,404.94
k,405.34,405.39
k,415.727,415.797
k,420.856,420.926
k,422.096,422.156
k,424.04,424.09
k,428.823,428.923
k,430.593,430.703
k,432.643,432.693
k,433.571,433.731
k,443.401,443.441
k,446.103,446.173
k,448.863,448.893
k,449.393,449.433
k,464.823,464.863
k,469.153,469.213
k,471.962,471.992
k,472.072,472.132
k,472.132,472.172
k,473.406,473.476
k,480.49,480.56
k,494.254,494.284
k,494.774,494.804
k,495.924,495.984
k,496.874,496.924
k,524.63,524.69
k,528.508,528.558
k,532.904,532.994
k,535.684,535.734
k,537.036,537.106
k,538.406,538.476
k,541.045,541.075
k,545.05,545.13
k,548.58,548.64
k,552.13,552.17
k,557.152,557.192
k,569.73,569.8
k,573.092,573.122
k,590.864,590.924
k,591.424,591.484
k,608.94,608.97
k,609.13,609.16
k,609.51,609.6
k,613.734,613.764
k,613.954,614.014
k,614.234,614.304
k,614.564,614.594
k,624.452,624.482
k,626.042,626.082
k,627.002,627.062
k,627.722,627.812
k,628.662,628.772
k,629.102,629.162
k,629.622,629.692
k,635.102,635.132
k,635.892,635.942
k,641.241,641.361
k,643.334,643.364
k,643.624,643.694
k,647.197,647.237
k,659.736,659.766
k,659.886,659.946
k,661.466,661.516
k,662.906,662.946
k,670.094,670.154
k,670.504,670.544
k,670.98,671.02
k,677.726,677.776
k,681.245,681.275
k,681.635,681.725
k,682.965,683.065
k,689.689,689.739
k,692.178,692.218
k,702.024,702.054
k,702.054,702.094
k,712.102,712.132
k,712.442,712.492
k,718.987,719.037
k,720.527,720.567
k,720.977,721.027
k,723.03,723.06
k,725.68,725.71
k,725.71,725.77
k,727.22,727.28
k,727.45,727.5
k,728.512,728.542
k,728.542,728.592
k,730.942,730.992
k,731.062,731.122
k,742.45,742.53
k,744.998,745.058
k,756.249,756.279
k,757.249,757.299
k,758.699,758.749
k,759.319,759.469
k,760.242,760.272
k,763.287,763.377
k,767.627,767.677
k,769.863,769.913
k,770.683,770.713
k,788.149,788.179
k,788.179,788.249
k,790.199,790.279
k,794.9,794.93
k,795.19,795.23
k,795.37,795.5
k,795.58,795.68
k,802.448,802.518
k,805.465,805.535
k,806.035,806.085
k,807.175,807.225
k,808.175,808.255
k,813.226,813.266
k,814.636,814.666
k,820.852,820.892
k,823.031,823.101
k,838.566,838.616
k,839.106,839.136
k,841.313,841.393
k,855.846,855.906
k,883.761,883.791
k,884.281,884.381
