phone,minTime,maxTime,k total,kw total,g total,gw total
K,31.41,31.61,,,,
K,80.434,80.604,,,,
K,92.74,92.91,,,,
K,94.776,94.996,,,,
K,98.398,98.598,,,,
G,129.688,129.958,,,,
G,192.748,192.848,,,,
G,193.778,193.898,,,,
G,213.142,213.232,,,,
G,219.466,219.566,,,,
K,239.972,240.132,,,,
K,280.474,280.634,,,,
K,291.452,291.562,,,,
K,319.918,319.978,,,,
K,323.038,323.188,,,,
G,329.415,329.515,,,,
K,350.678,350.878,,,,
K,368.532,368.562,,,,
K,375.882,376.042,,,,
K,401.352,401.492,,,,
K,427.094,427.154,,,,
K,433.266,433.416,,,,
K,433.996,434.026,,,,
K,456.835,456.895,,,,
G,476.5,476.72,,,,
K,480.03,480.11,,,,
K,504.736,504.816,,,,
K,505.836,505.936,,,,
K,506.136,506.246,,,,
G,515.21,515.29,,,,
K,557.346,557.446,,,,
K,559.416,559.516,,,,
K,578.335,578.365,,,,
G,585.172,585.252,,,,
K,585.662,585.752,,,,
G,590.172,590.232,,,,
K,608.524,608.664,,,,
K,613.054,613.084,,,,
K,621.977,622.037,,,,
G,624.427,624.527,,,,
K,632.803,632.843,,,,
K,635.463,635.543,,,,
K,643.473,643.573,,,,
K,644.503,644.533,,,,
K,646.803,646.883,,,,
K,648.953,649.003,,,,
K,668.328,668.588,,,,
K,673.163,673.303,,,,
K,674.963,675.003,,,,
K,676.973,677.033,,,,
K,678.87,678.94,,,,
K,697.148,697.178,,,,
K,701.119,701.219,,,,
K,703.229,703.299,,,,
K,711.153,711.193,,,,
K,739.33,739.48,,,,
K,772.091,772.261,,,,
K,780.898,781.158,,,,
G,791.22,791.29,,,,
K,826.349,826.389,,,,
K,828.329,828.449,,,,
G,934.184,934.274,,,,
K,969.674,969.824,,,,
G,972.304,972.434,,,,
G,973.114,973.204,,,,
K,1002.849,1002.969,,,,
K,1063.288,1063.398,,,,
K,1080.284,1080.344,,,,
K,1084.604,1084.734,,,,
G,1093.854,1093.964,,,,
G,1097.264,1097.324,,,,
K,1118.89,1118.92,,,,
K,1119.76,1119.79,,,,
K,1140.812,1140.992,,,,
K,1159.838,1159.938,,,,
K,1161.718,1161.788,,,,
K,1203.018,1203.148,,,,
K,1203.918,1204.028,,,,
K,1230.35,1230.49,,,,
G,1234.204,1234.284,,,,
K,1234.784,1234.854,,,,
K,1235.874,1235.934,,,,
K,1246.096,1246.226,,,,
K,1272.466,1272.596,,,,
K,1288.43,1288.53,,,,
K,1303.143,1303.173,,,,
K,1422.602,1422.662,,,,
K,1429.725,1429.835,,,,
K,1433.825,1433.855,,,,
K,1450.986,1451.016,,,,
K,1461.886,1462.006,,,,
K,1481.618,1481.658,,,,
K,1489.47,1489.59,,,,
K,1521.708,1521.768,,,,
K,1529.038,1529.108,,,,
K,1561.76,1561.86,,,,
K,1598.892,1598.932,,,,
K,1632.293,1632.383,,,,
G,1636.754,1636.844,,,,
K,1652.508,1652.568,,,,
G,1657.968,1658.088,,,,
K,1659.608,1659.818,,,,
K,1677.115,1677.305,,,,
K,1693.509,1693.539,,,,
K,1702.586,1702.666,,,,
,,,85,0,20,0
