"Source.Name","speaker","language","clip","phone","vot_ms"
"VF19A_vot.csv","VF19A","C",0,"g",30
"VF19A_vot.csv","VF19A","C",1,"g",31
"VF19A_vot.csv","VF19A","C",100,"g",63
"VF19A_vot.csv","VF19A","C",101,"k",91
"VF19A_vot.csv","VF19A","C",102,"k",67
"VF19A_vot.csv","VF19A","C",103,"k",88
"VF19A_vot.csv","VF19A","C",104,"k",65
"VF19A_vot.csv","VF19A","C",105,"g",21
"VF19A_vot.csv","VF19A","C",106,"g",26
"VF19A_vot.csv","VF19A","C",107,"k",93
"VF19A_vot.csv","VF19A","C",108,"g",49
"VF19A_vot.csv","VF19A","C",111,"k",80
"VF19A_vot.csv","VF19A","C",112,"k",81
"VF19A_vot.csv","VF19A","C",113,"k",87
"VF19A_vot.csv","VF19A","C",114,"g",32
"VF19A_vot.csv","VF19A","C",115,"g",39
"VF19A_vot.csv","VF19A","C",116,"g",33
"VF19A_vot.csv","VF19A","C",117,"g",26
"VF19A_vot.csv","VF19A","C",118,"g",25
"VF19A_vot.csv","VF19A","C",124,"g",25
"VF19A_vot.csv","VF19A","C",126,"g",33
"VF19A_vot.csv","VF19A","C",127,"g",70
"VF19A_vot.csv","VF19A","C",129,"g",50
"VF19A_vot.csv","VF19A","C",130,"g",24
"VF19A_vot.csv","VF19A","C",131,"g",48
"VF19A_vot.csv","VF19A","C",133,"k",74
"VF19A_vot.csv","VF19A","C",134,"k",51
"VF19A_vot.csv","VF19A","C",135,"g",54
"VF19A_vot.csv","VF19A","C",136,"g",33
"VF19A_vot.csv","VF19A","C",137,"g",18
"VF19A_vot.csv","VF19A","C",138,"g",33
"VF19A_vot.csv","VF19A","C",14,"g",27
"VF19A_vot.csv","VF19A","C",140,"g",28
"VF19A_vot.csv","VF19A","C",141,"g",29
"VF19A_vot.csv","VF19A","C",142,"g",34
"VF19A_vot.csv","VF19A","C",143,"g",39
"VF19A_vot.csv","VF19A","C",144,"g",26
"VF19A_vot.csv","VF19A","C",145,"g",60
"VF19A_vot.csv","VF19A","C",147,"g",50
"VF19A_vot.csv","VF19A","C",149,"g",48
"VF19A_vot.csv","VF19A","C",150,"g",52
"VF19A_vot.csv","VF19A","C",151,"k",72
"VF19A_vot.csv","VF19A","C",152,"k",82
"VF19A_vot.csv","VF19A","C",16,"g",33
"VF19A_vot.csv","VF19A","C",19,"k",115
"VF19A_vot.csv","VF19A","C",2,"k",63
"VF19A_vot.csv","VF19A","C",20,"g",25
"VF19A_vot.csv","VF19A","C",21,"g",43
"VF19A_vot.csv","VF19A","C",22,"k",99
"VF19A_vot.csv","VF19A","C",23,"g",43
"VF19A_vot.csv","VF19A","C",24,"g",18
"VF19A_vot.csv","VF19A","C",25,"g",68
"VF19A_vot.csv","VF19A","C",27,"k",100
"VF19A_vot.csv","VF19A","C",29,"k",64
"VF19A_vot.csv","VF19A","C",3,"g",46
"VF19A_vot.csv","VF19A","C",30,"k",67
"VF19A_vot.csv","VF19A","C",31,"gw",25
"VF19A_vot.csv","VF19A","C",32,"g",80
"VF19A_vot.csv","VF19A","C",34,"g",42
"VF19A_vot.csv","VF19A","C",35,"g",46
"VF19A_vot.csv","VF19A","C",36,"gw",23
"VF19A_vot.csv","VF19A","C",37,"k",84
"VF19A_vot.csv","VF19A","C",38,"g",26
"VF19A_vot.csv","VF19A","C",39,"g",23
"VF19A_vot.csv","VF19A","C",4,"k",84
"VF19A_vot.csv","VF19A","C",40,"g",41
"VF19A_vot.csv","VF19A","C",41,"g",38
"VF19A_vot.csv","VF19A","C",42,"g",13
"VF19A_vot.csv","VF19A","C",43,"k",113
"VF19A_vot.csv","VF19A","C",44,"k",57
"VF19A_vot.csv","VF19A","C",45,"g",43
"VF19A_vot.csv","VF19A","C",46,"k",108
"VF19A_vot.csv","VF19A","C",48,"g",28
"VF19A_vot.csv","VF19A","C",5,"g",41
"VF19A_vot.csv","VF19A","C",50,"g",31
"VF19A_vot.csv","VF19A","C",51,"g",28
"VF19A_vot.csv","VF19A","C",52,"g",22
"VF19A_vot.csv","VF19A","C",53,"g",83
"VF19A_vot.csv","VF19A","C",54,"g",41
"VF19A_vot.csv","VF19A","C",55,"g",41
"VF19A_vot.csv","VF19A","C",57,"g",47
"VF19A_vot.csv","VF19A","C",58,"gw",25
"VF19A_vot.csv","VF19A","C",59,"k",96
"VF19A_vot.csv","VF19A","C",6,"k",34
"VF19A_vot.csv","VF19A","C",60,"g",32
"VF19A_vot.csv","VF19A","C",61,"g",11
"VF19A_vot.csv","VF19A","C",64,"gw",26
"VF19A_vot.csv","VF19A","C",65,"g",23
"VF19A_vot.csv","VF19A","C",66,"g",39
"VF19A_vot.csv","VF19A","C",68,"g",31
"VF19A_vot.csv","VF19A","C",69,"gw",30
"VF19A_vot.csv","VF19A","C",7,"g",43
"VF19A_vot.csv","VF19A","C",70,"g",28
"VF19A_vot.csv","VF19A","C",71,"g",32
"VF19A_vot.csv","VF19A","C",72,"g",39
"VF19A_vot.csv","VF19A","C",73,"k",58
"VF19A_vot.csv","VF19A","C",74,"k",79
"VF19A_vot.csv","VF19A","C",75,"k",81
"VF19A_vot.csv","VF19A","C",78,"g",33
"VF19A_vot.csv","VF19A","C",80,"g",34
"VF19A_vot.csv","VF19A","C",81,"g",29
"VF19A_vot.csv","VF19A","C",82,"gw",27
"VF19A_vot.csv","VF19A","C",83,"g",10
"VF19A_vot.csv","VF19A","C",85,"g",31
"VF19A_vot.csv","VF19A","C",86,"g",30
"VF19A_vot.csv","VF19A","C",87,"k",74
"VF19A_vot.csv","VF19A","C",89,"g",34
"VF19A_vot.csv","VF19A","C",9,"g",31
"VF19A_vot.csv","VF19A","C",90,"g",83
"VF19A_vot.csv","VF19A","C",91,"g",38
"VF19A_vot.csv","VF19A","C",92,"g",36
"VF19A_vot.csv","VF19A","C",94,"g",54
"VF19A_vot.csv","VF19A","C",96,"g",32
"VF19A_vot.csv","VF19A","C",97,"k",17
"VF19A_vot.csv","VF19A","E",0,"G",26
"VF19A_vot.csv","VF19A","E",1,"K",72
"VF19A_vot.csv","VF19A","E",10,"G",33
"VF19A_vot.csv","VF19A","E",100,"K",77
"VF19A_vot.csv","VF19A","E",101,"K",46
"VF19A_vot.csv","VF19A","E",102,"K",88
"VF19A_vot.csv","VF19A","E",103,"K",45
"VF19A_vot.csv","VF19A","E",105,"K",99
"VF19A_vot.csv","VF19A","E",11,"K",98
"VF19A_vot.csv","VF19A","E",12,"K",67
"VF19A_vot.csv","VF19A","E",13,"G",50
"VF19A_vot.csv","VF19A","E",14,"G",49
"VF19A_vot.csv","VF19A","E",15,"G",27
"VF19A_vot.csv","VF19A","E",16,"K",83
"VF19A_vot.csv","VF19A","E",17,"K",55
"VF19A_vot.csv","VF19A","E",18,"K",42
"VF19A_vot.csv","VF19A","E",19,"G",34
"VF19A_vot.csv","VF19A","E",2,"G",25
"VF19A_vot.csv","VF19A","E",20,"K",71
"VF19A_vot.csv","VF19A","E",21,"K",83
"VF19A_vot.csv","VF19A","E",23,"K",64
"VF19A_vot.csv","VF19A","E",24,"G",11
"VF19A_vot.csv","VF19A","E",25,"K",69
"VF19A_vot.csv","VF19A","E",26,"K",77
"VF19A_vot.csv","VF19A","E",27,"G",27
"VF19A_vot.csv","VF19A","E",28,"K",77
"VF19A_vot.csv","VF19A","E",3,"G",29
"VF19A_vot.csv","VF19A","E",30,"K",60
"VF19A_vot.csv","VF19A","E",34,"K",41
"VF19A_vot.csv","VF19A","E",35,"K",54
"VF19A_vot.csv","VF19A","E",36,"G",29
"VF19A_vot.csv","VF19A","E",38,"K",79
"VF19A_vot.csv","VF19A","E",39,"K",72
"VF19A_vot.csv","VF19A","E",40,"K",57
"VF19A_vot.csv","VF19A","E",41,"K",76
"VF19A_vot.csv","VF19A","E",42,"K",76
"VF19A_vot.csv","VF19A","E",45,"K",51
"VF19A_vot.csv","VF19A","E",46,"G",32
"VF19A_vot.csv","VF19A","E",47,"K",70
"VF19A_vot.csv","VF19A","E",48,"K",31
"VF19A_vot.csv","VF19A","E",5,"K",89
"VF19A_vot.csv","VF19A","E",50,"K",96
"VF19A_vot.csv","VF19A","E",52,"K",67
"VF19A_vot.csv","VF19A","E",53,"K",55
"VF19A_vot.csv","VF19A","E",54,"K",36
"VF19A_vot.csv","VF19A","E",56,"G",35
"VF19A_vot.csv","VF19A","E",57,"G",50
"VF19A_vot.csv","VF19A","E",58,"K",80
"VF19A_vot.csv","VF19A","E",59,"K",56
"VF19A_vot.csv","VF19A","E",6,"K",90
"VF19A_vot.csv","VF19A","E",61,"K",95
"VF19A_vot.csv","VF19A","E",62,"K",85
"VF19A_vot.csv","VF19A","E",63,"K",49
"VF19A_vot.csv","VF19A","E",64,"K",30
"VF19A_vot.csv","VF19A","E",65,"G",28
"VF19A_vot.csv","VF19A","E",66,"K",47
"VF19A_vot.csv","VF19A","E",67,"G",25
"VF19A_vot.csv","VF19A","E",68,"K",70
"VF19A_vot.csv","VF19A","E",69,"K",74
"VF19A_vot.csv","VF19A","E",7,"G",24
"VF19A_vot.csv","VF19A","E",71,"G",30
"VF19A_vot.csv","VF19A","E",73,"K",81
"VF19A_vot.csv","VF19A","E",74,"K",56
"VF19A_vot.csv","VF19A","E",75,"K",75
"VF19A_vot.csv","VF19A","E",77,"K",91
"VF19A_vot.csv","VF19A","E",78,"K",60
"VF19A_vot.csv","VF19A","E",8,"G",31
"VF19A_vot.csv","VF19A","E",80,"G",34
"VF19A_vot.csv","VF19A","E",81,"G",23
"VF19A_vot.csv","VF19A","E",83,"G",13
"VF19A_vot.csv","VF19A","E",84,"G",37
"VF19A_vot.csv","VF19A","E",85,"K",74
"VF19A_vot.csv","VF19A","E",86,"G",42
"VF19A_vot.csv","VF19A","E",87,"K",49
"VF19A_vot.csv","VF19A","E",88,"K",34
"VF19A_vot.csv","VF19A","E",89,"G",45
"VF19A_vot.csv","VF19A","E",9,"K",61
"VF19A_vot.csv","VF19A","E",90,"K",63
"VF19A_vot.csv","VF19A","E",92,"K",72
"VF19A_vot.csv","VF19A","E",93,"G",23
"VF19A_vot.csv","VF19A","E",94,"K",77
"VF19A_vot.csv","VF19A","E",95,"G",23
"VF19A_vot.csv","VF19A","E",96,"K",30
"VF19A_vot.csv","VF19A","E",97,"G",23
"VF19A_vot.csv","VF19A","E",98,"K",39
"VF19B_vot.csv","VF19B","C",0,"g",39
"VF19B_vot.csv","VF19B","C",1,"g",36
"VF19B_vot.csv","VF19B","C",10,"g",25
"VF19B_vot.csv","VF19B","C",100,"g",40
"VF19B_vot.csv","VF19B","C",101,"g",53
"VF19B_vot.csv","VF19B","C",102,"g",27
"VF19B_vot.csv","VF19B","C",104,"g",43
"VF19B_vot.csv","VF19B","C",105,"g",28
"VF19B_vot.csv","VF19B","C",106,"g",28
"VF19B_vot.csv","VF19B","C",107,"g",29
"VF19B_vot.csv","VF19B","C",108,"g",11
