,speaker,language,phone,clip,vot_ms
0,VF19A,C,k,3,64
1,VF19A,C,k,9,76
2,VF19A,C,g,15,28
3,VF19A,C,k,23,105
4,VF19A,C,g,26,72
5,VF19A,C,gw,32,28
6,VF19A,C,gw,37,19
7,VF19A,C,g,42,37
8,VF19A,C,k,47,110
9,VF19A,C,g,56,37
10,VF19A,C,gw,59,27
11,VF19A,C,gw,64,30
12,VF19A,C,gw,65,28
13,VF19A,C,g,69,31
14,VF19A,C,gw,70,33
15,VF19A,C,k,74,58
16,VF19A,C,gw,83,26
17,VF19A,C,k,88,78
18,VF19A,C,g,92,36
19,VF19A,C,k,103,69
20,VF19A,C,g,109,28
21,VF19A,C,k,112,84
22,VF19A,C,g,127,35
23,VF19A,C,k,135,57
24,VF19A,C,g,143,35
25,VF19A,E,G,1,27
26,VF19A,E,K,2,76
27,VF19A,E,G,4,28
28,VF19A,E,G,9,32
29,VF19A,E,K,12,100
30,VF19A,E,G,15,54
31,VF19A,E,K,19,42
32,VF19A,E,K,27,78
33,VF19A,E,K,39,77
34,VF19A,E,G,44,25
35,VF19A,E,G,47,35
36,VF19A,E,K,50,39
37,VF19A,E,G,58,51
38,VF19A,E,K,60,55
39,VF19A,E,K,67,46
40,VF19A,E,G,68,28
41,VF19A,E,G,72,33
42,VF19A,E,K,74,82
43,VF19A,E,G,81,35
44,VF19A,E,K,83,125
45,VF19A,E,G,87,45
46,VF19A,E,K,93,69
47,VF19A,E,G,96,26
48,VF19A,E,G,98,24
49,VF19A,E,K,103,92
50,VF23B,C,g,2,26
51,VF23B,C,k,9,45
52,VF23B,C,g,14,23
53,VF23B,C,k,18,77
54,VF23B,C,k,56,52
55,VF23B,C,gw,82,10
56,VF23B,C,gw,85,18
57,VF23B,C,k,88,61
58,VF23B,C,gw,89,23
59,VF23B,C,gw,95,36
60,VF23B,C,gw,97,15
61,VF23B,C,gw,100,24
62,VF23B,C,gw,104,17
63,VF23B,C,gw,108,30
64,VF23B,C,gw,111,10
65,VF23B,C,gw,112,20
66,VF23B,C,g,130,17
67,VF23B,C,gw,153,32
68,VF23B,C,k,169,90
69,VF23B,C,g,177,32
70,VF23B,C,kw,196,63
71,VF23B,C,g,210,19
72,VF23B,C,gw,219,34
73,VF23B,C,g,244,23
