X,speaker,language,phone,clip,vot_ms
7,VF19A,C,g,42,37
11,VF19A,C,gw,64,30
15,VF19A,C,k,74,58
18,VF19A,C,g,92,36
19,VF19A,C,k,103,73
21,VF19A,C,k,112,84
22,VF19A,C,g,127,65
24,VF19A,C,g,143,35
29,VF19A,E,K,12,100
33,VF19A,E,K,39,77
36,VF19A,E,K,50,39
42,VF19A,E,K,74,82
43,VF19A,E,G,81,35
49,VF19A,E,K,103,92
50,VF23B,C,g,2,26
52,VF23B,C,g,14,23
66,VF23B,C,g,130,17
69,VF23B,C,g,177,32
71,VF23B,C,g,210,19
73,VF23B,C,g,244,23
81,VF23B,E,K,27,24
84,VF23B,E,K,44,64
85,VF23B,E,K,57,45
86,VF23B,E,K,67,56
87,VF23B,E,K,73,65
89,VF23B,E,G,84,17
90,VF23B,E,K,86,61
92,VF23B,E,K,97,69
93,VF23B,E,G,109,17
94,VF23B,E,K,113,64
100,VM19B,C,g,1,38
102,VM19B,C,k,3,64
107,VM19B,C,k,9,51
108,VM19B,C,k,10,44
109,VM19B,C,k,11,45
110,VM19B,C,k,12,49
114,VM19B,C,k,16,67
115,VM19B,C,k,17,67
124,VM19B,C,g,31,43
132,VM19B,E,K,8,60
133,VM19B,E,K,9,87
134,VM19B,E,K,10,67
135,VM19B,E,K,11,58
137,VM19B,E,G,13,42
140,VM19B,E,K,17,25
142,VM19B,E,G,19,21
145,VM19B,E,G,23,15
147,VM19B,E,G,26,18
148,VM19B,E,G,27,20
150,VM19B,E,K,29,53
152,VM19B,E,G,31,19
154,VM19B,E,K,33,55
155,VM19B,E,K,34,72
156,VM19B,E,K,35,37
157,VM21B,C,g,1,31
158,VM21B,C,g,2,24
159,VM21B,C,g,3,18
160,VM21B,C,g,5,26
161,VM21B,C,g,8,23
162,VM21B,C,g,9,32
163,VM21B,C,g,12,19
169,VM21B,C,g,20,28
171,VM21B,C,g,22,26
172,VM21B,C,g,23,20
175,VM21B,C,k,27,44
176,VM21B,C,k,28,74
178,VM21B,C,gw,31,25
181,VM21B,C,k,35,40
182,VM21B,C,g,36,20
184,VM21B,C,g,38,42
193,VM21B,C,k,54,33
197,VM21B,C,g,58,15
198,VM21B,C,g,59,27
199,VM21B,C,g,61,10
201,VM21B,C,g,63,22
203,VM21B,C,g,65,21
204,VM21B,C,g,68,22
