phone,minTime,maxTime
k,22.854,22.964
k,30.731,30.871
k,46.899,46.939
k,71.302,71.342
k,77.97,78.03
k,104.667,104.737
k,107.367,107.397
k,107.397,107.527
k,113.666,113.726
k,131.879,131.929
k,132.099,132.149
k,132.219,132.289
k,138.824,138.874
k,139.084,139.124
k,144.364,144.414
k,149.182,149.232
k,151.002,151.072
k,157.838,157.918
k,158.648,158.718
k,175.848,175.898
k,191.167,191.227
k,191.227,191.317
k,198.65,198.75
k,208.117,208.197
k,211.603,211.633
k,223.193,223.273
k,224.033,224.113
k,226.017,226.077
k,226.077,226.107
k,275.943,275.993
k,282.273,282.313
k,282.513,282.543
k,309.808,309.898
k,311.638,311.668
k,313.351,313.391
k,338.316,338.366
k,364.513,364.563
k,397.368,397.398
k,397.688,397.778
k,399.574,399.624
k,402.015,402.045
k,404.658,404.698
k,407.989,408.049
k,408.863,408.893
k,414.562,414.602
k,415.292,415.352
k,417.336,417.396
k,419.711,419.771
k,419.771,419.831
k,423.514,423.544
k,425.515,425.565
k,426.215,426.275
k,427.885,427.915
k,429.842,429.872
k,456.58,456.67
k,463.656,463.756
k,466.264,466.334
k,476.991,477.041
k,491.734,491.884
k,493.114,493.224
k,494.084,494.124
k,498.564,498.594
k,498.594,498.694
k,499.184,499.234
k,501.754,501.794
k,504.603,504.653
k,511.653,511.703
k,512.733,512.773
k,514.501,514.711
k,529.956,529.996
k,532.476,532.526
k,563.374,563.444
k,574.725,574.815
k,593.516,593.566
k,598.502,598.542
k,599.202,599.312
k,601.051,601.081
k,605.418,605.448
k,605.578,605.668
k,608.124,608.194
k,636.579,636.689
k,642.72,642.82
k,642.99,643.04
k,658.284,658.354
k,672.641,672.681
k,676.449,676.479
k,676.539,676.579
k,676.979,677.009
k,678.709,678.749
k,696.618,696.678
k,703.402,703.512
k,735.366,735.426
k,738.145,738.205
k,741.405,741.455
k,743.379,743.419
k,762.627,762.657
k,763.957,763.997
k,768.486,768.546
k,769.973,770.023
k,770.173,770.213
k,771.733,771.803
k,772.053,772.083
k,778.955,778.995
k,788.358,788.408
k,788.828,788.868
k,790.368,790.428
k,791.898,791.938
k,794.978,795.018
k,798.898,798.938
k,799.974,800.014
k,820.495,820.525
k,823.164,823.194
k,855.716,855.746
k,855.826,855.856
k,859.782,859.822
k,859.932,859.972
k,895.179,895.269
k,906.554,906.614
k,968.022,968.092
k,991.396,991.426
k,997.211,997.311
k,999.925,999.975
k,1000.085,1000.115
k,1003.7,1003.75
k,1011.802,1011.832
k,1013.052,1013.092
k,1020.9,1020.95
k,1023.517,1023.617
k,1060.543,1060.683
k,1063.862,1063.912
k,1075.988,1076.028
k,1082.268,1082.308
k,1093.282,1093.342
k,1096.051,1096.151
k,1097.597,1097.657
k,1100.547,1100.607
k,1101.187,1101.287
k,1103.267,1103.377
k,1103.777,1103.897
k,1104.407,1104.497
k,1109.166,1109.266
k,1110.236,1110.306
k,1110.656,1110.796
k,1113.809,1113.859
k,1118.598,1118.668
k,1120.819,1120.859
k,1124.629,1124.699
k,1125.319,1125.389
k,1128.259,1128.299
k,1129.479,1129.519
k,1131.909,1132.019
k,1133.469,1133.539
k,1135.426,1135.476
k,1154.164,1154.254
k,1168.147,1168.207
k,1182.803,1182.903
k,1225.077,1225.167
k,1228.787,1228.817
k,1229.617,1229.647
k,1231.095,1231.135
k,1232.195,1232.225
k,1245.991,1246.031
k,1249.498,1249.538
k,1271.191,1271.271
k,1272.811,1272.871
k,1275.904,1275.954
k,1277.638,1277.678
k,1306.962,1306.992
k,1311.59,1311.63
k,1313.26,1313.31
k,1320.193,1320.293
k,1321.04,1321.11
k,1324.042,1324.152
k,1330.225,1330.255
k,1348.11,1348.18
k,1352.708,1352.798
k,1359.473,1359.553
k,1369.412,1369.552
k,1397.147,1397.207
k,1397.377,1397.417
k,1414.816,1414.886
k,1414.976,1415.016
k,1428.302,1428.342
k,1428.342,1428.442
k,1430.002,1430.092
k,1432.728,1432.818
k,1451.471,1451.571
k,1455.994,1456.044
k,1465.77,1465.81
k,1465.81,1465.88
k,1490.672,1490.702
k,1517.578,1517.618
k,1517.728,1517.798
k,1519.519,1519.579
k,1519.579,1519.669
k,1522.365,1522.485
k,1528.458,1528.618
k,1531.427,1531.487
k,1531.487,1531.547
k,1535.289,1535.319
k,1535.829,1535.929
k,1538.45,1538.51
k,1538.51,1538.59
k,1539.41,1539.53
k,1542.802,1542.852
k,1542.852,1542.932
k,1559.412,1559.452
k,1559.452,1559.532
k,1571.761,1571.831
k,1573.274,1573.344
k,1581.402,1581.442
k,1585.719,1585.909
k,1590.297,1590.507
k,1590.627,1590.657
k,1604.738,1604.778
k,1604.778,1604.868
k,1664.594,1664.684
k,1671.262,1671.302
k,1675.018,1675.058
k,1677.101,1677.131
k,1679.641,1679.691
k,1684.723,1684.763
k,1687.923,1687.953
k,1690.702,1690.742
k,1691.332,1691.372
k,1712.852,1712.922
k,1714.132,1714.202
k,1714.852,1714.962
k,1715.642,1715.712
k,1720.242,1720.322
k,1730.86,1730.92
k,1735.381,1735.411
k,1736.812,1736.852
k,1740.877,1740.907
k,1745.32,1745.37
k,1760.061,1760.091
k,1763.575,1763.655
k,1781.36,1781.4
k,1781.58,1781.66
k,1782.86,1782.92
k,1802.454,1802.704
k,1803.584,1803.674
