phone,minTime,maxTime
k,22.566,22.686
k,26.82,26.9
k,36.997,37.077
k,58.975,59.015
k,66.186,66.246
k,72.904,73.014
k,104.564,104.594
k,122.548,122.588
k,124.485,124.535
k,126.575,126.615
k,130.185,130.235
k,131.475,131.575
k,134.425,134.455
k,134.685,134.725
k,136.605,136.665
k,141.08,141.12
k,142.17,142.2
k,151.314,151.394
k,154.568,154.618
k,155.638,155.678
k,156.618,156.678
k,157.838,157.868
k,163.698,163.728
k,163.868,163.938
k,164.028,164.088
k,173.316,173.356
k,174.886,174.946
k,179.923,179.983
k,180.203,180.263
k,181.113,181.163
k,182.033,182.073
k,182.283,182.313
k,183.593,183.643
k,184.023,184.053
k,190.182,190.222
k,190.372,190.442
k,198.048,198.118
k,212.752,212.842
k,218.687,218.737
k,219.057,219.117
k,221.257,221.357
k,225.019,225.069
k,225.529,225.569
k,228.829,228.879
k,260.078,260.148
k,261.714,261.844
k,264.184,264.244
k,265.264,265.414
k,280.584,280.644
k,281.354,281.404
k,291.584,291.614
k,311.943,311.973
k,311.973,312.023
k,315.473,315.503
k,353.642,353.712
k,355.702,355.732
k,358.064,358.164
k,367.376,367.406
k,378.806,378.896
k,384.26,384.32
k,393.074,393.144
k,399.006,399.066
k,405.632,405.702
k,407.527,407.607
k,409.397,409.457
k,414.056,414.116
k,418.044,418.084
k,418.084,418.184
k,423.504,423.554
k,424.774,424.824
k,426.467,426.507
k,428.823,428.883
k,429.603,429.663
k,430.623,430.693
k,433.168,433.218
k,434.687,434.757
k,434.847,434.887
k,435.527,435.607
k,435.837,435.877
k,435.877,435.917
k,436.727,436.787
k,437.117,437.157
k,438.587,438.627
k,439.977,440.007
k,474.368,474.408
k,479.541,479.581
k,507.591,507.641
k,521.746,521.786
k,521.846,521.876
k,522.076,522.106
k,522.396,522.426
k,522.946,522.986
k,524.296,524.356
k,525.606,525.636
k,536.667,536.767
k,538.218,538.248
k,545.099,545.139
k,545.309,545.339
k,551.388,551.418
k,568.76,568.79
