phone,minTime,maxTime
k,41.132,41.192
k,56.276,56.356
k,94.37,94.41
k,115.76,115.83
k,128.264,128.604
k,166.632,166.702
k,197.468,197.548
k,201.646,201.726
k,204.456,204.506
k,210.33,210.4
k,211.54,211.62
k,212.51,212.57
k,213.02,213.08
k,223.324,223.444
k,225.014,225.054
k,230.176,230.226
k,241.222,241.282
k,243.132,243.172
k,246.728,246.818
k,252.818,252.888
k,254.498,254.538
k,264.178,264.238
k,265.708,265.758
k,268.612,268.682
k,270.782,270.822
k,274.78,274.85
k,280.972,281.042
k,281.362,281.442
k,282.682,282.742
k,285.142,285.182
k,291.482,291.522
k,292.062,292.132
k,295.442,295.502
k,298.83,298.89
k,318.265,318.375
k,319.535,319.585
k,330.822,330.932
k,331.072,331.142
k,341.972,342.042
k,358.67,358.76
k,362.76,362.81
k,376.534,376.594
k,383.764,383.904
k,385.984,386.044
k,397.994,398.054
k,399.524,399.584
k,401.264,401.334
k,409.316,409.486
k,410.196,410.226
k,422.726,422.796
k,453.51,453.61
k,456.54,456.58
k,457.12,457.2
k,465.844,465.914
k,466.194,466.284
k,467.754,467.864
k,470.534,470.604
k,502.638,502.698
k,510.601,510.661
k,513.288,513.368
k,516.358,516.388
k,522.187,522.257
k,524.527,524.627
k,536.807,536.847
k,544.202,544.272
k,546.152,546.202
k,546.292,546.382
k,547.442,547.522
k,568.682,568.752
k,569.022,569.082
k,577.658,577.718
k,582.832,582.862
k,592.472,592.502
k,628.742,628.792
k,630.282,630.382
k,634.54,634.6
k,652.706,652.766
k,654.416,654.476
k,677.552,677.602
k,680.872,680.922
k,684.412,684.492
k,706.064,706.124
k,707.234,707.314
k,711.284,711.354
k,713.014,713.084
k,713.354,713.424
k,714.534,714.594
k,714.844,714.904
k,716.154,716.234
k,716.944,717.154
k,718.084,718.164
k,718.464,718.524
k,719.944,720.004
k,723.414,723.464
k,727.719,727.779
k,728.039,728.099
k,732.369,732.449
k,734.496,734.526
k,735.186,735.256
k,735.406,735.436
k,736.956,737.006
k,737.506,737.596
k,746.328,746.368
k,746.458,746.508
k,749.577,749.617
k,749.767,749.797
k,774.478,774.528
k,774.668,774.858
k,775.488,775.548
k,785.254,785.314
k,816.428,816.458
k,816.608,816.658
k,818.828,818.888
k,820.358,820.418
k,831.5,831.55
k,831.89,831.93
k,835.77,835.8
k,838.19,838.24
k,838.64,838.68
k,839.33,839.4
k,839.85,839.94
k,840.47,840.52
k,852.512,852.552
k,863.604,863.704
k,866.254,866.294
k,882.694,882.744
k,885.124,885.174
k,889.214,889.254
k,890.024,890.084
k,893.784,893.904
k,903.496,903.556
k,904.346,904.416
k,906.496,906.576
k,907.226,907.286
k,913.448,913.508
k,913.578,913.618
k,929.104,929.184
k,939.028,939.088
k,939.978,940.038
k,940.128,940.208
k,940.308,940.428
k,940.538,940.568
k,960.656,960.746
k,961.126,961.206
k,971.219,971.359
k,971.529,971.589
k,972.009,972.059
k,972.159,972.199
k,975.169,975.229
k,977.932,977.962
k,978.082,978.162
k,978.382,978.462
k,978.562,978.632
k,1003.524,1003.564
k,1013.914,1013.964
k,1017.376,1017.476
k,1049.602,1049.652
k,1049.792,1049.952
k,1058.242,1058.302
k,1080.866,1080.956
k,1081.336,1081.406
k,1081.766,1081.826
k,1091.042,1091.132
k,1092.662,1092.732
k,1093.672,1093.702
k,1093.952,1094.032
k,1094.162,1094.202
k,1102.22,1102.29
k,1104.638,1104.758
k,1105.148,1105.208
k,1105.518,1105.558
k,1107.758,1107.818
k,1111.228,1111.258
k,1113.643,1113.743
k,1113.873,1113.963
k,1116.373,1116.443
k,1118.503,1118.583
k,1119.773,1119.823
k,1132.038,1132.098
k,1136.964,1137.094
k,1140.204,1140.254
k,1159.783,1159.833
k,1160.553,1160.583
k,1163.413,1163.473
k,1163.613,1163.653
k,1170.076,1170.136
k,1176.066,1176.176
k,1176.616,1176.686
k,1180.848,1180.928
k,1188.318,1188.398
k,1188.628,1188.688
k,1196.986,1197.046
k,1202.656,1202.736
k,1202.836,1202.906
k,1223.89,1223.97
k,1224.12,1224.18
k,1226.29,1226.32
k,1234.014,1234.114
k,1238.044,1238.094
k,1265.705,1265.765
k,1265.855,1265.885
k,1279.202,1279.252
k,1279.492,1279.582
k,1280.022,1280.062
k,1281.662,1281.692
k,1286.268,1286.308
k,1287.138,1287.208
k,1287.278,1287.318
k,1308.84,1308.92
k,1314.07,1314.17
k,1318.229,1318.299
k,1319.729,1319.799
k,1321.009,1321.089
k,1323.649,1323.699
k,1328.187,1328.297
k,1330.317,1330.377
k,1331.117,1331.217
k,1331.677,1331.747
k,1335.32,1335.39
k,1337.66,1337.73
k,1338.62,1338.67
k,1340.53,1340.59
k,1350.04,1350.09
k,1370.462,1370.532
k,1398.774,1398.814
k,1398.964,1399.034
k,1430.32,1430.39
k,1430.46,1430.49
k,1443.788,1443.848
k,1449.508,1449.558
k,1453.195,1453.285
k,1458.445,1458.505
k,1481.672,1481.722
k,1481.722,1481.842
k,1516.443,1516.503
k,1516.583,1516.703
k,1541.783,1541.883
k,1559.878,1559.908
k,1630.848,1630.938
k,1631.058,1631.088
k,1634.61,1634.7
k,1635.99,1636.06
k,1636.14,1636.23
k,1636.88,1636.97
k,1652.074,1652.134
k,1652.594,1652.684
k,1659.054,1659.104
k,1660.924,1660.964
k,1683.01,1683.09
k,1683.84,1683.92
k,1685.51,1685.58
k,1685.69,1685.75
k,1692.305,1692.345
k,1692.465,1692.515
k,1706.35,1706.4
k,1706.48,1706.52
k,1728.192,1728.242
k,1728.242,1728.362
k,1729.942,1730.022
k,1732.342,1732.412
k,1732.502,1732.562
k,1753.793,1753.893
k,1756.703,1756.733
k,1766.758,1766.798
k,1767.458,1767.508
k,1771.438,1771.528
k,1792.814,1792.874
k,1806.634,1806.674
k,1808.864,1808.924
k,1817.415,1817.505
