phone,minTime,maxTime
k,24.798,24.898
k,32.395,32.495
k,48.124,48.204
k,75.614,75.684
k,84.182,84.252
k,86.752,86.812
k,91.066,91.136
k,92.596,92.666
k,93.606,93.686
k,96.861,96.901
k,102.44,102.51
k,102.83,102.87
k,102.87,102.99
k,108.016,108.076
k,108.986,109.046
k,109.376,109.436
k,115.064,115.134
k,115.984,116.034
k,117.074,117.114
k,121.244,121.304
k,127.04,127.11
k,128.78,128.85
k,129.84,129.9
k,134.396,134.486
k,159.22,159.28
k,166.402,166.452
k,173.212,173.272
k,187.282,187.342
k,208.046,208.146
k,223.246,223.306
k,229.148,229.198
k,230.738,230.778
k,239.516,239.566
k,240.746,240.796
k,242.405,242.475
k,243.566,243.626
k,243.826,243.906
k,244.476,244.596
k,245.396,245.446
k,246.326,246.366
k,246.766,246.806
k,247.866,247.956
k,268.088,268.118
k,306.266,306.356
k,317.674,317.734
k,319.17,319.25
k,320.5,320.54
k,321.36,321.45
k,321.57,321.64
k,323.911,323.961
k,328.811,328.861
k,351.363,351.443
k,375.506,375.566
k,398.038,398.068
k,399.468,399.508
k,402.374,402.424
k,402.424,402.514
k,417.414,417.454
k,418.384,418.414
k,435.58,435.68
k,435.83,435.9
k,455.542,455.652
k,455.832,455.912
k,471.168,471.228
k,474.485,474.595
k,500.129,500.179
k,500.479,500.539
k,500.539,500.639
k,508.244,508.404
k,517.174,517.224
k,521.143,521.223
k,523.764,523.834
k,526.162,526.222
k,542.352,542.392
k,554.706,554.766
k,555.646,555.726
k,558.693,558.763
k,558.853,558.893
k,567.177,567.317
k,567.427,567.477
k,570.007,570.057
k,570.247,570.297
k,577.954,577.994
k,578.084,578.124
k,579.744,579.774
k,580.57,580.62
k,580.73,580.76
k,594.522,594.622
k,645.998,646.938
k,647.598,647.658
k,649.548,649.598
k,656.474,656.544
k,657.544,657.604
k,672.802,672.862
k,679.087,679.137
k,688.332,688.392
k,702.249,702.299
k,704.197,704.247
k,724.918,725.048
k,725.198,725.298
k,726.738,726.788
k,728.603,728.633
k,732.537,732.567
k,732.717,732.787
k,751.498,751.558
k,754.055,754.085
k,759.998,760.068
k,777.502,777.612
k,782.668,782.718
k,786.949,786.979
k,786.979,787.049
k,788.479,788.519
k,793.016,793.056
k,793.306,793.366
k,793.506,793.556
k,796.983,797.053
k,810.225,810.255
k,813.209,813.289
k,814.675,814.775
k,815.565,815.645
k,816.245,816.325
k,818.793,818.863
k,824.141,824.191
k,828.476,828.646
k,835.339,835.369
k,862.765,862.895
k,864.242,864.292
k,864.462,864.562
k,868.719,868.789
k,869.689,869.729
k,873.235,873.285
k,881.934,881.974
k,901.635,901.745
k,908.185,908.265
k,908.385,908.465
k,921.658,921.748
k,931.518,931.598
k,938.589,938.649
k,940.159,940.249
k,953.996,954.036
k,963.924,963.994
k,967.902,967.962
k,970.414,970.504
k,970.954,970.994
k,974.942,975.032
k,996.375,996.435
k,998.505,998.585
k,1000.884,1000.984
k,1001.534,1001.634
k,1004.904,1004.994
k,1015.668,1015.728
k,1023.912,1023.972
k,1025.302,1025.342
k,1026.904,1026.994
k,1027.664,1027.704
k,1029.691,1029.751
k,1033.681,1033.791
k,1035.821,1035.861
k,1041.648,1041.698
k,1070.872,1070.922
k,1070.922,1071.072
k,1073.689,1073.729
k,1073.729,1073.869
k,1074.519,1074.549
k,1080.478,1080.538
k,1080.668,1080.788
k,1113.642,1113.952
k,1114.472,1114.522
k,1116.168,1116.828
k,1116.928,1116.998
k,1121.579,1121.619
k,1121.689,1121.719
k,1150.644,1150.674
k,1151.424,1151.474
k,1155.961,1155.991
k,1169.721,1169.771
k,1171.901,1171.941
k,1185.536,1185.666
k,1204.408,1204.478
k,1226.86,1226.99
k,1230.489,1230.529
k,1238.094,1238.124
k,1238.124,1238.214
k,1268.769,1268.869
k,1272.939,1273.119
k,1313.12,1313.15
k,1333.154,1333.214
k,1344.144,1344.184
k,1351.027,1351.057
k,1370.236,1370.286
k,1376.46,1376.51
k,1389.129,1389.169
k,1392.229,1392.269
k,1392.409,1392.459
k,1392.699,1392.739
k,1396.25,1396.31
k,1403.991,1404.041
k,1422.742,1422.792
k,1435.939,1436.009
k,1436.979,1437.029
k,1437.709,1437.799
k,1439.718,1439.748
k,1439.988,1440.028
k,1440.898,1440.928
k,1449.348,1449.408
k,1480.881,1480.921
k,1483.535,1483.605
k,1483.775,1483.835
k,1516.995,1517.125
k,1542.458,1542.538
k,1543.478,1543.548
k,1544.168,1544.338
k,1548.194,1548.244
k,1553.515,1553.685
k,1558.538,1558.628
k,1559.618,1559.748
k,1567.181,1567.271
k,1567.881,1568.021
k,1569.851,1569.921
k,1573.153,1573.263
k,1573.883,1573.933
k,1575.38,1575.44
k,1575.44,1575.55
k,1577.77,1577.81
k,1577.81,1577.9
k,1580.15,1580.24
k,1581.63,1581.75
k,1584.88,1584.95
k,1588.829,1588.909
k,1590.059,1590.149
k,1590.879,1590.919
k,1591.139,1591.169
k,1591.829,1591.899
k,1593.839,1593.899
k,1594.669,1594.749
k,1596.258,1596.298
k,1598.16,1598.22
k,1598.46,1598.52
k,1603.409,1603.479
k,1604.039,1604.159
k,1612.728,1612.828
k,1616.901,1617.031
k,1624.108,1624.168
k,1641.265,1641.305
k,1642.205,1642.255
k,1646.115,1646.195
k,1646.475,1646.565
k,1650.674,1650.714
k,1651.614,1651.654
k,1669.824,1669.914
k,1671.024,1671.144
k,1673.861,1673.921
k,1678.32,1678.39
k,1679.38,1679.41
k,1680.65,1680.68
k,1684.444,1684.484
k,1685.404,1685.494
k,1686.48,1686.52
k,1687.71,1687.76
k,1688.25,1688.32
k,1689.29,1689.35
k,1694.55,1694.73
k,1697.41,1697.49
k,1705.483,1705.643
k,1713.926,1713.956
k,1727.402,1727.482
k,1728.142,1728.242
k,1728.842,1728.912
k,1731.16,1731.22
k,1744.551,1744.641
k,1772.208,1772.238
k,1774.863,1774.933
k,1787.958,1787.988
k,1788.718,1788.748
k,1800.068,1800.108
