phone,minTime,maxTime
k,27.387,27.447
k,35.368,35.508
k,59.123,59.203
k,106.067,106.097
k,118.393,118.533
k,119.743,119.813
k,153.197,153.407
k,153.547,153.687
k,157.906,157.936
k,161.531,161.561
k,168.509,168.539
k,175.793,175.833
k,176.113,176.173
k,191.686,191.836
k,209.395,209.435
k,209.635,209.685
k,239.388,239.438
k,240.898,240.978
k,280.038,280.098
k,281.348,281.468
k,281.648,281.688
k,287.62,287.75
k,291.04,291.15
k,293.529,293.739
k,296.309,296.389
k,297.149,297.349
k,298.352,298.522
k,313.785,313.885
k,316.135,316.235
k,316.675,316.835
k,320.775,320.845
k,321.375,321.415
k,322.555,322.585
k,325.59,325.62
k,326.57,326.75
k,367.311,367.351
k,374.884,374.944
k,377.504,377.584
k,378.154,378.224
k,378.554,378.614
k,411.65,411.71
k,430.379,430.459
k,434.069,434.169
k,465.06,465.13
k,521.469,521.499
k,521.939,522.009
k,548.517,548.557
k,554.776,554.816
k,575.041,575.081
k,575.931,575.981
k,576.101,576.131
k,580.031,580.081
k,580.081,580.131
k,582.581,582.631
k,591.309,591.349
k,594.909,594.969
k,609.277,609.327
k,609.327,609.377
k,609.617,609.677
k,614.927,614.997
k,615.077,615.187
k,618.117,618.147
k,619.447,619.497
k,619.497,619.527
k,620.697,620.737
k,635.643,635.693
k,637.673,637.703
k,637.943,638.013
k,641.419,641.469
k,642.009,642.049
k,642.259,642.299
k,647.422,647.462
k,654.607,654.637
k,655.217,655.267
k,661.857,661.897
k,661.977,662.027
k,662.527,662.557
k,664.881,664.941
k,692.242,692.292
k,696.139,696.219
k,705.463,705.503
k,708.633,708.673
k,720.538,720.658
k,721.468,721.518
k,733.333,733.493
k,736.056,736.086
k,737.176,737.236
k,751.121,751.291
k,752.041,752.331
k,754.881,754.931
k,755.171,755.281
k,774.769,774.829
k,775.319,775.369
k,784.811,784.931
k,814.561,814.621
k,848.671,848.791
k,849.151,849.241
k,849.781,849.831
k,875.582,875.642
k,885.809,885.879
k,887.991,888.051
k,890.481,890.531
k,911.853,911.893
k,913.343,913.383
k,914.263,914.293
k,915.397,915.467
k,919.127,919.247
k,920.618,920.688
k,939.362,939.432
k,942.595,942.675
k,943.485,943.545
k,943.975,944.155
k,945.165,945.215
k,960.47,960.53
k,963.59,963.65
k,964.56,964.6
k,964.6,964.64
k,974.739,974.809
k,977.828,977.858
k,978.458,978.498
k,978.688,978.748
k,981.138,981.208
k,987.573,987.613
k,989.053,989.193
k,1003.299,1003.329
k,1005.709,1005.799
k,1038.881,1038.911
k,1044.908,1044.978
k,1046.248,1046.278
k,1064.452,1064.502
k,1067.018,1067.188
k,1067.858,1067.908
k,1076.611,1076.651
k,1076.731,1076.801
k,1076.881,1076.951
k,1112.092,1112.132
k,1112.232,1112.292
k,1113.762,1113.852
k,1152.954,1152.994
k,1180.952,1181.002
k,1181.172,1181.292
k,1183.442,1183.472
k,1189.11,1189.19
k,1228.86,1228.9
k,1243.252,1243.312
k,1243.312,1243.372
k,1247.902,1247.952
k,1260.285,1260.325
k,1260.425,1260.455
k,1262.335,1262.395
k,1265.071,1265.161
k,1266.262,1266.302
k,1269.605,1269.675
k,1273.735,1273.765
k,1275.633,1275.663
k,1278.962,1279.032
k,1279.292,1279.362
k,1304.45,1304.51
k,1315.655,1315.805
k,1318.585,1318.625
k,1320.028,1320.108
k,1321.438,1321.468
k,1326.486,1326.536
k,1332.262,1332.302
k,1332.752,1332.852
k,1335.812,1335.882
k,1356.48,1356.54
k,1409.249,1409.299
k,1426.723,1426.773
k,1430.651,1430.721
k,1444.376,1444.426
k,1447.944,1448.014
k,1471.722,1471.792
k,1473.152,1473.232
k,1473.762,1473.812
k,1474.332,1474.392
k,1476.302,1476.332
k,1504.282,1504.322
k,1510.577,1510.637
k,1511.678,1511.708
k,1529.743,1529.813
k,1530.353,1530.383
k,1531.323,1531.403
