phone,minTime,maxTime
k,26.253,26.313
k,33.838,33.978
k,59.953,60.093
k,98.164,98.194
k,98.194,98.264
k,100.397,100.467
k,113.143,113.233
k,117.526,117.556
k,117.556,117.596
k,126.018,126.198
k,141.07,141.13
k,141.56,141.59
k,141.59,141.62
k,143.4,143.48
k,143.63,143.67
k,162.62,162.65
k,176.331,176.401
k,180.28,180.34
k,180.46,180.56
k,185.002,185.052
k,196.934,196.984
k,198.064,198.124
k,199.714,199.784
k,199.904,200.054
k,224.627,224.687
k,224.817,224.867
k,239.243,239.303
k,240.723,240.763
k,242.711,242.761
k,251.593,251.673
k,255.003,255.033
k,305.559,305.599
k,329.131,329.171
k,338.057,338.147
k,338.517,338.547
k,338.887,338.917
k,362.004,362.104
k,362.724,362.804
k,363.707,363.797
k,377.35,377.4
k,381.61,381.66
k,392.64,392.7
k,394.61,394.7
k,396.0,396.04
k,402.631,402.721
k,409.863,409.963
k,412.336,412.396
k,413.361,413.401
k,414.731,414.771
k,415.241,415.291
k,429.838,429.928
k,433.405,433.445
k,433.445,433.525
k,445.999,446.029
k,446.84,446.91
k,472.973,473.043
k,485.062,485.132
k,486.012,486.102
k,488.945,489.025
k,520.067,520.167
k,526.933,526.993
k,530.596,530.706
k,539.989,540.039
k,551.041,551.111
k,556.521,556.571
k,562.376,562.426
k,564.262,564.312
k,565.122,565.172
k,565.432,565.482
k,566.252,566.322
k,569.776,569.816
k,586.621,586.681
k,594.08,594.18
k,600.528,600.598
k,601.728,601.778
k,601.858,601.898
k,602.168,602.218
k,602.328,602.368
k,603.955,603.995
k,639.177,639.247
k,643.637,643.667
k,650.401,650.461
k,666.755,666.885
k,685.085,685.125
k,685.325,685.665
k,697.491,697.531
k,697.601,697.651
k,710.478,710.518
k,710.698,710.758
k,719.534,719.634
k,720.874,720.984
k,721.134,721.184
k,722.401,722.441
k,722.631,722.701
k,723.658,723.688
k,723.778,723.828
k,727.788,727.818
k,730.995,731.025
k,732.815,732.905
k,737.577,737.637
k,738.697,738.787
k,741.83,741.91
k,742.07,742.12
k,742.91,742.98
k,767.86,767.9
k,768.07,768.15
k,769.93,769.96
k,786.629,786.739
k,787.759,787.819
k,797.305,797.365
k,798.585,798.635
k,803.864,803.904
k,810.211,810.261
k,811.755,811.795
k,829.833,829.883
k,830.763,830.803
k,830.943,830.993
k,838.805,838.885
k,845.891,845.921
k,846.101,846.251
k,852.308,852.408
k,858.061,858.091
k,858.301,858.331
k,882.957,883.147
k,888.16,888.21
k,889.725,889.785
k,891.045,891.125
k,892.475,892.505
k,894.922,894.992
k,895.562,895.612
k,896.581,896.621
k,904.814,904.844
k,918.314,918.404
k,919.004,919.034
k,920.032,920.062
k,924.029,924.099
k,924.619,924.649
k,925.449,925.529
k,927.529,927.559
k,927.889,927.939
k,946.578,946.608
k,952.693,952.743
k,953.163,953.193
k,956.681,956.751
k,959.841,959.891
k,962.797,962.957
k,983.391,983.491
k,984.081,984.121
k,984.241,984.281
k,987.213,987.263
k,987.343,987.373
k,997.447,997.527
k,1011.551,1011.591
k,1012.911,1013.141
k,1014.031,1014.071
k,1020.275,1020.355
k,1028.43,1028.49
k,1029.54,1029.58
k,1036.957,1037.007
k,1038.717,1038.747
k,1038.947,1039.027
k,1040.737,1040.777
k,1040.937,1040.967
k,1064.777,1064.827
k,1075.972,1076.002
k,1076.102,1076.152
k,1076.272,1076.322
k,1076.832,1076.872
k,1077.862,1077.902
k,1079.102,1079.132
k,1091.873,1091.903
k,1120.374,1120.454
k,1134.592,1134.652
k,1139.954,1139.984
k,1140.064,1140.134
k,1146.57,1146.73
k,1147.19,1147.3
k,1200.271,1200.331
k,1203.091,1203.131
k,1203.321,1203.371
k,1206.597,1206.647
k,1208.842,1208.912
k,1210.272,1210.302
k,1215.798,1215.868
k,1217.918,1217.958
k,1223.571,1223.721
k,1227.092,1227.142
k,1231.043,1231.113
k,1236.507,1236.547
k,1236.847,1237.087
k,1241.271,1241.311
k,1241.531,1241.751
k,1262.344,1262.434
k,1271.569,1271.649
k,1276.915,1276.985
k,1278.315,1278.375
k,1280.565,1280.675
k,1300.371,1300.451
k,1305.15,1305.2
k,1323.713,1323.763
k,1323.923,1323.973
k,1324.577,1324.607
k,1324.677,1324.707
k,1378.122,1378.182
k,1418.632,1418.662
k,1422.864,1422.934
k,1434.595,1434.625
k,1445.673,1446.063
k,1449.203,1449.463
k,1483.284,1483.424
k,1487.254,1487.284
k,1497.715,1497.755
k,1498.705,1498.745
k,1500.386,1500.426
k,1503.757,1503.807
