phone,minTime,maxTime
k,22.038,22.138
k,30.275,30.395
k,47.051,47.101
k,77.408,77.478
k,83.317,83.367
k,86.667,86.697
k,102.687,102.727
k,108.198,108.228
k,110.355,110.395
k,117.25,117.34
k,124.501,124.541
k,130.821,130.851
k,150.833,150.863
k,154.261,154.311
k,156.841,156.921
k,173.047,173.087
k,193.941,194.031
k,209.233,209.293
k,224.093,224.153
k,225.073,225.163
k,226.705,226.755
k,227.375,227.435
k,228.255,228.295
k,229.746,229.946
k,230.276,230.356
k,231.956,232.026
k,233.086,233.186
k,233.956,233.986
k,236.323,236.363
k,240.781,240.811
k,247.953,248.023
k,266.357,266.397
k,272.907,272.987
k,289.539,289.589
k,291.359,291.449
k,293.751,293.791
k,294.671,294.701
k,314.005,314.075
k,331.337,331.377
k,331.647,331.747
k,355.972,356.012
k,357.442,357.492
k,359.912,359.972
k,361.462,361.492
k,372.409,372.449
k,373.179,373.259
k,378.032,378.072
k,378.522,378.552
k,387.587,387.657
k,388.477,388.517
k,388.907,388.947
k,390.267,390.297
k,393.497,393.547
k,406.666,406.946
k,407.906,408.006
k,410.934,411.114
k,426.442,426.672
k,426.802,426.872
k,431.277,431.357
k,433.897,433.937
k,434.007,434.057
k,435.257,435.347
k,446.042,446.082
k,446.662,446.692
k,448.082,448.122
k,448.192,448.242
k,449.912,449.992
k,452.002,452.042
k,452.102,452.132
k,458.268,458.298
k,459.148,459.188
k,461.589,461.639
k,462.019,462.059
k,462.619,462.699
k,463.869,463.969
k,464.519,464.589
k,465.953,465.983
k,475.278,475.348
k,475.828,475.908
k,491.028,491.078
k,496.083,496.153
k,499.057,499.247
k,500.227,500.267
k,502.527,502.587
k,510.434,510.524
k,524.944,525.204
k,526.999,527.029
k,527.779,527.929
k,532.459,532.519
k,538.98,539.06
k,541.122,541.152
k,542.917,542.947
k,564.671,564.731
k,567.827,567.877
k,568.677,568.757
k,571.687,571.717
k,571.717,571.767
k,576.802,576.842
k,582.821,582.881
k,586.321,586.441
k,590.888,590.968
k,610.113,610.183
k,611.076,611.136
k,612.786,612.816
k,616.553,616.613
k,617.583,617.633
k,620.303,620.333
k,621.563,621.963
k,623.003,623.043
k,623.113,623.313
k,626.779,626.879
k,627.499,627.549
k,627.629,627.709
k,647.02,647.05
k,661.236,661.296
k,661.846,661.896
k,668.805,668.975
k,670.585,670.625
k,671.465,671.595
k,674.701,674.771
k,684.675,684.755
k,686.285,686.325
k,686.665,686.705
k,769.136,769.186
k,770.804,770.904
k,771.294,771.364
k,771.834,771.924
k,774.046,774.366
k,775.286,775.336
k,790.256,790.326
k,805.671,805.711
k,824.442,824.602
k,826.832,826.892
k,828.272,828.342
k,828.582,828.622
k,831.094,831.144
k,831.554,831.604
k,835.189,835.249
k,836.109,836.149
k,853.687,853.767
k,861.239,861.269
k,862.329,862.359
k,862.569,862.619
k,887.215,887.335
k,909.461,909.551
k,923.362,923.462
k,925.875,925.955
k,927.555,927.795
k,934.446,934.476
k,937.886,937.916
k,938.086,938.116
k,940.303,940.423
k,940.523,940.553
k,945.34,945.42
k,947.54,947.63
k,971.138,971.168
k,1013.556,1013.666
k,1014.706,1014.776
k,1015.686,1015.756
k,1022.321,1022.361
k,1024.744,1024.774
k,1025.414,1025.444
k,1027.414,1027.454
k,1038.198,1038.258
k,1039.618,1039.688
k,1040.842,1040.912
k,1041.242,1041.292
k,1042.692,1042.742
k,1080.452,1080.502
k,1093.359,1093.419
k,1110.439,1110.499
k,1141.422,1141.532
k,1159.661,1159.711
k,1168.295,1168.335
k,1168.745,1168.775
k,1176.811,1176.861
k,1229.835,1229.865
k,1234.225,1234.265
k,1249.892,1249.932
k,1275.269,1275.299
k,1285.402,1285.452
k,1288.406,1288.456
k,1288.866,1288.966
k,1296.46,1296.53
k,1323.609,1323.809
k,1326.359,1326.509
k,1328.314,1328.374
k,1330.544,1330.604
k,1334.571,1334.731
k,1335.351,1335.411
k,1340.931,1340.961
k,1375.673,1375.723
k,1376.463,1376.503
k,1399.184,1399.284
k,1399.404,1399.544
k,1401.819,1401.899
k,1402.099,1402.219
k,1403.119,1403.189
k,1403.519,1403.609
k,1403.839,1403.929
k,1404.009,1404.099
k,1407.239,1407.339
k,1407.399,1407.459
k,1408.509,1408.539
k,1410.099,1410.159
k,1410.269,1410.309
k,1411.089,1411.129
k,1415.462,1415.512
k,1418.699,1418.829
k,1421.209,1421.289
k,1421.419,1421.499
k,1462.579,1462.629
k,1462.629,1462.699
k,1466.955,1467.035
k,1477.468,1477.508
k,1477.508,1477.588
k,1478.588,1478.708
k,1488.665,1488.705
k,1489.395,1489.475
k,1492.325,1492.355
k,1496.403,1496.443
k,1512.58,1512.63
k,1513.31,1513.35
k,1523.075,1523.115
