phone,minTime,maxTime
k,27.395,27.535
k,41.123,41.323
k,79.119,79.409
k,140.011,140.101
k,141.271,141.311
k,147.03,147.09
k,152.246,152.316
k,158.112,158.202
k,164.783,164.903
k,177.305,177.345
k,181.812,181.882
k,182.322,182.382
k,191.118,191.218
k,206.623,206.673
k,208.403,208.463
k,220.546,220.606
k,226.43,226.49
k,233.651,233.701
k,238.806,238.876
k,245.051,245.101
k,249.618,249.678
k,261.247,261.307
k,266.117,266.157
k,284.167,284.217
k,286.704,286.764
k,288.064,288.104
k,288.734,288.784
k,292.392,292.462
k,294.352,294.412
k,295.732,295.802
k,298.162,298.222
k,302.869,302.929
k,304.639,304.669
k,306.029,306.119
k,309.606,309.666
k,314.631,314.681
k,315.681,315.741
k,317.101,317.201
k,322.359,322.419
k,325.009,325.089
k,325.389,325.439
k,325.899,325.949
k,335.075,335.155
k,344.161,344.251
k,353.487,353.537
k,359.209,359.269
k,360.159,360.229
k,360.399,360.429
k,362.182,362.262
k,362.802,362.832
k,364.312,364.352
k,367.182,367.262
k,367.852,367.882
k,370.996,371.066
k,371.676,371.756
k,374.755,374.825
k,377.988,378.048
k,378.868,378.908
k,383.843,383.873
k,387.048,387.288
k,404.611,404.641
k,406.041,406.091
k,406.181,406.291
k,407.356,407.416
k,422.016,422.066
k,422.766,422.796
k,425.676,425.706
k,426.116,426.166
k,427.779,427.829
k,430.709,430.739
k,430.879,430.909
k,432.219,432.299
k,446.019,446.049
k,457.891,457.961
k,458.351,458.411
k,467.401,467.441
k,469.421,469.561
k,479.985,480.015
k,484.475,484.505
k,484.505,484.555
k,486.645,486.675
k,486.675,486.725
k,495.718,495.768
k,496.098,496.148
k,502.708,502.738
k,510.728,510.808
k,511.888,511.958
k,517.955,517.985
k,528.663,528.853
k,539.581,539.641
k,545.615,545.785
k,549.119,549.149
k,557.764,557.834
k,561.624,561.704
k,561.804,561.854
k,567.542,567.572
k,572.322,572.352
k,573.782,573.872
k,576.89,576.95
k,581.296,581.346
k,583.476,583.516
k,583.516,583.556
k,584.996,585.046
k,587.985,588.095
k,588.225,588.255
k,590.075,590.135
k,592.337,592.407
k,594.305,594.385
k,595.615,595.675
k,596.155,596.195
k,611.254,611.284
k,611.284,611.314
k,611.444,611.494
k,636.747,636.777
k,658.408,658.478
k,662.191,662.281
k,664.281,664.311
k,666.031,666.061
k,687.493,687.543
k,691.653,691.713
k,743.548,743.578
k,747.539,747.649
k,747.899,747.939
k,786.477,786.527
k,799.652,799.692
k,800.832,800.882
k,802.773,802.813
k,807.483,807.533
k,808.228,808.258
k,810.416,810.446
k,821.197,821.247
k,829.335,829.365
k,846.327,846.417
k,846.597,846.637
k,852.462,852.532
k,856.811,856.841
k,858.111,858.151
k,859.274,859.314
k,860.304,860.364
k,861.624,861.674
k,866.774,866.824
k,885.697,885.787
k,888.253,888.283
k,891.68,891.71
k,894.691,894.721
k,900.345,900.375
k,902.055,902.085
k,905.527,905.587
k,905.817,905.877
k,907.947,908.167
k,908.837,908.867
k,909.857,909.887
k,910.107,910.197
k,915.297,915.337
k,917.499,917.529
k,945.439,945.479
k,946.419,946.479
k,949.191,949.221
k,949.411,949.511
k,950.101,950.131
k,950.271,950.331
k,953.902,953.952
k,956.867,956.967
k,957.127,957.157
k,957.417,957.447
k,957.517,957.547
k,957.827,957.857
k,962.117,962.147
k,965.707,965.747
k,970.351,970.411
k,977.576,977.646
k,978.086,978.126
k,980.663,980.733
k,982.103,982.133
k,982.323,982.373
k,992.012,992.152
k,992.252,992.352
k,998.431,998.461
k,1014.525,1014.595
k,1017.525,1017.585
k,1032.294,1032.374
k,1036.583,1036.643
k,1052.727,1052.757
k,1056.247,1056.307
k,1076.917,1076.987
k,1077.587,1077.617
k,1085.841,1085.891
k,1108.676,1108.736
k,1113.676,1113.716
k,1117.914,1118.214
k,1132.303,1132.333
k,1132.393,1132.443
k,1138.823,1138.933
k,1144.452,1144.492
k,1159.492,1159.562
k,1163.002,1163.042
k,1163.922,1163.982
k,1178.663,1178.753
k,1210.687,1210.757
k,1212.374,1212.424
k,1218.194,1218.274
k,1223.426,1223.456
k,1223.886,1223.996
k,1224.806,1224.846
k,1225.036,1225.086
k,1226.905,1227.005
k,1230.025,1230.125
k,1232.775,1232.855
k,1252.388,1252.428
k,1282.649,1282.699
k,1295.392,1295.422
k,1303.326,1303.356
k,1319.751,1319.841
k,1321.2,1321.29
k,1321.79,1321.84
k,1322.74,1322.78
k,1324.45,1324.58
k,1327.139,1327.169
k,1328.869,1328.899
k,1329.489,1329.539
k,1334.505,1334.545
k,1353.278,1353.328
k,1359.718,1359.758
k,1379.699,1379.769
k,1386.335,1386.365
k,1397.4,1397.45
k,1398.29,1398.47
k,1408.483,1408.523
k,1413.373,1413.403
k,1421.985,1422.035
k,1425.915,1425.945
k,1426.095,1426.185
k,1475.731,1475.761
k,1479.695,1479.725
k,1485.498,1485.548
k,1512.167,1512.267
k,1519.262,1519.322
k,1527.503,1527.533
k,1535.239,1535.279
k,1538.549,1538.619
k,1555.597,1555.627
k,1556.197,1556.307
k,1565.101,1565.191
k,1586.102,1586.132
k,1592.132,1592.182
