Length,Freq,Mean_RT,Length_type,RT_speed
8,131,819.19,mid,fast
10,82,977.63,long,fast
7,0,908.22,mid,fast
6,592,766.3,mid,slow
12,2,1125.42,long,fast
12,9,948.33,long,fast
3,14013,641.67,short,slow
11,15,816.94,long,fast
11,48,931.13,long,fast
5,290,654.12,short,slow
6,3264,583.81,mid,slow
6,3523,667.18,mid,slow
11,46,1054.77,long,fast
4,1733,737.33,short,slow
11,192,931.04,long,fast
8,78,748.1,mid,slow
10,640,849.67,long,fast
10,6,914.5,long,fast
11,7718,620.79,long,slow
10,39,910.72,long,fast
11,1412,978.81,long,fast
8,256,871.68,mid,fast
9,75,948.11,mid,fast
11,0,942.86,long,fast
5,4519,636.56,short,slow
6,2089,595.31,mid,slow
4,716,692.45,short,slow
7,23998,751.29,mid,slow
12,11,1314.33,long,fast
9,2146,787.81,mid,slow
6,269,676.72,mid,slow
6,702,762.75,mid,slow
9,6742,755.57,mid,slow
7,331,792.45,mid,slow
6,1274,652.24,mid,slow
8,408,759.32,mid,slow
8,272,819.93,mid,fast
8,8,997.33,mid,fast
8,393,817.45,mid,fast
7,419,728.34,mid,slow
8,600,752.41,mid,slow
10,67,832.55,long,fast
7,4687,713.94,mid,slow
11,21,768.41,long,slow
8,1380,816.67,mid,fast
10,3749,748.47,long,slow
8,183,1013.69,mid,fast
4,46405,564.18,short,slow
8,472,769.26,mid,slow
8,33,886.24,mid,fast
10,3348,849,long,fast
10,52,798.36,long,slow
6,4796,938.2,mid,fast
5,226,911.75,short,fast
9,138,768.07,mid,slow
9,44,724.09,mid,slow
13,0,915.96,long,fast
9,57,837.38,mid,fast
9,0,841.18,mid,fast
11,185,1089,long,fast
9,2,913.53,mid,fast
4,1614,677.91,short,slow
4,75075,594.15,short,slow
10,2760,685.53,long,slow
7,279,741.31,mid,slow
10,11468,716.9,long,slow
14,3601,904.47,long,fast
6,110,750.25,mid,slow
9,127,860.29,mid,fast
15,4,1216.81,long,fast
8,1898,633.09,mid,slow
9,3,788.94,mid,slow
5,8301,721.96,short,slow
7,2713,761.07,mid,slow
9,39,633.71,mid,slow
5,1591,733.74,short,slow
10,1538,782.07,long,slow
10,11,980.25,long,fast
7,0,812.39,mid,fast
14,19,923.74,long,fast
8,148,883.5,mid,fast
10,1759,669.24,long,slow
10,12,907.39,long,fast
3,2850,726,short,slow
10,54,814.52,long,fast
7,86,763.55,mid,slow
8,10161,663.79,mid,slow
7,377,872.55,mid,fast
7,1394,648,mid,slow
5,10605,681.13,short,slow
6,757,641.06,mid,slow
6,775,775.59,mid,slow
5,14860,602.09,short,slow
7,31679,576.58,mid,slow
10,181,792.93,long,slow
6,158,876.56,mid,fast
8,429,710.63,mid,slow
11,93,875.27,long,fast
6,2434,627.11,mid,slow
11,162,1458.75,long,fast
